,,
78706,417631,214801,,,
78707,417633,191827,,,
78708,407698,145695,,,
78709,407698,149310,,,
78710,407698,114494,,,
78711,407698,217957,,,
78712,407698,114345,,,
78713,407699,191821,,,
78714,407699,191823,,,
78715,407699,189802,,,
78716,407699,194581,,,
78717,407699,191815,,,
78718,407699,193601,,,
78719,407699,190267,,,
78720,407699,189251,,,
78721,407699,194576,,,
78722,407699,189795,,,
78723,425172,145695,,,
78724,345572,145695,,,
78725,429563,145695,,,
78726,406962,145695,,,
78727,378007,145695,,,
78728,366033,145695,,,
78729,366033,145714,,,
78730,374576,145695,,,
78731,268297,145695,,,
78732,268297,145724,,,
78733,268297,211996,,,
78734,268294,194643,,,
78735,419181,145695,,,
78736,417160,128352,,,
78737,417160,130050,,,
78738,417160,130142,,,
78739,417160,108250,,,
78740,337521,145695,,,
78741,381603,145695,,,
78742,477952,145695,,,
78743,250572,148205,,,
78744,250572,232291,,,
78745,334181,186086,,,
78746,334181,188345,,,
78747,334181,194271,,,
78748,208534,144710,,,
78749,208534,162639,,,
78750,208534,166490,,,
78751,208534,144462,,,
78752,208534,120045,,,
78753,208534,124351,,,
78754,208534,228880,,,
78755,407346,232315,,,
78756,304629,227307,,,
78757,304629,233922,,,
78758,227165,226124,,,
78759,227165,109934,,,
78760,227169,194576,,,
78761,266756,227125,,,
78762,266756,157787,,,
78763,266756,128678,,,
78764,266756,130007,,,
78765,330010,151412,,,
78766,330010,140128,,,
78767,330010,108718,,,
78768,265433,214748,,,
78769,265433,229493,,,
78770,318323,214748,,,
78771,267578,214748,,,
78772,374210,150745,,,
78773,374209,189387,,,
78774,374206,147560,,,
78775,374206,141871,,,
78776,267499,229213,,,
78777,267499,229214,,,
78778,267499,229218,,,
78779,267419,106543,,,
78780,267419,137658,,,
78781,267419,231465,,,
78782,267419,214519,,,
78783,267419,211996,,,
78784,267419,225027,,,
78785,267419,225457,,,
78786,267419,145714,,,
78787,267419,137930,,,
78788,267419,103539,,,
78789,267419,230484,,,
