,299986
1126074,\,299977,299964
1126075,/,299964,299977
1126076,\,299980,299964
1126077,/,299964,299980
1126078,\,299978,299964
1126079,/,299964,299978
1126080,\,299979,299964
1126081,/,299964,299979
1126082,\,300003,299964
1126083,/,299964,300003
1126084,\,300002,299964
1126085,/,299964,300002
1126086,\,299994,299964
1126087,/,299964,299994
1126088,\,299993,299964
1126089,/,299964,299993
1126090,\,299996,299964
1126091,/,299964,299996
1126092,\,299995,299964
1126093,/,299964,299995
1126094,\,299992,299964
1126095,/,299964,299992
1126096,\,300004,299964
1126097,/,299964,300004
1126098,\,300006,299964
1126099,/,299964,300006
1126100,\,300007,299964
1126101,/,299964,300007
1126102,\,300008,299964
1126103,/,299964,300008
1126104,\,300026,299964
1126105,/,299964,300026
1126106,\,300029,299964
1126107,/,299964,300029
1126108,\,300028,299964
1126109,/,299964,300028
1126110,\,300009,299964
1126111,/,299964,300009
1126112,\,299984,299964
1126113,/,299964,299984
1126114,\,299983,299984
1126115,/,299984,299983
1126118,\,300011,299984
1126119,/,299984,300011
1126120,\,299985,299984
1126121,/,299984,299985
1126124,\,299987,299964
1126125,/,299964,299987
1126126,\,299991,299964
1126127,/,299964,299991
1126128,\,299990,299964
1126129,/,299964,299990
1126130,\,299989,299964
1126131,/,299964,299989
1126132,\,299988,299964
1126133,/,299964,299988
1126134,\,299998,299964
1126135,/,299964,299998
1126136,\,299997,299998
1126137,/,299998,299997
1126138,\,300000,299964
1126139,/,299964,300000
1126140,\,299999,299964
1126141,/,299964,299999
1126142,\,300001,299999
1126143,/,299999,300001
1126146,\,300027,299964
1126147,/,299964,300027
1126148,\,300015,299964
1126149,/,299964,300015
1126150,\,300021,300015
1126151,/,300015,300021
1126152,\,300014,300015
1126153,/,300015,300014
1126154,\,300018,299964
1126155,/,299964,300018
1126156,\,300016,299964
1126157,/,299964,300016
1126158,\,300017,299964
1126159,/,299964,300017
1126160,\,300019,299964
1126161,/,299964,300019
1126162,\,300020,299964
1126163,/,299964,300020
1126164,\,300012,299964
1126165,/,299964,300012
1126166,\,300013,300012
1126167,/,300012,300013
1126168,\,300010,299964
1126169,/,299964,300010
1126170,\,300032,299964
1126171,/,299964,300032
1126172,\,300033,299964
