id,type,source,target
907955,/,207537,207542
907956,\,207540,207537
907957,/,207537,207540
907958,\,207546,207537
907959,/,207537,207546
907960,\,207547,207537
907961,/,207537,207547
907962,\,207544,207537
907963,/,207537,207544
907964,\,207545,207537
907965,/,207537,207545
907966,\,207548,207537
907967,/,207537,207548
907968,\,207550,207537
907969,/,207537,207550
907970,\,207549,207537
907971,/,207537,207549
907972,\,207552,207537
907973,/,207537,207552
907974,\,207551,207537
907975,/,207537,207551
907976,\,209994,209991
907977,/,209991,209994
907978,\,210214,209994
907979,/,209994,210214
907984,\,210022,209991
907985,/,209991,210022
907986,\,210023,209991
907987,/,209991,210023
907988,\,210031,209991
907989,/,209991,210031
907990,\,210032,209991
907991,/,209991,210032
907992,\,210006,209991
907993,/,209991,210006
907994,\,210003,209991
907995,/,209991,210003
907996,\,210001,209991
907997,/,209991,210001
907998,\,210002,209991
907999,/,209991,210002
908000,\,210004,209991
908001,/,209991,210004
908002,\,210000,209991
908003,/,209991,210000
908004,\,210019,209991
908005,/,209991,210019
908006,\,210020,209991
908007,/,209991,210020
908008,\,210087,209991
908009,/,209991,210087
908010,\,455929,209991
908011,/,209991,455929
908012,\,210249,209991
908013,/,209991,210249
908014,\,209998,209991
908015,/,209991,209998
908016,\,209999,209991
908017,/,209991,209999
908018,\,210061,209991
908019,/,209991,210061
908020,\,210063,209991
908021,/,209991,210063
908022,\,210066,209991
908023,/,209991,210066
908024,\,210065,209991
908025,/,209991,210065
908026,\,210069,209991
908027,/,209991,210069
908028,\,210068,209991
908029,/,209991,210068
908030,\,210071,209991
908031,/,209991,210071
908032,\,210070,209991
908033,/,209991,210070
908034,\,209996,209991
908035,/,209991,209996
908036,\,209997,209991
908037,/,209991,209997
908038,\,210046,209991
908039,/,209991,210046
908040,\,210045,209991
908041,/,209991,210045
908042,\,210048,209991
908043,/,209991,210048
908044,\,210047,209991
908045,/,209991,210047
908046,\,210043,209991
908047,/,209991,210043
908048,\,455925,209991
908049,/,209991,455925
908050,\,210040,209991
908051,/,209991,210040
908052,\,210042,209991
908053,/,209991,210042
908054,\,210041,209991
908055,/,209991,210041
908056,\,210081,209991
908057,/,209991,210081
908058,\,210033,209991
908059,/,209991,210033
908060,\,210036,209991
908061,/,209991,210036
908062,\,210038,209991
908063,/,209991,210038
908064,\,210089,209991
908065,/,209991,210089
908066,\,210090,209991
908067,/,209991,210090
908068,\,210091,209991
908069,/,209991,210091
908070,\,210104,209991
908071,/,209991,210104
908072,\,210085,209991
908073,/,209991,210085
908074,\,210016,209991
908075,/,209991,210016
908076,\,210227,209991
908077,/,209991,210227
908078,\,210228,209991
908079,/,209991,210228
908080,\,210220,209991
908081,/,209991,210220
908082,\,210221,209991
908083,/,209991,210221
908084,\,210226,209991
908085,/,209991,210226
908086,\,210243,209991
908087,/,209991,210243
908088,\,210218,209991
908089,/,209991,210218
908090,\,210219,209991
908091,/,209991,210219
908092,\,455933,209991
908093,/,209991,455933
908094,\,210235,209991
908095,/,209991,210235
908096,\,210236,209991
908097,/,209991,210236
908098,\,210238,209991
908099,/,209991,210238
908100,\,210252,209991
908101,/,209991,210252
908102,\,210253,209991
908103,/,209991,210253
908104,\,210256,209991
908105,/,209991,210256
908106,\,210017,209991
908107,/,209991,210017
908108,\,210018,209991
908109,/,209991,210018
908110,\,210021,209991
908111,/,209991,210021
908112,\,210026,210021
908113,/,210021,210026
908116,\,210122,210021
908117,/,210021,210122
908120,\,210027,209991
908121,/,209991,210027
908122,\,455926,209991
908123,/,209991,455926
908124,\,455927,209991
908125,/,209991,455927
908126,\,455931,209991
908127,/,209991,455931
908128,\,210030,210024
908129,/,210024,210030
908130,\,210029,210030
908131,/,210030,210029
908134,\,210007,210024
908135,/,210024,210007
908136,\,210010,210024
908137,/,210024,210010
908138,\,210011,210010
908139,/,210010,210011
908142,\,210106,210105
908143,/,210105,210106
908144,\,210054,210051
908145,/,210051,210054
908146,\,210055,210051
908147,/,210051,210055
908148,\,210053,210050
908149,/,210050,210053
908150,\,210060,210050
908151,/,210050,210060
908152,\,210059,210060
908153,/,210060,210059
908154,\,210097,210094
908155,/,210094,210097
908156,\,210099,210094
908157,/,210094,210099
908158,\,210098,210094
908159,/,210094,210098
908160,\,210100,210094
908161,/,210094,210100
908162,\,210080,210072
908163,/,210072,210080
908164,\,210073,210072
908165,/,210072,210073
908166,\,210074,210072
908167,/,210072,210074
908168,\,210075,210072
908169,/,210072,210075
908170,\,455928,210072
908171,/,210072,455928
908172,\,210076,210072
908173,/,210072,210076
908174,\,210077,210076
908175,/,210076,210077
908176,\,210083,210082
908177,/,210082,210083
908178,\,210084,210082
908179,/,210082,210084
908180,\,210015,210014
908181,/,210014,210015
908182,\,210013,210014
908183,/,210014,210013
908184,\,210240,210239
908185,/,210239,210240
908186,\,210242,210239
908187,/,210239,210242
908188,\,210241,210239
908189,/,210239,210241
908190,\,210245,210239
908191,/,210239,210245
908192,\,210244,210239
908193,/,210239,210244
908194,\,210247,210239
908195,/,210239,210247
908196,\,210250,210239
908197,/,210239,210250
908198,\,210251,210239
908199,/,210239,210251
908200,\,210232,210230
908201,/,210230,210232
908202,\,210231,210230
908203,/,210230,210231
908204,\,210159,210150
908205,/,210150,210159
908206,\,210158,210150
908207,/,210150,210158
908208,\,210160,210150
908209,/,210150,210160
908210,\,210163,210150
908211,/,210150,210163
908212,\,210162,210150
908213,/,210150,210162
908214,\,210161,210150
908215,/,210150,210161
908216,\,210128,210125
908217,/,210125,210128
908218,\,210129,210125
908219,/,210125,210129
908220,\,210127,210125
908221,/,210125,210127
908222,\,210130,210125
908223,/,210125,210130
908224,\,210134,210125
908225,/,210125,210134
908226,\,210131,210125
908227,/,210125,210131
908228,\,210133,210125
908229,/,210125,210133
908230,\,210132,210125
908231,/,210125,210132
908232,\,210141,210137
908233,/,210137,210141
908234,\,210142,210137
908235,/,210137,210142
908236,\,210143,210137
908237,/,210137,210143
908238,\,455930,210137
908239,/,210137,455930
908240,\,210145,210137
908241,/,210137,210145
908244,\,210147,210137
908245,/,210137,210147
908246,\,210115,210112
908247,/,210112,210115
908248,\,210117,210112
908249,/,210112,210117
908250,\,210267,210266
908251,/,210266,210267
908252,\,210268,210266
908253,/,210266,210268
908254,\,210264,210263
908255,/,210263,210264
908256,\,210265,210263
908257,/,210263,210265
908258,\,210259,210263
908259,/,210263,210259
908260,\,210260,210263
908261,/,210263,210260
908262,\,210261,210263
908263,/,210263,210261
908264,\,210272,210269
908265,/,210269,210272
908266,\,210270,210269
908267,/,210269,210270
908268,\,210271,210269
908269,/,210269,210271
908270,\,210273,210269
908271,/,210269,210273
908272,\,455932,210175
908273,/,210175,455932
908274,\,210275,210175
908275,/,210175,210275
908276,\,210177,210176
908277,/,210176,210177
908278,\,210111,210109
908279,/,210109,210111
908280,\,210110,210111
908281,/,210111,210110
908282,\,210171,210170
908283,/,210170,210171
908284,\,210187,210184
908285,/,210184,210187
908286,\,210186,210184
908287,/,210184,210186
908288,\,210185,210184
908289,/,210184,210185
908290,\,210189,210184
908291,/,210184,210189
908292,\,210202,210184
908293,/,210184,210202
908294,\,210206,210184
908295,/,210184,210206
908296,\,210205,210184
908297,/,210184,210205
908298,\,210203,210184
908299,/,210184,210203
908300,\,210209,210184
908301,/,210184,210209
908302,\,210208,210184
908303,/,210184,210208
908304,\,210210,210184
908305,/,210184,210210
908306,\,210204,210184
908307,/,210184,210204
908308,\,210211,210184
908309,/,210184,210211
908310,\,210212,210184
908311,/,210184,210212
908312,\,210191,210184
908313,/,210184,210191
908314,\,210190,210191
908315,/,210191,210190
908316,\,210194,210184
908317,/,210184,210194
908318,\,210195,210184
908319,/,210184,210195
908320,\,210197,210184
908321,/,210184,210197
908322,\,210196,210184
908323,/,210184,210196
908324,\,210192,210184
908325,/,210184,210192
908326,\,210193,210184
908327,/,210184,210193
908328,\,210198,210184
908329,/,210184,210198
908330,\,210199,210184
908331,/,210184,210199
908332,\,210201,210184
908333,/,210184,210201
908334,\,210188,210184
908335,/,210184,210188
908336,\,210169,210168
908337,/,210168,210169
908338,\,210172,210168
908339,/,210168,210172
908340,\,210173,210168
908341,/,210168,210173
908342,\,210178,210168
908343,/,210168,210178
908344,\,210179,210182
908345,/,210182,210179
908346,\,210181,210180
908347,/,210180,210181
908348,\,456579,224599
908349,/,224599,456579
908350,\,456580,224599
908351,/,224599,456580
908352,\,224602,224599
908353,/,224599,224602
908354,\,224603,224599
908355,/,224599,224603
908356,\,224601,224599
908357,/,224599,224601
908358,\,224600,224599
908359,/,224599,224600
908360,\,224604,224599
908361,/,224599,224604
908362,\,224607,224599
908363,/,224599,224607
908364,\,224608,224599
908365,/,224599,224608
908366,\,224605,224599
908367,/,224599,224605
908368,\,224606,224599
908369,/,224599,224606
908370,\,224611,224609
908371,/,224609,224611
908372,\,224625,224609
908373,/,224609,224625
908374,\,224635,224625
908375,/,224625,224635
908378,\,224621,224625
908379,/,224625,224621
908392,\,224629,224609
908393,/,224609,224629
908394,\,224632,224609
908395,/,224609,224632
908396,\,224633,224609
908397,/,224609,224633
908398,\,224638,224609
908399,/,224609,224638
908400,\,224637,224609
908401,/,224609,224637
908402,\,224639,224609
908403,/,224609,224639
908404,\,224640,224609
908405,/,224609,224640
908406,\,224628,224609
908407,/,224609,224628
908408,\,224631,224628
908409,/,224628,224631
908410,\,224634,224609
908411,/,224609,224634
908412,\,224641,224609
908413,/,224609,224641
908414,\,456582,224609
908415,/,224609,456582
908416,\,456583,224609
908417,/,224609,456583
908418,\,224644,224609
908419,/,224609,224644
908420,\,224610,224609
908421,/,224609,224610
908422,\,224646,224609
908423,/,224609,224646
908424,\,224645,224609
908425,/,224609,224645
908426,\,224649,224645
908427,/,224645,224649
908428,\,224647,224609
908429,/,224609,224647
908430,\,224648,224609
908431,/,224609,224648
908432,\,224650,224609
908433,/,224609,224650
908434,\,224651,224609
908435,/,224609,224651
908436,\,224652,224651
908437,/,224651,224652
908438,\,224655,224609
908439,/,224609,224655
908440,\,224656,224609
908441,/,224609,224656
908442,\,224661,224609
908443,/,224609,224661
908444,\,224657,224609
908445,/,224609,224657
908446,\,224659,224609
908447,/,224609,224659
908448,\,224658,224609
908449,/,224609,224658
908450,\,224660,224609
908451,/,224609,224660
908452,\,224615,224612
908453,/,224612,224615
908454,\,224617,224612
908455,/,224612,224617
908456,\,224618,224612
908457,/,224612,224618
908458,\,224613,224612
908459,/,224612,224613
908460,\,224619,224612
908461,/,224612,224619
908462,\,224614,224612
908463,/,224612,224614
908464,\,224616,224614
908465,/,224614,224616
908466,\,226079,226078
908467,/,226078,226079
908468,\,226091,226078
908469,/,226078,226091
908470,\,226082,226078
908471,/,226078,226082
908472,\,226083,226082
908473,/,226082,226083
908474,\,226084,226078
908475,/,226078,226084
908476,\,226085,226078
908477,/,226078,226085
908478,\,226081,226078
908479,/,226078,226081
908480,\,226088,226078
908481,/,226078,226088
908482,\,226089,226078
908483,/,226078,226089
908484,\,226090,226078
908485,/,226078,226090
908486,\,456667,226078
908487,/,226078,456667
908488,\,416551,226078
908489,/,226078,416551
908490,\,226099,226078
908491,/,226078,226099
908492,\,226103,226078
908493,/,226078,226103
908494,\,226101,226078
908495,/,226078,226101
908496,\,226102,226078
908497,/,226078,226102
908500,\,226097,226078
908501,/,226078,226097
908502,\,226106,226105
908503,/,226105,226106
908504,\,226107,226106
908505,/,226106,226107
908512,\,226125,226106
908513,/,226106,226125
908514,\,226112,226106
908515,/,226106,226112
908516,\,226111,226106
908517,/,226106,226111
908518,\,226120,226105
908519,/,226105,226120
908520,\,226121,226105
908521,/,226105,226121
908522,\,226122,226105
908523,/,226105,226122
908524,\,226113,226105
908525,/,226105,226113
908526,\,226114,226105
908527,/,226105,226114
908528,\,226115,226105
908529,/,226105,226115
908530,\,226116,226105
908531,/,226105,226116
908532,\,226117,226105
908533,/,226105,226117
908534,\,226133,226105
908535,/,226105,226133
908536,\,226118,226105
908537,/,226105,226118
908538,\,226123,226105
908539,/,226105,226123
908540,\,226119,226105
908541,/,226105,226119
908544,\,226131,226127
908545,/,226127,226131
908546,\,226130,226127
908547,/,226127,226130
908548,\,225411,225410
908549,/,225410,225411
908550,\,225815,225814
908551,/,225814,225815
908552,\,225816,225814
908553,/,225814,225816
908554,\,225818,225814
908555,/,225814,225818
908556,\,225817,225814
908557,/,225814,225817
908558,\,225819,225814
908559,/,225814,225819
908560,\,225857,225814
908561,/,225814,225857
908562,\,225858,225814
908563,/,225814,225858
908564,\,225859,225814
908565,/,225814,225859
908566,\,225860,225814
908567,/,225814,225860
908568,\,225821,225814
908569,/,225814,225821
908570,\,225820,225821
908571,/,225821,225820
908572,\,225822,225814
908573,/,225814,225822
908574,\,225823,225814
908575,/,225814,225823
908576,\,225861,225814
908577,/,225814,225861
908578,\,225862,225814
908579,/,225814,225862
908580,\,225830,225814
908581,/,225814,225830
908582,\,225832,225830
908583,/,225830,225832
908590,\,225856,225830
908591,/,225830,225856
908592,\,225831,225830
908593,/,225830,225831
908594,\,225832,225830
908595,/,225830,225832
908600,\,225841,225814
908601,/,225814,225841
908602,\,225846,225814
908603,/,225814,225846
908604,\,225845,225814
908605,/,225814,225845
908606,\,225847,225814
908607,/,225814,225847
908608,\,225848,225814
908609,/,225814,225848
908610,\,225834,225814
908611,/,225814,225834
908612,\,225838,225814
908613,/,225814,225838
908614,\,225839,225814
908615,/,225814,225839
908616,\,225840,225814
908617,/,225814,225840
908618,\,225843,225814
908619,/,225814,225843
908620,\,225844,225814
908621,/,225814,225844
908622,\,225842,225814
908623,/,225814,225842
908624,\,225852,225814
908625,/,225814,225852
908626,\,225849,225814
908627,/,225814,225849
908628,\,225850,225814
908629,/,225814,225850
908630,\,225851,225814
908631,/,225814,225851
908632,\,225853,225814
908633,/,225814,225853
908634,\,456638,225814
908635,/,225814,456638
908636,\,225855,225814
908637,/,225814,225855
908638,\,225837,225814
908639,/,225814,225837
908640,\,225836,225837
908641,/,225837,225836
908642,\,456639,225814
908643,/,225814,456639
908644,\,225863,225814
908645,/,225814,225863
908646,\,225864,225814
908647,/,225814,225864
908648,\,225854,225814
908649,/,225814,225854
908650,\,456637,225814
908651,/,225814,456637
908652,\,225898,226093
908653,/,226093,225898
908654,\,225877,225865
908655,/,225865,225877
908656,\,225881,225865
908657,/,225865,225881
908658,\,225878,225865
908659,/,225865,225878
908660,\,225879,225865
908661,/,225865,225879
908662,\,225880,225865
908663,/,225865,225880
908664,\,225868,225865
908665,/,225865,225868
908666,\,225873,225865
908667,/,225865,225873
908668,\,225866,225865
908669,/,225865,225866
908670,\,225867,225865
908671,/,225865,225867
908672,\,225885,225865
908673,/,225865,225885
908674,\,225886,225865
908675,/,225865,225886
908676,\,225884,225865
908677,/,225865,225884
908678,\,225890,225865
908679,/,225865,225890
908680,\,225892,225865
908681,/,225865,225892
908682,\,225894,225865
908683,/,225865,225894
908684,\,225876,225865
908685,/,225865,225876
908686,\,225875,225876
908687,/,225876,225875
908688,\,225882,225865
908689,/,225865,225882
908692,\,225895,225865
908693,/,225865,225895
908694,\,225887,225865
908695,/,225865,225887
908696,\,225888,225865
908697,/,225865,225888
908698,\,225896,225865
908699,/,225865,225896
908700,\,225889,225865
908701,/,225865,225889
908702,\,207637,220702
908703,/,220702,207637
908704,\,220721,220701
908705,/,220701,220721
908706,\,220720,220721
908707,/,220721,220720
908708,\,220722,220701
908709,/,220701,220722
908710,\,456377,220701
908711,/,220701,456377
908712,\,456396,220701
908713,/,220701,456396
908714,\,220763,220762
908715,/,220762,220763
908716,\,220759,220761
908717,/,220761,220759
908718,\,220760,220761
908719,/,220761,220760
908720,\,220703,456376
908721,/,456376,220703
908722,\,220706,456376
908723,/,456376,220706
908724,\,220729,220730
908725,/,220730,220729
908726,\,220725,220723
908727,/,220723,220725
908728,\,220724,220723
908729,/,220723,220724
908730,\,220726,220723
908731,/,220723,220726
908732,\,220732,220731
908733,/,220731,220732
908734,\,220733,220731
908735,/,220731,220733
908736,\,220734,220731
908737,/,220731,220734
908738,\,220735,220731
908739,/,220731,220735
908740,\,220736,220731
908741,/,220731,220736
908742,\,220737,220731
908743,/,220731,220737
908744,\,220738,220731
908745,/,220731,220738
908746,\,220719,220716
908747,/,220716,220719
908748,\,220718,220716
908749,/,220716,220718
908750,\,220744,220743
908751,/,220743,220744
908752,\,220746,220743
908753,/,220743,220746
908754,\,220747,220743
908755,/,220743,220747
908756,\,220748,220743
908757,/,220743,220748
908758,\,220714,220713
908759,/,220713,220714
908760,\,220715,220713
908761,/,220713,220715
908762,\,220764,220750
908763,/,220750,220764
908764,\,220707,220750
908765,/,220750,220707
908766,\,220708,220750
908767,/,220750,220708
908768,\,221485,220750
908769,/,220750,221485
908770,\,221486,220750
908771,/,220750,221486
908772,\,221487,220750
908773,/,220750,221487
908774,\,220756,220753
908775,/,220753,220756
908776,\,220993,220814
908777,/,220814,220993
908778,\,220988,220814
908779,/,220814,220988
908780,\,220987,220814
908781,/,220814,220987
908782,\,220984,220814
908783,/,220814,220984
908784,\,221018,220814
908785,/,220814,221018
908786,\,221019,220814
908787,/,220814,221019
908788,\,220998,220814
908789,/,220814,220998
908790,\,220999,220814
908791,/,220814,220999
908792,\,221017,220814
908793,/,220814,221017
908794,\,221015,220814
908795,/,220814,221015
908796,\,221023,220814
908797,/,220814,221023
908798,\,221025,220814
908799,/,220814,221025
908800,\,221027,220814
908801,/,220814,221027
908802,\,221028,220814
908803,/,220814,221028
908804,\,221030,220814
908805,/,220814,221030
908806,\,221007,220814
908807,/,220814,221007
908808,\,221008,220814
908809,/,220814,221008
908810,\,221009,220814
908811,/,220814,221009
908812,\,220995,220814
908813,/,220814,220995
908814,\,220935,220814
908815,/,220814,220935
908816,\,220924,220814
908817,/,220814,220924
908818,\,220929,220814
908819,/,220814,220929
908820,\,220932,220814
908821,/,220814,220932
908822,\,220931,220814
908823,/,220814,220931
908824,\,220922,220814
908825,/,220814,220922
908826,\,220953,220814
908827,/,220814,220953
908828,\,220952,220814
908829,/,220814,220952
908830,\,220949,220814
908831,/,220814,220949
908832,\,220946,220814
908833,/,220814,220946
908834,\,220948,220814
908835,/,220814,220948
908836,\,220940,220814
908837,/,220814,220940
908838,\,220853,220814
908839,/,220814,220853
908840,\,220851,220814
908841,/,220814,220851
908842,\,220871,220814
908843,/,220814,220871
908844,\,220865,220814
908845,/,220814,220865
908848,\,220859,220814
908849,/,220814,220859
908850,\,220860,220814
908851,/,220814,220860
908852,\,220972,220814
908853,/,220814,220972
908854,\,220973,220814
908855,/,220814,220973
908856,\,220970,220814
908857,/,220814,220970
908858,\,220975,220814
908859,/,220814,220975
908860,\,220977,220814
908861,/,220814,220977
908862,\,220980,220814
908863,/,220814,220980
908864,\,220981,220814
908865,/,220814,220981
908866,\,220983,220814
908867,/,220814,220983
908868,\,221468,220814
908869,/,220814,221468
908870,\,221301,220814
908871,/,220814,221301
908872,\,221299,220814
908873,/,220814,221299
908874,\,221328,220814
908875,/,220814,221328
908876,\,221329,220814
908877,/,220814,221329
908878,\,221334,220814
908879,/,220814,221334
908880,\,221333,220814
908881,/,220814,221333
908882,\,221335,220814
908883,/,220814,221335
908884,\,221324,220814
908885,/,220814,221324
908886,\,220875,220814
908887,/,220814,220875
908888,\,220879,220814
908889,/,220814,220879
908890,\,220880,220814
908891,/,220814,220880
908892,\,220882,220814
908893,/,220814,220882
908894,\,220914,220814
908895,/,220814,220914
908896,\,220911,220814
908897,/,220814,220911
908898,\,220913,220814
908899,/,220814,220913
908900,\,220910,220814
908901,/,220814,220910
908902,\,456382,220814
908903,/,220814,456382
908904,\,220917,220814
908905,/,220814,220917
908906,\,220902,220814
908907,/,220814,220902
908908,\,220903,220814
908909,/,220814,220903
908910,\,220905,220814
908911,/,220814,220905
908912,\,220904,220814
908913,/,220814,220904
908914,\,220906,220814
908915,/,220814,220906
908916,\,220907,220814
908917,/,220814,220907
908918,\,220918,220814
908919,/,220814,220918
908920,\,220899,220814
908921,/,220814,220899
908922,\,220908,220814
908923,/,220814,220908
908924,\,220889,220814
908925,/,220814,220889
908926,\,220890,220814
908927,/,220814,220890
908928,\,221101,220814
908929,/,220814,221101
908930,\,221106,220814
908931,/,220814,221106
908932,\,221113,220814
908933,/,220814,221113
908934,\,221124,220814
908935,/,220814,221124
908936,\,221115,220814
908937,/,220814,221115
908938,\,221119,220814
908939,/,220814,221119
908940,\,221120,220814
908941,/,220814,221120
908942,\,221185,220814
908943,/,220814,221185
908944,\,221179,220814
908945,/,220814,221179
908946,\,221191,220814
908947,/,220814,221191
908948,\,221192,220814
908949,/,220814,221192
908950,\,221132,220814
908951,/,220814,221132
908952,\,221142,220814
908953,/,220814,221142
908954,\,221139,220814
908955,/,220814,221139
908956,\,221170,220814
908957,/,220814,221170
908958,\,221173,220814
908959,/,220814,221173
908960,\,221135,220814
908961,/,220814,221135
908962,\,221156,220814
908963,/,220814,221156
908964,\,221162,220814
908965,/,220814,221162
908966,\,221160,220814
908967,/,220814,221160
908968,\,221166,220814
908969,/,220814,221166
908970,\,221167,220814
908971,/,220814,221167
908972,\,221146,220814
908973,/,220814,221146
908974,\,221148,220814
908975,/,220814,221148
908976,\,221149,220814
908977,/,220814,221149
908978,\,221153,220814
908979,/,220814,221153
908980,\,221154,220814
908981,/,220814,221154
908982,\,220818,220814
908983,/,220814,220818
908984,\,220815,220814
908985,/,220814,220815
908986,\,220845,220814
908987,/,220814,220845
908988,\,220843,220814
908989,/,220814,220843
908990,\,220846,220814
908991,/,220814,220846
908992,\,220839,220814
908993,/,220814,220839
908994,\,220827,220814
908995,/,220814,220827
908996,\,220828,220814
908997,/,220814,220828
908998,\,220829,220814
908999,/,220814,220829
909000,\,220831,220814
909001,/,220814,220831
909002,\,220832,220814
909003,/,220814,220832
909004,\,220837,220814
909005,/,220814,220837
909006,\,220822,220814
909007,/,220814,220822
909008,\,220838,220814
909009,/,220814,220838
909010,\,220823,220814
909011,/,220814,220823
909012,\,221063,220814
909013,/,220814,221063
909014,\,221062,220814
909015,/,220814,221062
909016,\,221051,220814
909017,/,220814,221051
909018,\,221059,220814
909019,/,220814,221059
909020,\,221054,220814
909021,/,220814,221054
909022,\,221083,220814
909023,/,220814,221083
909024,\,221084,220814
909025,/,220814,221084
909026,\,221086,220814
909027,/,220814,221086
909028,\,221090,220814
909029,/,220814,221090
909030,\,221082,220814
909031,/,220814,221082
909032,\,221066,220814
909033,/,220814,221066
909034,\,221076,220814
909035,/,220814,221076
909036,\,221078,220814
909037,/,220814,221078
909038,\,221080,220814
909039,/,220814,221080
909040,\,221095,220814
909041,/,220814,221095
909042,\,221065,220814
909043,/,220814,221065
909044,\,221052,220814
909045,/,220814,221052
909046,\,221070,220814
909047,/,220814,221070
909048,\,221069,220814
909049,/,220814,221069
909050,\,221408,220814
909051,/,220814,221408
909052,\,221409,220814
909053,/,220814,221409
909054,\,221410,220814
909055,/,220814,221410
909056,\,221414,220814
909057,/,220814,221414
909058,\,221415,220814
909059,/,220814,221415
909060,\,221412,220814
909061,/,220814,221412
909062,\,221411,220814
909063,/,220814,221411
909064,\,221200,220814
909065,/,220814,221200
909066,\,221196,220814
909067,/,220814,221196
909068,\,221199,220814
909069,/,220814,221199
909070,\,221195,220814
909071,/,220814,221195
909072,\,221198,220814
909073,/,220814,221198
909074,\,221221,220814
909075,/,220814,221221
909076,\,221214,220814
909077,/,220814,221214
909078,\,221217,220814
909079,/,220814,221217
909080,\,221231,220814
909081,/,220814,221231
909082,\,221208,220814
909083,/,220814,221208
909084,\,221211,220814
909085,/,220814,221211
909086,\,221036,220814
909087,/,220814,221036
909088,\,221040,220814
909089,/,220814,221040
909090,\,221037,220814
909091,/,220814,221037
909092,\,221049,220814
909093,/,220814,221049
909094,\,221042,220814
909095,/,220814,221042
909096,\,221050,220814
909097,/,220814,221050
909098,\,221043,220814
909099,/,220814,221043
909100,\,221044,220814
909101,/,220814,221044
909102,\,221046,220814
909103,/,220814,221046
909104,\,221047,220814
909105,/,220814,221047
909106,\,221048,220814
909107,/,220814,221048
909108,\,221045,220814
909109,/,220814,221045
909110,\,221038,220814
909111,/,220814,221038
909112,\,221345,220814
909113,/,220814,221345
909114,\,221343,220814
909115,/,220814,221343
909116,\,221346,220814
909117,/,220814,221346
909118,\,221349,220814
909119,/,220814,221349
909120,\,221395,220814
909121,/,220814,221395
909122,\,221386,220814
909123,/,220814,221386
909124,\,221387,220814
909125,/,220814,221387
909126,\,456392,220814
909127,/,220814,456392
909128,\,221388,220814
909129,/,220814,221388
909130,\,221358,220814
909131,/,220814,221358
909132,\,221363,220814
909133,/,220814,221363
909134,\,221360,220814
909135,/,220814,221360
909136,\,221397,220814
909137,/,220814,221397
909138,\,221368,220814
909139,/,220814,221368
909140,\,221372,220814
909141,/,220814,221372
909142,\,221399,220814
909143,/,220814,221399
909144,\,221405,220814
909145,/,220814,221405
909146,\,221406,220814
909147,/,220814,221406
909148,\,221353,220814
909149,/,220814,221353
909150,\,221355,220814
909151,/,220814,221355
909152,\,221341,220814
909153,/,220814,221341
909154,\,221342,220814
909155,/,220814,221342
909156,\,221378,220814
909157,/,220814,221378
909158,\,221379,220814
909159,/,220814,221379
909160,\,221380,220814
909161,/,220814,221380
909162,\,221377,220814
909163,/,220814,221377
909164,\,221383,220814
909165,/,220814,221383
909166,\,221384,220814
909167,/,220814,221384
909168,\,221418,220814
909169,/,220814,221418
909170,\,221419,220814
909171,/,220814,221419
909172,\,221422,220814
909173,/,220814,221422
909174,\,221421,220814
909175,/,220814,221421
909176,\,221443,220814
909177,/,220814,221443
909178,\,221424,220814
909179,/,220814,221424
909180,\,221425,220814
909181,/,220814,221425
909182,\,221461,220814
909183,/,220814,221461
909184,\,221457,220814
909185,/,220814,221457
909186,\,221456,220814
909187,/,220814,221456
909188,\,221450,220814
909189,/,220814,221450
909190,\,456395,220814
909191,/,220814,456395
909192,\,221454,220814
909193,/,220814,221454
909194,\,221448,220814
909195,/,220814,221448
909196,\,221256,220814
909197,/,220814,221256
909198,\,221233,220814
909199,/,220814,221233
909200,\,221234,220814
909201,/,220814,221234
909202,\,221251,220814
909203,/,220814,221251
909204,\,221257,220814
909205,/,220814,221257
909206,\,221252,220814
909207,/,220814,221252
909208,\,221235,220814
909209,/,220814,221235
909210,\,221237,220814
909211,/,220814,221237
909212,\,221236,220814
909213,/,220814,221236
909214,\,221241,220814
909215,/,220814,221241
909216,\,221245,220814
909217,/,220814,221245
909218,\,221285,220814
909219,/,220814,221285
909220,\,221287,220814
909221,/,220814,221287
909222,\,221291,220814
909223,/,220814,221291
909224,\,221261,220814
909225,/,220814,221261
909226,\,221262,220814
909227,/,220814,221262
909228,\,221275,220814
909229,/,220814,221275
909230,\,221278,220814
909231,/,220814,221278
909232,\,221276,220814
909233,/,220814,221276
909234,\,221274,220814
909235,/,220814,221274
909236,\,221297,220814
909237,/,220814,221297
909238,\,221260,220814
909239,/,220814,221260
909240,\,221250,220814
909241,/,220814,221250
909242,\,221247,220814
909243,/,220814,221247
909244,\,221273,220814
909245,/,220814,221273
909246,\,221270,220814
909247,/,220814,221270
909248,\,221271,220814
909249,/,220814,221271
909250,\,221263,220814
909251,/,220814,221263
909252,\,221264,220814
909253,/,220814,221264
909254,\,221265,220814
909255,/,220814,221265
909256,\,221280,220814
909257,/,220814,221280
909258,\,221281,220814
909259,/,220814,221281
909260,\,221282,220814
909261,/,220814,221282
909262,\,220958,220814
909263,/,220814,220958
909264,\,220967,220814
909265,/,220814,220967
909266,\,220963,220814
909267,/,220814,220963
909268,\,221560,220814
909269,/,220814,221560
909270,\,221553,220814
909271,/,220814,221553
909272,\,221614,220814
909273,/,220814,221614
909274,\,221549,220814
909275,/,220814,221549
909276,\,221552,220814
909277,/,220814,221552
909278,\,221562,220814
