id,type,source,target
905622,\,210479,210473
905623,/,210473,210479
905624,\,210478,210473
905625,/,210473,210478
905626,\,210477,210473
905627,/,210473,210477
905628,\,210481,210473
905629,/,210473,210481
905630,\,210480,210473
905631,/,210473,210480
905632,\,210482,210473
905633,/,210473,210482
905634,\,210469,210467
905635,/,210467,210469
905636,\,210460,210456
905637,/,210456,210460
905638,\,210461,210456
905639,/,210456,210461
905640,\,210464,210456
905641,/,210456,210464
905642,\,210455,210454
905643,/,210454,210455
905644,\,210549,210547
905645,/,210547,210549
905646,\,210548,210549
905647,/,210549,210548
905648,\,455937,210550
905649,/,210550,455937
905650,\,210560,210559
905651,/,210559,210560
905652,\,210571,210564
905653,/,210564,210571
905654,\,210572,210564
905655,/,210564,210572
905656,\,210573,210564
905657,/,210564,210573
905658,\,210568,210564
905659,/,210564,210568
905660,\,210569,210564
905661,/,210564,210569
905662,\,210570,210564
905663,/,210564,210570
905664,\,210566,210564
905665,/,210564,210566
905666,\,210567,210564
905667,/,210564,210567
905668,\,210574,210564
905669,/,210564,210574
905670,\,210575,210564
905671,/,210564,210575
905672,\,210588,210564
905673,/,210564,210588
905674,\,210586,210564
905675,/,210564,210586
905676,\,210587,210564
905677,/,210564,210587
905678,\,210576,210564
905679,/,210564,210576
905680,\,210577,210564
905681,/,210564,210577
905682,\,210582,210564
905683,/,210564,210582
905684,\,210583,210582
905685,/,210582,210583
905686,\,210584,210564
905687,/,210564,210584
905688,\,210581,210580
905689,/,210580,210581
905690,\,210590,210589
905691,/,210589,210590
905692,\,210591,210589
905693,/,210589,210591
905694,\,210592,210589
905695,/,210589,210592
905696,\,210598,210595
905697,/,210595,210598
905698,\,210414,210413
905699,/,210413,210414
905700,\,210400,210399
905701,/,210399,210400
905702,\,210448,210446
905703,/,210446,210448
905704,\,210452,210446
905705,/,210446,210452
905706,\,210450,210446
905707,/,210446,210450
905708,\,210421,210420
905709,/,210420,210421
905710,\,210422,210420
905711,/,210420,210422
905712,\,210423,210420
905713,/,210420,210423
905714,\,210428,210427
905715,/,210427,210428
905716,\,210435,210433
905717,/,210433,210435
905718,\,210437,210433
905719,/,210433,210437
905720,\,210436,210437
905721,/,210437,210436
905722,\,210402,210405
905723,/,210405,210402
905724,\,210407,210406
905725,/,210406,210407
905726,\,210408,210406
905727,/,210406,210408
905728,\,210409,210406
905729,/,210406,210409
905730,\,210403,210406
905731,/,210406,210403
905732,\,210603,210599
905733,/,210599,210603
905734,\,210643,210599
905735,/,210599,210643
905736,\,210639,210599
905737,/,210599,210639
905738,\,210633,210599
905739,/,210599,210633
905740,\,210629,210599
905741,/,210599,210629
905742,\,210624,210599
905743,/,210599,210624
905744,\,210625,210599
905745,/,210599,210625
905746,\,210627,210599
905747,/,210599,210627
905748,\,210676,210599
905749,/,210599,210676
905750,\,210613,210599
905751,/,210599,210613
905752,\,210614,210599
905753,/,210599,210614
905754,\,210615,210599
905755,/,210599,210615
905756,\,210779,210599
905757,/,210599,210779
905758,\,210732,210599
905759,/,210599,210732
905760,\,210869,210599
905761,/,210599,210869
905762,\,210853,210599
905763,/,210599,210853
905764,\,210854,210599
905765,/,210599,210854
905766,\,210855,210599
905767,/,210599,210855
905768,\,210856,210599
905769,/,210599,210856
905770,\,210857,210599
905771,/,210599,210857
905772,\,210604,210599
905773,/,210599,210604
905774,\,210612,210604
905775,/,210604,210612
905778,\,210646,210599
905779,/,210599,210646
905780,\,210644,210599
905781,/,210599,210644
905782,\,210645,210599
905783,/,210599,210645
905784,\,210648,210599
905785,/,210599,210648
905786,\,210635,210599
905787,/,210599,210635
905788,\,210640,210599
905789,/,210599,210640
905790,\,210743,210599
905791,/,210599,210743
905792,\,210744,210599
905793,/,210599,210744
905794,\,210632,210599
905795,/,210599,210632
905796,\,210619,210599
905797,/,210599,210619
905798,\,210620,210599
905799,/,210599,210620
905800,\,210630,210599
