270869,270858
961197,/,270858,270869
961198,\,271025,271018
961199,/,271018,271025
961200,\,271033,271018
961201,/,271018,271033
961202,\,271023,271018
961203,/,271018,271023
961204,\,271024,271018
961205,/,271018,271024
961206,\,271029,271018
961207,/,271018,271029
961208,\,271028,271018
961209,/,271018,271028
961210,\,271026,271018
961211,/,271018,271026
961212,\,271027,271018
961213,/,271018,271027
961214,\,271031,271018
961215,/,271018,271031
961216,\,271034,271018
961217,/,271018,271034
961218,\,271040,271018
961219,/,271018,271040
961220,\,271048,271040
961221,/,271040,271048
961228,\,271111,271040
961229,/,271040,271111
961244,\,271047,271040
961245,/,271040,271047
961258,\,271062,271018
961259,/,271018,271062
961260,\,271061,271018
961261,/,271018,271061
961262,\,271063,271018
961263,/,271018,271063
961264,\,271064,271018
961265,/,271018,271064
961266,\,271066,271018
961267,/,271018,271066
961268,\,271067,271018
961269,/,271018,271067
961270,\,271056,271018
961271,/,271018,271056
961272,\,271052,271018
961273,/,271018,271052
961274,\,271053,271018
961275,/,271018,271053
961276,\,271089,271018
961277,/,271018,271089
961278,\,271054,271018
961279,/,271018,271054
961280,\,271055,271018
961281,/,271018,271055
961282,\,271077,271018
961283,/,271018,271077
961284,\,271078,271018
961285,/,271018,271078
961286,\,271079,271018
961287,/,271018,271079
961288,\,271080,271018
961289,/,271018,271080
961290,\,271051,271018
961291,/,271018,271051
961292,\,271050,271018
961293,/,271018,271050
961294,\,271070,271018
961295,/,271018,271070
961296,\,271072,271018
961297,/,271018,271072
961298,\,271071,271018
961299,/,271018,271071
961300,\,271073,271018
961301,/,271018,271073
961302,\,271069,271018
961303,/,271018,271069
961304,\,271074,271018
961305,/,271018,271074
961306,\,271076,271018
961307,/,271018,271076
961308,\,271075,271018
961309,/,271018,271075
961310,\,271081,271018
961311,/,271018,271081
961312,\,271082,271018
961313,/,271018,271082
961314,\,271068,271018
961315,/,271018,271068
961316,\,271090,271018
961317,/,271018,271090
961318,\,271095,271018
961319,/,271018,271095
961320,\,271094,271018
961321,/,271018,271094
961322,\,271091,271018
961323,/,271018,271091
961324,\,271092,271018
961325,/,271018,271092
961326,\,271097,271018
961327,/,271018,271097
961328,\,271098,271018
961329,/,271018,271098
961330,\,271099,271018
961331,/,271018,271099
961332,\,271085,271018
961333,/,271018,271085
961334,\,271083,271018
961335,/,271018,271083
961336,\,271084,271018
961337,/,271018,271084
961338,\,271088,271018
961339,/,271018,271088
961340,\,271086,271018
961341,/,271018,271086
961342,\,271087,271018
961343,/,271018,271087
961344,\,271106,271018
961345,/,271018,271106
961346,\,271104,271018
961347,/,271018,271104
961348,\,271105,271018
961349,/,271018,271105
961350,\,271057,271018
961351,/,271018,271057
961352,\,271100,271057
961353,/,271057,271100
961354,\,271059,271018
961355,/,271018,271059
961356,\,271058,271018
961357,/,271018,271058
961358,\,271060,271018
961359,/,271018,271060
961360,\,271101,271018
961361,/,271018,271101
961362,\,271102,271101
961363,/,271101,271102
961364,\,459192,271018
961365,/,271018,459192
961366,\,271115,271018
961367,/,271018,271115
961368,\,271116,271018
961369,/,271018,271116
961370,\,271118,271018
961371,/,271018,271118
961372,\,271119,271018
961373,/,271018,271119
961374,\,271120,271018
961375,/,271018,271120
961376,\,271103,271018
961377,/,271018,271103
961378,\,270818,270817
961379,/,270817,270818
961380,\,270821,270817
961381,/,270817,270821
961382,\,270820,270817
961383,/,270817,270820
961384,\,270819,270817
961385,/,270817,270819
961386,\,270822,270817
961387,/,270817,270822
961388,\,270835,270817
961389,/,270817,270835
961390,\,270833,270826
961391,/,270826,270833
961392,\,270830,270826
961393,/,270826,270830
961394,\,274319,274259
961395,/,274259,274319
961396,\,274297,459321
961397,/,459321,274297
961398,\,274440,459321
961399,/,459321,274440
961400,\,274422,459321
961401,/,459321,274422
961402,\,274424,459321
961403,/,459321,274424
961404,\,274268,274263
961405,/,274263,274268
961406,\,274271,274263
961407,/,274263,274271
961408,\,274272,274263
961409,/,274263,274272
961410,\,274273,274263
961411,/,274263,274273
961412,\,274269,274263
961413,/,274263,274269
961414,\,274277,274263
961415,/,274263,274277
961416,\,274275,274263
961417,/,274263,274275
961418,\,274274,274275
961419,/,274275,274274
961422,\,274305,274298
961423,/,274298,274305
961424,\,274303,274298
961425,/,274298,274303
961426,\,274310,274298
961427,/,274298,274310
961428,\,274312,274298
961429,/,274298,274312
961430,\,274313,274298
961431,/,274298,274313
961432,\,274314,274298
961433,/,274298,274314
961434,\,274280,274279
961435,/,274279,274280
961436,\,274281,274279
961437,/,274279,274281
961438,\,274286,274279
961439,/,274279,274286
961440,\,274285,274279
961441,/,274279,274285
961442,\,274291,274279
961443,/,274279,274291
961444,\,274282,274279
961445,/,274279,274282
961446,\,274283,274282
961447,/,274282,274283
961452,\,274288,274279
961453,/,274279,274288
961454,\,274289,274279
961455,/,274279,274289
961456,\,274291,274279
961457,/,274279,274291
961458,\,274326,274322
961459,/,274322,274326
961460,\,274323,274326
961461,/,274326,274323
961468,\,274328,274322
961469,/,274322,274328
961470,\,274448,274447
961471,/,274447,274448
961472,\,274449,274447
961473,/,274447,274449
961474,\,459332,274447
961475,/,274447,459332
961476,\,274445,274444
961477,/,274444,274445
961478,\,274380,274339
961479,/,274339,274380
961480,\,274381,274339
961481,/,274339,274381
961482,\,274377,274339
961483,/,274339,274377
961484,\,274379,274339
961485,/,274339,274379
961486,\,274378,274339
961487,/,274339,274378
961488,\,274375,274339
961489,/,274339,274375
961490,\,274376,274339
961491,/,274339,274376
961492,\,274383,274339
961493,/,274339,274383
961494,\,274382,274339
961495,/,274339,274382
961496,\,274368,274339
961497,/,274339,274368
961498,\,274369,274339
961499,/,274339,274369
961500,\,274370,274339
961501,/,274339,274370
961502,\,274372,274339
961503,/,274339,274372
961504,\,459325,274339
961505,/,274339,459325
961506,\,274373,274339
961507,/,274339,274373
961508,\,274402,274339
961509,/,274339,274402
961510,\,274403,274339
961511,/,274339,274403
961512,\,274407,274339
961513,/,274339,274407
961514,\,274408,274339
961515,/,274339,274408
961516,\,274410,274339
961517,/,274339,274410
961518,\,274409,274339
961519,/,274339,274409
961520,\,274412,274339
961521,/,274339,274412
961522,\,274413,274339
961523,/,274339,274413
961524,\,274414,274339
961525,/,274339,274414
961526,\,274411,274339
961527,/,274339,274411
961528,\,459328,274339
961529,/,274339,459328
961530,\,274404,274339
961531,/,274339,274404
961532,\,274406,274339
961533,/,274339,274406
961534,\,274405,274339
961535,/,274339,274405
961536,\,274371,274339
961537,/,274339,274371
961538,\,274392,274339
961539,/,274339,274392
961540,\,459327,274339
961541,/,274339,459327
961542,\,274390,274339
961543,/,274339,274390
961544,\,274391,274339
961545,/,274339,274391
961546,\,274365,274339
961547,/,274339,274365
961548,\,274366,274339
961549,/,274339,274366
961550,\,274367,274339
961551,/,274339,274367
961552,\,274389,274339
961553,/,274339,274389
961554,\,274395,274339
961555,/,274339,274395
961556,\,274394,274339
961557,/,274339,274394
961558,\,274393,274339
961559,/,274339,274393
961560,\,274396,274339
961561,/,274339,274396
961562,\,274398,274339
961563,/,274339,274398
961564,\,274397,274339
961565,/,274339,274397
961566,\,274400,274339
961567,/,274339,274400
961568,\,274399,274339
961569,/,274339,274399
961570,\,274401,274339
961571,/,274339,274401
961572,\,274388,274339
961573,/,274339,274388
961574,\,274387,274339
961575,/,274339,274387
961576,\,274415,274339
961577,/,274339,274415
961578,\,274416,274339
961579,/,274339,274416
961580,\,274417,274339
961581,/,274339,274417
961582,\,274419,274339
961583,/,274339,274419
961584,\,274420,274339
961585,/,274339,274420
961586,\,274453,274339
961587,/,274339,274453
961588,\,274450,274339
961589,/,274339,274450
961590,\,274451,274339
961591,/,274339,274451
961592,\,274452,274339
961593,/,274339,274452
961594,\,274458,274339
961595,/,274339,274458
961596,\,274374,274339
961597,/,274339,274374
961598,\,274386,274374
961599,/,274374,274386
961604,\,274421,274339
961605,/,274339,274421
961606,\,274418,274339
961607,/,274339,274418
961608,\,459326,274339
961609,/,274339,459326
961610,\,274454,274339
961611,/,274339,274454
961612,\,274457,274339
961613,/,274339,274457
961614,\,274455,274339
961615,/,274339,274455
961616,\,274456,274339
961617,/,274339,274456
961618,\,274425,274339
961619,/,274339,274425
961620,\,274427,274425
961621,/,274425,274427
961622,\,274432,274339
961623,/,274339,274432
961624,\,274429,274339
961625,/,274339,274429
961626,\,274428,274339
961627,/,274339,274428
961628,\,274433,274339
961629,/,274339,274433
961630,\,274439,274339
961631,/,274339,274439
961632,\,274438,274339
961633,/,274339,274438
961634,\,274436,274339
961635,/,274339,274436
961636,\,274430,274339
961637,/,274339,274430
961640,\,274431,274339
961641,/,274339,274431
961642,\,274503,274502
961643,/,274502,274503
961644,\,274503,274503
961645,/,274503,274503
961646,\,274505,274502
961647,/,274502,274505
961648,\,274507,274502
961649,/,274502,274507
961650,\,274571,274502
961651,/,274502,274571
961652,\,274572,274502
961653,/,274502,274572
961654,\,274577,274502
961655,/,274502,274577
961656,\,274573,274502
961657,/,274502,274573
961658,\,274574,274502
961659,/,274502,274574
961660,\,274578,274502
961661,/,274502,274578
