
387436,,वैश्वानरवत्,a,ap----a--c,,,,/ʋɑːiɕ.ʋɑː.nə.ɹə.ʋət̪/,वैश्वानर॔-वत्,0
387437,,वैश्वानरविद्या,n,n-----f--ā,,,,/ʋɑːiɕ.ʋɑː.nə.ɹə.ˈʋid̪.jɑː/,वैश्वानर॔-विद्या,0
387438,118593,वैश्वानरायण,n,n-----m--a,,,,/ʋɑːiɕ.ʋɑː.nə.ɹɑː.jə.ɳə/,वैश्वानरायण,0
387439,120453,वैश्वानरी,n,n-----f--ī,,,,/ʋɑːiɕ.ʋɑː.nə.ɹiː/,वैश्वानरी,0
387441,120456,वैश्वानरीय,n,n-----n--a,,,,/ʋɑːiɕ.ʋɑː.nə.ɹiː.jə/,वैश्वानरीय,0
387442,120455,वैश्वानरीय,a,ap----a--a,,,,/ʋɑːiɕ.ʋɑː.nə.ɹiː.jə/,वैश्वानरीय,0
387443,118597,वैश्वासिक,a,ap----a--a,,ap----f--ī=>ी,,/ʋɑːiɕ.ʋɑː.si.kə/,वैश्वासिक,0
387444,118596,वैश्वावसव,n,n-----n--a,,,,/ʋɑːiɕ.ʋɑː.ʋə.sə.ʋə/,वैश्वावसव॔,0
387445,,वैश्वावसव्य,n,n-----m--a,,,,/ʋɑːiɕ.ʋɑː.ʋə.ˈsəʋ.jə/,वैश्वावसव्य,0
387446,120437,वैश्वी,n,n-----f--ī,,,,/ʋɑːiɕ.ʋiː/,वैश्वी,0
387447,120430,वैश्य,a,ap----a--a,,,,/ʋɑːiɕ.jə/,वैश्य,0
387448,120428,वैश्य,n,n-----m--a,,,,/ʋɑːiɕ.jə/,वैश्य,0
387449,120429,वैश्य,n,n-----n--a,,,,/ʋɑːiɕ.jə/,वैश्य,0
387450,118561,वैश्यभद्रा,n,n-----f--ā,,,,/ʋɑːiɕ.jə.ˈbʱəd̪.ɹɑː/,वैश्य-भद्रा,0
387451,,वैश्यभाव,n,n-----m--a,,,,/ʋɑːiɕ.jə.bʱɑː.ʋə/,वैश्य-भाव,0
387452,118554,वैश्यचरित्र,n,n-----n--a,,,,/ʋɑːiɕ.jə.t͡ɕə.ˈɹit̪.ɹə/,वैश्य-चरित्र,0
387453,118558,वैश्यध्वंसिन्,a,ap----a--n,,,,/ʋɑːiɕ.ˈjəd̪ʰ.ˈʋə̃.sin/,वैश्य-ध्वंसिन्,0
387454,118553,वैश्यघ्न,n,n-----m--a,,,,/ʋɑːiɕ.ˈjəgʰ.nə/,वैश्य-घ्न,0
387455,118555,वैश्यजातीय,n,n-----m--a,,,,/ʋɑːiɕ.jə.d͡ʑɑː.t̪iː.jə/,वैश्य-जातीय,0
387456,,वैश्यकन्या,n,n-----f--ā,,,,/ʋɑːiɕ.jə.kən.jɑː/,वैश्य-कन्या,0
387457,,वैश्यकर्मन्,n,n-----n--n,,,,/ʋɑːiɕ.jə.ˈkəɹ.mən/,वैश्य-कर्मन्,0
387458,,वैश्यकर्मपुस्तक,n,n-----n--a,,,,/ʋɑːiɕ.jə.ˈkəɹ.mə.ˈpus.t̪ə.kə/,वैश्य-कर्म-पुस्तक,0
387459,118552,वैश्यकुल,n,n-----n--a,,,,/ʋɑːiɕ.jə.ku.lə/,वैश्य-कुल,0
387460,118560,वैश्यपुर,n,n-----n--a,,,,/ʋɑːiɕ.jə.pu.ɹə/,वैश्य-पुर,0
387461,118559,वैश्यपुत्र,n,n-----m--a,,,,/ʋɑːiɕ.jə.ˈput̪.ɹə/,वैश्य-पुत्र,0
387462,118565,वैश्यरत,a,ap----a--a,,,,/ʋɑːiɕ.jə.ɹə.t̪ə/,वैश्य-रत,0
387463,118567,वैश्यसव,n,n-----m--a,,,,/ʋɑːiɕ.jə.sə.ʋə/,वैश्य-सव,0
387464,118568,वैश्यस्तोम,n,n-----m--a,,,,/ʋɑːiɕ.ˈjəs.t̪oːmə/,वैश्य-स्तोम,0
387465,,वैश्यत्व,n,n-----n--a,,,,/ʋɑːiɕ.ˈjət̪.ʋə/,वैश्य-त्व,0
387466,,वैश्यता,n,n-----f--ā,,,,/ʋɑːiɕ.jə.t̪ɑː/,वैश्य-ता,0
