-f--ī,,,,/ɹiː/,री,0
344067,71916,रूक्षवाशिन्,a,ap----a--n,,,,/ɹuːk.ʂə.ʋɑː.ɕin/,रूक्ष॔-वाशिन्,0
344068,71922,रूक्षण,n,n-----n--a,,,,/ɹuːk.ʂə.ɳə/,रूक्षण,0
344069,71921,रूक्षण,a,ap----a--a,,,,/ɹuːk.ʂə.ɳə/,रूक्षण,0
344070,71923,रूक्षणीय,n,n-----m--a,,,,/ɹuːk.ʂə.ɳiː.jə/,रूक्षणीय,0
344071,71924,रूक्षणीया,n,n-----f--ā,,,,/ɹuːk.ʂə.ɳiː.jɑː/,रूक्षणीया,0
344072,,रूक्षित,a,ap----a--a,,,,/ɹuːk.ʂi.t̪ə/,रूक्षित,0
344073,,रूक्षितत्व,n,n-----n--a,,,,/ɹuːk.ʂi.ˈt̪ət̪.ʋə/,रूक्षित-त्व,0
344074,71898,रूक्षा,n,n-----f--ā,,,,/ɹuːk.ʂɑː/,रूक्षा॔,0
344075,71920,रूक्षाभिभाषिन्,a,ap----a--n,,ap----f--ī=>िणी,,/ɹuːk.ʂɑː.bʱi.bʱɑː.ʂin/,रूक्षाभिभाषिन्,0
344076,71926,रूक्षीकृत,a,ap----a--a,,,,/ɹuːk.ʂiː.kɹ̩.t̪ə/,रूक्षी-कृत,0
344077,79627,रूम,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=रूम",/ɹuː.mə/,रूम,0
344078,,रूप्,v,v----a--0- v----d--0-,,,,/ɹuːp/,रूप्,0
344079,71930,रूप,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=रूप",/ɹuː.pə/,रूप॔,0
344081,,रूप,a,ap----a--a,,ap----f--ā=>ा ap----f--ī=>ी,,/ɹuː.pə/,रूप॔,0
344083,,रूपभेद,n,n-----m--a,,,,/ɹuː.pə.bʱeː.d̪ə/,रूप॔-भेद,0
344084,71978,रूपभेद,n,n-----n--a,,,,/ɹuː.pə.bʱeː.d̪ə/,रूप॔-भेद,0
344085,,रूपभेदप्रकाश,n,n-----m--a,,,,/ɹuː.pə.bʱeː.ˈd̪əp.ɹə.kɑː.ɕə/,रूप॔-भेद-प्रकाश,0
344086,71973,रूपभागानुबन्ध,n,n-----m--a,,,,/ɹuː.pə.bʱɑː.gɑː.nu.bən.d̪ʰə/,रूप॔-भागानुबन्ध,0
344087,71974,रूपभागापवाह,n,n-----m--a,,,,/ɹuː.pə.bʱɑː.gɑː.pə.ʋɑː.ɦə/,रूप॔-भागापवाह,0
344088,,रूपभाज्,a,ap----a--c,,,,/ɹuː.pə.bʱɑːd͡ʑ/,रूप॔-भाज्,0
344089,,रूपभृत्,a,ap----a--c,,,,/ɹuː.pə.bʱɹ̩t̪/,रूप॔-भृत्,0
344090,71943,रूपचन्द्र,n,n-----m--a,,,,/ɹuː.pə.t͡ɕən.d̪ɹə/,रूप॔-चन्द्र,0
344091,71944,रूपचिन्तामणि,n,n-----m--i,,,,/ɹuː.pə.t͡ɕin.t̪ɑː.mə.ɳi/,रूप॔-चिन्तामणि,0
344092,71956,रूपदेव,n,n-----m--a,,,,/ɹuː.pə.d̪eː.ʋə/,रूप॔-देव,0
344093,,रूपधर,a,ap----a--a,,,,/ɹuː.pə.d̪ʰə.ɹə/,रूप॔-धर,0
344094,71958,रूपधर,n,n-----m--a,,,,/ɹuː.pə.d̪ʰə.ɹə/,रूप॔-धर,0
344095,71963,रूपधेय,n,n-----n--a,,,,/ɹuː.pə.d̪ʰeː.jə/,रूप॔-धे॔य,0
344096,,रूपधारिन्,a,ap----a--n,,,,/ɹuː.pə.d̪ʰɑː.ɹin/,रूप॔-धारिन्,0
344097,,रूपधारित्व,n,n-----n--a,,,,/ɹuː.pə.d̪ʰɑː.ˈɹit̪.ʋə/,रूप॔-धारि-त्व,0
344098,71959,रूपधातु,n,n-----m--u,,,,/ɹuː.pə.d̪ʰɑː.t̪u/,रूप॔-धातु,0
344099,71961,रूपधृक्,a,ap----a--c,,,,/ɹuː.pə.d̪ʰɹ̩k/,रूप॔-धृक्,0
344100,,रूपधृत्,a,ap----a--c,,,,/ɹuː.pə.d̪ʰɹ̩t̪/,रूप॔-धृत्,0
344101,71955,रूपदीपकपिङ्गल,n,n-----m--a,,,,/ɹuː.pə.d̪iː.pə.kə.piŋ.gə.lə/,रूप॔-दीपक-पिङ्गल,0
344102,,रूपगोस्वामिगुणलेशसूचकनामदशक,n,n-----n--a,,,,/ɹuː.pə.goːs.ʋɑː.mi.gu.ɳə.leː.ɕə.suː.t͡ɕə.kə.nɑː.mə.d̪ə.ɕə.kə/,रूप॔-गो-स्वामि-गुण-लेश-सूचक-नाम-दशक,0
344103,71940,रूपगोस्वामिन्,n,n-----m--n,,,,/ɹuː.pə.goːs.ʋɑː.min/,रूप॔-गो-स्वामिन्,0
344104,71942,रूपग्रह,n,n-----m--a,,,,/ɹuː.ˈpəg.ɹə.ɦə/,रूप॔-ग्रह,0
344105,71941,रूपग्रह,a,ap----a--a,,,,/ɹuː.ˈpəg.ɹə.ɦə/,रूप॔-ग्रह,0
344106,,रूपगुण,a,ap----a--a,,,,/ɹuː.pə.gu.ɳə/,रूप॔-गुण,0
344107,,रूपगुणोपेत,a,ap----a--a,,,,/ɹuː.pə.gu.ɳoː.peː.t̪ə/,रूप॔-गुणोपेत,0
344108,72015,रूपहानि,n,n-----f--i,,,,/ɹuː.pə.ɦɑː.ni/,रूप॔-हानि,0
344109,,रूपज्ञ,a,ap----a--a,,,,/ɹuː.ˈpəd͡ʑ.ɲə/,रूप॔-ज्ञ,0
344110,,रूपजीव,a,ap----a--a,,,,/ɹuː.pə.d͡ʑiː.ʋə/,रूप॔-जीव,0
344111,71946,रूपजीवना,n,n-----f--ā,,,,/ɹuː.pə.d͡ʑiː.ʋə.nɑː/,रूप॔-जीवना,0
344118,72038,रूपक,n,n-----n--a,,,n-----f--ā=रूपकआ,/ɹuː.pə.kə/,रूपक,0
344119,72035,रूपक,n,n-----m--a,,,,/ɹuː.pə.kə/,रूपक,0
344122,175482,रूपक,a,ap----a--a,,,,/ɹuː.pə.kə/,रूपक,0
344123,72040,रूपकनृत्य,n,n-----n--a,,,,/ɹuː.pə.kə.ˈnɹ̩t̪.jə/,रूपक-नृत्य,0
344124,72041,रूपकपरिभाषा,n,n-----f--ā,,,,/ɹuː.pə.kə.pə.ɹi.bʱɑː.ʂɑː/,रूपक-परिभाषा,0
344125,71933,रूपकर्तृ,n,n-----m--r,,,,/ɹuː.pə.ˈkəɹ.t̪ɹ̩/,रूप॔-कर्तृ,0
344126,72042,रूपकरूपक,n,n-----n--a,,,,/ɹuː.pə.kə.ɹuː.pə.kə/,रूपक-रूपक,0
344127,72039,रूपकताल,n,n-----n--a,,,,/ɹuː.pə.kə.t̪ɑː.lə/,रूपक-ताल,0
344128,71934,रूपकविराजगोस्वामिगुणलेशसूचकाष्टक,n,n-----n--a,,,,/ɹuː.pə.kə.ʋi.ɹɑː.d͡ʑə.goːs.ʋɑː.mi.gu.ɳə.leː.ɕə.suː.t͡ɕə.kɑːʂ.ʈə.kə/,रूप॔-कवि-राज-गो-स्वामि-गुण-लेश-सूचकाष्टक,0
344129,72043,रूपकवाक्य,n,n-----n--a,,,,/ɹuː.pə.kə.ʋɑːk.jə/,रूपक-वाक्य,0
344130,,रूपकशब्द,n,n-----m--a,,,,/ɹuː.pə.kə.ˈɕəb.d̪ə/,रूपक-शब्द,0
344131,72036,रूपका,n,n-----f--ā,,,,/ɹuː.pə.kɑː/,रू॔पका,0
344132,79598,रूपकाख्यषडङ्ग,n,n-----n--a,,,,/ɹuː.pə.kɑːkʰ.jə.ʂə.ɖəŋ.gə/,रूपकाख्य-षड्-अङ्ग,0
344133,71935,रूपकान्ता,n,n-----f--ā,,,,/ɹuː.pə.kɑːn.t̪ɑː/,रूप॔-कान्ता,0
344134,71936,रूपकार,n,n-----m--a,,,,/ɹuː.pə.kɑː.ɹə/,रूप॔-कार,0
344135,71937,रूपकृत्,a,ap----a--c,,,,/ɹuː.pə.kɹ̩t̪/,रूप॔-कृ॔त्,0
344136,71938,रूपकृत्,n,n-----m--c,,,,/ɹuː.pə.kɹ̩t̪/,रूप॔-कृ॔त्,0
344137,71990,रूपलता,n,n-----f--ā,,,,/ɹuː.pə.lə.t̪ɑː/,रूप॔-लता,0
344138,,रूपलावण्य,n,n-----n--a,,,,/ɹuː.pə.lɑː.ˈʋəɳ.jə/,रूप॔-लावण्य,0
344139,71981,रूपमती,n,n-----f--ī,,,,/ɹuː.pə.mə.t̪iː/,रूप॔-मती,0
344140,71979,रूपमञ्जरी,n,n-----f--ī,,,,/ɹuː.pə.məɲ.d͡ʑə.ɹiː/,रूप॔-मञ्जरी,0
344141,,रूपमञ्जरीगुणलेशसूचकाष्टक,n,n-----n--a,,,,/ɹuː.pə.məɲ.d͡ʑə.ɹiː.gu.ɳə.leː.ɕə.suː.t͡ɕə.kɑːʂ.ʈə.kə/,रूप॔-मञ्जरी-गुण-लेश-सूचकाष्टक,0
344142,,रूपमञ्जरीपादाम्बुजसेवाप्रार्थना,n,n-----f--ā,,,,/ɹuː.pə.məɲ.d͡ʑə.ɹiː.pɑː.d̪ɑːm.bu.d͡ʑə.seː.ʋɑːp.ɹɑːɹ.t̪ʰə.nɑː/,रूप॔-मञ्जरी-पादाम्बुज-सेवा-प्रार्थना,0
344143,71980,रूपमण्डन,n,n-----n--a,,,,/ɹuː.pə.ˈməɳ.ɖə.nə/,रूप॔-मण्डन,0
344144,71983,रूपमाला,n,n-----f--ā,,,,/ɹuː.pə.mɑː.lɑː/,रूप॔-माला,0
344145,,रूपमाली,n,n-----f--ī,,,,/ɹuː.pə.mɑː.liː/,रूप॔-माली,0
344146,,रूपमात्र,n,n-----n--a,,,,/ɹuː.pə.mɑːt̪.ɹə/,रूप॔-मात्र,0
344147,71964,रूपनयन,n,n-----m--a,,,,/ɹuː.pə.nə.jə.nə/,रूप॔-नयन,0
344148,71965,रूपनारायण,n,n-----m--a,,,,/ɹuː.pə.nɑː.ɹɑː.jə.ɳə/,रूप॔-नारायण,0
344149,,रूपनारायणचक्रवर्तिन्,n,n-----m--n,,,,/ɹuː.pə.nɑː.ɹɑː.jə.ɳə.ˈt͡ɕək.ɹə.ˈʋəɹ.t̪in/,रूप॔-नारायण-चक्र-वर्तिन्,0
344150,,रूपनारायणसेन,n,n-----m--a,,,,/ɹuː.pə.nɑː.ɹɑː.jə.ɳə.seː.nə/,रूप॔-नारायण-सेन,0
344151,71966,रूपनाशन,n,n-----m--a,,,,/ɹuː.pə.nɑː.ɕə.nə/,रूप॔-नाशन,0
344152,71967,रूपनाशिन्,a,ap----a--n,,,,/ɹuː.pə.nɑː.ɕin/,रूप॔-नाशिन्,0
344153,71968,रूपप,n,n-----m--a,,,,/ɹuː.pə.pə/,रूप॔-प,0
344154,71970,रूपपरिकल्पना,n,n-----f--ā,,,,/ɹuː.pə.pə.ɹi.ˈkəl.pə.nɑː/,रूप॔-परिकल्पना,0
344155,71969,रूपपति,n,n-----m--i,,,,/ɹuː.pə.pə.t̪i/,रूप॔-पति,0
344156,71972,रूपप्रश्न,n,n-----m--a,,,,/ɹuːpəpɹəɕnə/,रूप॔-प्रश्न,0
344157,71971,रूपपुर,n,n-----n--a,,,,/ɹuː.pə.pu.ɹə/,रूप॔-पुर,0
344158,,रूपरसगन्धस्पर्शवत्,a,ap----a--c,,,,/ɹuː.pə.ɹə.sə.gən.ˈd̪ʰəs.pə.ɹɕə.ʋət̪/,रूप॔-रस-गन्ध-स्पर्श-वत्,0
344159,,रूपरसस्पर्शवत्,a,ap----a--c,,,,/ɹuː.pə.ɹə.ˈsəs.pə.ɹɕə.ʋət̪/,रूप॔-रस-स्पर्शवत्,0
344160,71986,रूपरत्नाकर,n,n-----m--a,,,,/ɹuː.pə.ˈɹət̪.nɑː.kə.ɹə/,रूप॔-रत्नाकर,0
344161,,रूपराग,n,n-----m--a,,,,/ɹuː.pə.ɹɑː.gə/,रूप॔-राग,0
344162,,रूपसम्पद्,n,n-----f--c,,,,/ɹuː.pə.səm.pəd̪/,रूप॔-सम्पद्,0
344163,,रूपसम्पन्न,a,ap----a--a,,,,/ɹuː.pə.səm.pən.nə/,रूप॔-सम्पन्न,0
344164,,रूपसम्पत्ति,n,n-----f--i,,,,/ɹuː.pə.səm.ˈpət̪.t̪i/,रूप॔-सम्पत्ति,0
344165,,रूपसमृद्ध,a,ap----a--a,,,,/ɹuː.pə.sə.ˈmɹ̩d̪.d̪ʰə/,रूप॔-समृद्ध,0
344166,,रूपसमृद्धि,n,n-----f--i,,,,/ɹuː.pə.sə.ˈmɹ̩d̪.d̪ʰi/,रूप॔-समृद्धि,0
344167,72003,रूपसनातन,n,n-----m--a,,,,/ɹuː.pə.sə.nɑː.t̪ə.nə/,रूप॔-सनातन,0
344168,,रूपसौभाग्यवत्,a,ap----a--c,,,,/ɹuː.pə.ˈsəौ.bʱɑːg.jə.ʋət̪/,रूप॔-सौभाग्य-वत्,0
344169,72010,रूपसेन,n,n-----m--a,,,,/ɹuː.pə.seː.nə/,रूप॔-सेन,0
344170,72009,रूपसिद्धि,n,n-----m--i,,,,/ɹuː.pə.ˈsid̪.d̪ʰi/,रूप॔-सिद्धि,0
344171,72012,रूपस्कन्ध,n,n-----m--a,,,,/ɹuː.ˈpəs.kən.d̪ʰə/,रूप॔-स्कन्ध,0
344172,,रूपस्पर्शवत्,a,ap----a--c,,,,/ɹuː.ˈpəs.pə.ɹɕə.ʋət̪/,रूप॔-स्पर्श-वत्,0
344173,,रूपस्थ,a,ap----a--a,,,,/ɹuː.ˈpəs.t̪ʰə/,रूप॔-स्थ,0
344174,79600,रूपस्विन्,a,ap----a--n,,,,/ɹuː.ˈpəs.ʋin/,रूपस्विन्,0
344175,79601,रूपस्विनी,n,n-----f--ī,,,,/ɹuː.ˈpəs.ʋi.niː/,रूपस्विनी,0
344176,71949,रूपतम,n,n-----n--a,,,,/ɹuː.pə.t̪ə.mə/,रूप॔-तम,0
344177,71950,रूपतरंगिणी,n,n-----f--ī,,,,/ɹuː.pə.t̪ə.ɹəŋ.gi.ɳiː/,रूप॔-तरंगिणी,0
344178,71951,रूपतर्क,n,n-----m--a,,,,/ɹuː.pə.ˈt̪əɹ.kə/,रूप॔-तर्क,0
344179,71952,रूपतस्,r,rp--------,,,,/ɹuː.pə.t̪əs/,रूप॔-तस्,0
344180,71948,रूपतत्त्व,n,n-----n--a,,,,/ɹuː.pə.ˈt̪ət̪.t̪ʋə/,रूप॔-तत्त्व,0
344181,71954,रूपत्व,n,n-----n--a,,,,/ɹuː.ˈpət̪.ʋə/,रूप॔-त्व,0
344182,,रूपत्वजातिप्रमाण,n,n-----n--a,,,,/ɹuː.ˈpət̪.ʋə.d͡ʑɑː.ˈt̪ip.ɹə.mɑː.ɳə/,रूप॔-त्व-जाति-प्रमाण,0
344183,71953,रूपता,n,n-----f--ā,,,,/ɹuː.pə.t̪ɑː/,रूप॔-ता,0
344184,71992,रूपवज्रा,n,n-----f--ā,,,,/ɹuː.pə.ˈʋəd͡ʑ.ɹɑː/,रूप॔-वज्रा,0
344185,71993,रूपवत्,a,ap----a--c,,,,/ɹuː.pə.ʋət̪/,रूप॔-वत्,0
344186,71994,रूपवती,n,n-----f--ī,,,,/ɹuː.pə.ʋə.t̪iː/,रूप॔-वती,0
344188,71999,रूपविभाग,n,n-----m--a,,,,/ɹuː.pə.ʋi.bʱɑː.gə/,रूप॔-विभाग,0
344189,71997,रूपविचार,n,n-----m--a,,,,/ɹuː.pə.ʋi.t͡ɕɑː.ɹə/,रूप॔-विचार,0
344190,,रूपविपर्यय,n,n-----m--a,,,,/ɹuː.pə.ʋi.ˈpəɹ.jə.jə/,रूप॔-विपर्यय,0
344191,71996,रूपवाहिक,n,n-----m--a,,,,/ɹuː.pə.ʋɑː.ɦi.kə/,रूप॔-वाहिक,0
344192,71995,रूपवासिक,n,n-----m--a,,,,/ɹuː.pə.ʋɑː.si.kə/,रूप॔-वासिक,0
344193,,रूपयौवनवत्,a,ap----a--c,,,,/ɹuː.pə.ˈjəौ.ʋə.nə.ʋət̪/,रूप॔-यौवन-वत्,0
344194,71985,रूपयौवनोत्साहिन्,a,ap----a--n,,,,/ɹuː.pə.ˈjəौ.ʋə.noːt̪.sɑː.ɦin/,रूप॔-यौवनोत्साहिन्,0
344195,72000,रूपशस्,r,rp--------,,,,/ɹuː.pə.ɕəs/,रूप॔-श॔स्,0
344196,72002,रूपशिखा,n,n-----f--ā,,,,/ɹuː.pə.ɕi.kʰɑː/,रूप॔-शिखा,0
344197,72001,रूपशालिन्,a,ap----a--n,,,,/ɹuː.pə.ɕɑː.lin/,रूप॔-शालिन्,0
344198,79599,रूपण,n,n-----n--a,,,,/ɹuː.pə.ɳə/,रूपण,0
344199,72028,रूपेन्द्रिय,n,n-----n--a,,,,/ɹuː.peːn.d̪ɹi.jə/,रूपेन्द्रिय,0
344200,72029,रूपेश्वर,n,n-----m--a,,,,/ɹuːpeːɕʋəɹə/,रूपेश्वर,0
344201,72030,रूपेश्वरी,n,n-----f--ī,,,,/ɹuːpeːɕʋəɹiː/,रूपेश्वरी,0
344202,79609,रूपिदारक,n,n-----m--a,,,,/ɹuː.pi.d̪ɑː.ɹə.kə/,रूपि-दारक,0
344203,79605,रूपिक,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=रूपिक",/ɹuː.pi.kə/,रूपिक,0
344204,72037,रूपिका,n,n-----f--ā,,,,/ɹuː.pi.kɑː/,रूपिका,0
344205,79610,रूपिन्,a,ap----a--n,,ap----f--ī=>िणी,,/ɹuː.pin/,रूपिन्,0
344206,,रूपित,a,ap----a--a,,,,/ɹuː.pi.t̪ə/,रूपित,0
344207,79606,रूपिण,n,n-----m--a,,,,/ɹuː.pi.ɳə/,रूपिण,0
344208,79607,रूपिणिका,n,n-----f--ā,,,,/ɹuː.pi.ɳi.kɑː/,रूपिणिका,0
344209,72031,रूपोच्चय,n,n-----m--a,,,,/ɹuː.poːt͡ɕ.t͡ɕə.jə/,रूपोच्चय,0
344210,,रूपोपजीवन,n,n-----n--a,,,,/ɹuː.poː.pə.d͡ʑiː.ʋə.nə/,रूपोपजीवन,0
344211,72033,रूपोपजीविन्,a,ap----a--n,,,,/ɹuː.poː.pə.d͡ʑiː.ʋin/,रूपोपजीविन्,0
344212,79612,रूप्य,n,n-----m--a,,,,/ɹuːp.jə/,रूप्य,0
344213,79611,रूप्य,a,ap----a--a,,,,/ɹuːp.jə/,रूप्य,0
344215,79614,रूप्य,n,n-----n--a,,,,/ɹuːp.jə/,रूप्य,0
344218,,रूप्यद,a,ap----a--a,,,,/ɹuːp.jə.d̪ə/,रूप्य-द,0
344219,79616,रूप्यधौत,n,n-----n--a,,,,/ɹuːp.jə.ˈd̪ʰəौ.t̪ə/,रूप्य-धौत,0
344220,,रूप्यमय,a,ap----a--a,,ap----f--ī=>ी,,/ɹuːp.jə.mə.jə/,रूप्य-मय,0
344221,79618,रूप्यमाक्षिक,n,n-----n--a,,,,/ɹuːp.jə.mɑːk.ʂi.kə/,रूप्य-माक्षिक,0
344222,79619,रूप्यमाष,n,n-----m--a,,,,/ɹuːp.jə.mɑː.ʂə/,रूप्य-माष,0
344223,79620,रूप्यरज्जु,n,n-----f--u,,,,/ɹuːp.jə.ˈɹəd͡ʑ.d͡ʑu/,रूप्य-रज्जु,0
344224,79621,रूप्यरत्नपरीक्षा,n,n-----f--ā,,,,/ɹuːp.jə.ˈɹət̪.nə.pə.ɹiːk.ʂɑː/,रूप्य-रत्न-परीक्षा,0
344225,,रूप्यरुक्ममय,a,ap----a--a,,ap----f--ī=>ी,,/ɹuːp.jə.ˈɹuk.mə.mə.jə/,रूप्य-रुक्म-मय,0
344226,79624,रूप्यस्वर्णमणिमय,a,ap----a--a,,ap----f--ī=>ी,,/ɹuːp.ˈjəs.ˈʋəɹ.ɳə.mə.ɳi.mə.jə/,रूप्य-स्वर्ण-मणि-मय,0
344227,79623,रूप्यशतमान,n,n-----n--a,,,,/ɹuːp.jə.ɕə.t̪ə.mɑː.nə/,रूप्य-शत-मान,0
344228,79613,रूप्या,n,n-----f--ā,,,,/ɹuːp.jɑː/,रूप्या,0
344229,79625,रूप्याचल,n,n-----m--a,,,,/ɹuːp.jɑː.t͡ɕə.lə/,रूप्याचल,0
344230,79626,रूप्याध्यक्ष,n,n-----m--a,,,,/ɹuːp.jɑːd̪ʰ.ˈjək.ʂə/,रूप्याध्यक्ष,0
344231,71932,रूपा,n,n-----f--ā,,,,/ɹuː.pɑː/,रूपा,0
344232,72019,रूपाभिग्राहित,a,ap----a--a,,,,/ɹuː.pɑː.ˈbʱig.ɹɑː.ɦi.t̪ə/,रूपाभिग्राहित,0
344233,72018,रूपाधिबोध,n,n-----m--a,,,,/ɹuː.pɑː.d̪ʰi.boː.d̪ʰə/,रूपाधिबोध,0
344234,72016,रूपाजीव,a,ap----a--a,,ap----f--ā=>ा,,/ɹuː.pɑː.d͡ʑiː.ʋə/,रूपाजीव,0
