-f--ī,,,,/ɹiː/,री,0
345055,17241,सदावरदायक,n,n-----m--a,,,,/sə.d̪ɑː.ʋə.ɹə.d̪ɑː.jə.kə/,स॔दा-वर-दायक,0
345056,17243,सदावृध,a,ap----a--a,,ap----f--ā=>ा,,/sə.d̪ɑː.ʋɹ̩.d̪ʰə/,स॔दा-वृध,0
345057,17242,सदावृत्ति,n,n-----f--i,,,,/sə.d̪ɑː.ˈʋɹ̩t̪.t̪i/,स॔दा-वृत्ति,0
345058,17237,सदायोगिन्,a,ap----a--n,,,,/sə.d̪ɑː.joː.gin/,स॔दा-योगिन्,0
345059,17238,सदायोगिन्,n,n-----m--n,,,,/sə.d̪ɑː.joː.gin/,स॔दा-योगिन्,0
345060,,सदाशय,a,ap----a--a,,,,/sə.d̪ɑː.ɕə.jə/,सद्-आशय,0
345061,17244,सदाशंकर,n,n-----m--a,,,,/sə.d̪ɑː.ɕəŋ.kə.ɹə/,स॔दा-शंकर,0
345062,16891,सदाशिस्,n,n-----f-si,,,,/sə.d̪ɑː.ɕis/,सद्-आशिस्,0
345063,17246,सदाशिव,n,n-----m--a,,,,/sə.d̪ɑː.ɕi.ʋə/,स॔दा-शिव,0
345064,17245,सदाशिव,a,ap----a--a,,,,/sə.d̪ɑː.ɕi.ʋə/,स॔दा-शिव,0
345101,17270,सदृशत्व,n,n-----n--a,,,,/sə.d̪ɹ̩.ˈɕət̪.ʋə/,सदृश-त्व,0
345066,,सदाशिवभट्टीय,n,n-----n--a,,,,/sə.d̪ɑː.ɕi.ʋə.ˈbʱəʈ.ʈiː.jə/,स॔दा-शिव-भट्टीय,0
345067,,सदाशिवब्रह्मन्,n,n-----n--n,,,,/sə.d̪ɑː.ɕi.ˈʋəb.ˈɹəɦ.mən/,स॔दा-शिव-ब्रह्मन्,0
345068,,सदाशिवब्रह्मवृत्ति,n,n-----f--i,,,,/sə.d̪ɑː.ɕi.ˈʋəb.ˈɹəɦ.mə.ˈʋɹ̩t̪.t̪i/,स॔दा-शिव-ब्रह्म-वृत्ति,0
345069,,सदाशिवब्रह्मार्या,n,n-----f--ā,,,,/sə.d̪ɑː.ɕi.ˈʋəb.ˈɹəɦ.mɑːɹ.jɑː/,स॔दा-शिव-ब्रह्मार्या,0
345070,,सदाशिवगीता,n,n-----f--ā,,,,/sə.d̪ɑː.ɕi.ʋə.giː.t̪ɑː/,स॔दा-शिव-गीता,0
345071,,सदाशिवकवच,n,n-----n--a,,,,/sə.d̪ɑː.ɕi.ʋə.kə.ʋə.t͡ɕə/,स॔दा-शिव-कवच,0
345072,,सदाशिवमाला,n,n-----f--ā,,,,/sə.d̪ɑː.ɕi.ʋə.mɑː.lɑː/,स॔दा-शिव-माला,0
345073,,सदाशिवनाममन्त्र,n,n-----m--a,,,,/sə.d̪ɑː.ɕi.ʋə.nɑː.mə.mən.t̪ɹə/,स॔दा-शिव-नाम-मन्त्र,0
345074,,सदाशिवपद,n,n-----n--a,,,,/sə.d̪ɑː.ɕi.ʋə.pə.d̪ə/,स॔दा-शिव-पद,0
345075,,सदाशिवसहस्रनामन्,n,n-----n--n,,,,/sə.d̪ɑː.ɕi.ʋə.sə.ˈɦəs.ɹə.nɑː.mən/,स॔दा-शिव-सहस्र-नामन्,0
345076,,सदाशिवसंहिता,n,n-----f--ā,,,,/sə.d̪ɑː.ɕi.ʋə.ˈsə̃.ɦi.t̪ɑː/,स॔दा-शिव-संहिता,0
345077,,सदाशिवस्तोत्र,n,n-----n--a,,,,/sə.d̪ɑː.ɕi.ˈʋəs.t̪oːt̪.ɹə/,स॔दा-शिव-स्तोत्र,0
345078,,सदाशिवता,n,n-----f--ā,,,,/sə.d̪ɑː.ɕi.ʋə.t̪ɑː/,स॔दा-शिव-ता,0
345079,,सदाशिवषण्मुखसंवाद,n,n-----m--a,,,,/sə.d̪ɑː.ɕi.ʋə.ˈʂəɳ.mu.kʰə.ˈsə̃.ʋɑː.d̪ə/,स॔दा-शिव-षण्-मुख-संवाद,0
345080,209672,सदाशिवा,n,n-----f--ā,,,,/sə.d̪ɑː.ɕi.ʋɑː/,स॔दा-शिवा,0
345081,,सदाशिवार्या,n,n-----f--ā,,,,/sə.d̪ɑː.ɕi.ʋɑːɹ.jɑː/,स॔दा-शिवार्या,0
345082,,सदाशिवाष्टक,n,n-----n--a,,,,/sə.d̪ɑː.ɕi.ʋɑːʂ.ʈə.kə/,स॔दा-शिवाष्टक,0
345083,17247,सदाश्रित,a,ap----a--a,,,,/səd̪ɑːɕɹit̪ə/,सद्-आश्रित,0
345084,17247,सदाश्रित,a,ap----a--a,,,,/səd̪ɑːɕɹit̪ə/,स॔दाश्रित,0
345085,17261,सदाश्व,n,n-----m--a,,,,/səd̪ɑːɕʋə/,सदाश्व,0
345086,17165,सदीक्षोपसत्क,a,ap----a--a,,,,/sə.d̪iːk.ʂoː.pə.ˈsət̪.kə/,स-दीक्षोपस॔त्क,0
345087,17166,सदीनम्,r,rp--------,,,,/sə.d̪iː.nəm/,स-दीनम्,0
345088,,सदीपक,a,ap----a--a,,,,/sə.d̪iː.pə.kə/,स-दीपक,0
345089,,सदीश्वर,n,n-----m--a,,,,/səd̪iːɕʋəɹə/,सद्-ईश्वर,0
345090,,सदूर्व,a,ap----a--a,,,,/sə.d̪uːɹ.ʋə/,स-दूर्व,0
345091,17265,सदृग्भवम्,r,rp--------,,,,/sə.ˈd̪ɹ̩g.bʱə.ʋəm/,सदृग्-भवम्,0
345092,17263,सदृक,n,n-----m--a,,,,/sə.d̪ɹ̩.kə/,सदृक,0
345093,17264,सदृक्ष,a,ap----a--a,,ap----f--ī=>ी,,/sə.ˈd̪ɹ̩k.ʂə/,स-दृ॔क्ष,0
345094,206002,सदृश्,a,ap----a--c,,,,/sə.d̪ɹ̩ɕ/,सदृ॔श्,0
345095,,सदृश,n,n-----n--a,,,n-----f--ā=सदृशआ n-----f--ī=सदृशई,/sə.d̪ɹ̩.ɕə/,सदृश,0
345096,17267,सदृशक्षम,a,ap----a--a,,,,/sə.d̪ɹ̩.ˈɕək.ʂə.mə/,सदृश-क्षम,0
345097,,सदृशम्,r,rp--------,,,,/sə.d̪ɹ̩.ɕəm/,सदृशम्,0
345098,17275,सदृशस्पन्दन,n,n-----n--a,,,,/sə.d̪ɹ̩.ˈɕəs.pən.d̪ə.nə/,सदृश-स्पन्दन,0
345099,17274,सदृशस्त्री,n,n-----f--ī,,,,/sə.d̪ɹ̩.ˈɕəs.t̪ɹiː/,सदृश-स्त्री,0
345100,17268,सदृशतम,a,ap----a--a,,,,/sə.d̪ɹ̩.ɕə.t̪ə.mə/,सदृश-तम,0
345102,,सदृशता,n,n-----f--ā,,,,/sə.d̪ɹ̩.ɕə.t̪ɑː/,सदृश-ता,0
345103,17271,सदृशविनिमय,n,n-----m--a,,,,/sə.d̪ɹ̩.ɕə.ʋi.ni.mə.jə/,सदृश-विनिमय,0
345104,,सदृशवृत्ति,a,ap----a--i,,,,/sə.d̪ɹ̩.ɕə.ˈʋɹ̩t̪.t̪i/,सदृश-वृत्ति,0
345105,,सदृशवृत्तिता,n,n-----f--ā,,,,/sə.d̪ɹ̩.ɕə.ˈʋɹ̩t̪.t̪i.t̪ɑː/,सदृश-वृत्ति-ता,0
345106,17273,सदृशश्वेत,a,ap----a--a,,,,/səd̪ɹ̩ɕəɕʋeːt̪ə/,सदृश-श्वेत,0
345107,17276,सदृशासदृशयोग्यायोग्यत्व,n,n-----n--a,,,,/sə.d̪ɹ̩.ɕɑː.sə.d̪ɹ̩.ɕə.joːg.jɑː.joːg.ˈjət̪.ʋə/,सदृशासदृश-योग्यायोग्य-त्व,0
345108,17172,सदृष्टिक्षेपम्,r,rp--------,,,,/sə.ˈd̪ɹ̩ʂ.ˈʈik.ʂeː.pəm/,स-दृष्टिक्षेपम्,0
345109,,सग्,v,v----a--1-,,,,/səg/,सग्,0
345110,,सगद्गद,a,ap----a--a,,,,/sə.ˈgəd̪.gə.d̪ə/,स-गद्गद,0
345111,,सगद्गदगिर्,a,ap----a--c,,,,/sə.ˈgəd̪.gə.d̪ə.giɹ/,स-गद्गद-गिर्,0
345112,,सगद्गदम्,r,rp--------,,,,/sə.ˈgəd̪.gə.d̪əm/,स-गद्गदम्,0
345113,,सगद्गदस्वरम्,r,rp--------,,,,/sə.ˈgəd̪.gə.ˈd̪əs.ʋə.ɹəm/,स-गद्गद-स्वरम्,0
345114,,सगजारोह,a,ap----a--a,,,,/sə.gə.d͡ʑɑː.ɹoː.ɦə/,स-गजारोह,0
345115,8714,सगन्ध,a,ap----a--a,,,,/sə.gən.d̪ʰə/,स-गन्ध,0
345116,,सगन्धर्व,a,ap----a--a,,,,/sə.gən.ˈd̪ʰəɹ.ʋə/,स-गन्धर्व,0
345117,,सगन्धर्वाप्सरस्क,a,ap----a--a,,,,/sə.gən.ˈd̪ʰəɹ.ʋɑːp.sə.ˈɹəs.kə/,स-गन्धर्वाप्सरस्क,0
345119,8743,सगर,n,n-----m--a,,,n-----f--ā=सगरआ,/sə.gə.ɹə/,स॔गर,0
345121,8743,सगर,n,n-----m--a,,,,/sə.gə.ɹə/,स-गर,0
345122,8742,सगर,a,ap----a--a,,,,/sə.gə.ɹə/,स-गर,0
345124,8717,सगरस्,a,ap----a-sa,,,,/sə.gə.ɹəs/,स-गरस्,0
345125,,सगर्भ,n,n-----m--a,,,,/sə.ˈgəɹ.bʱə/,स-गर्भ,0
345126,8718,सगर्भ,a,ap----a--a,,ap----f--ā=>ा,,/sə.ˈgəɹ.bʱə/,स-गर्भ,0
345127,8720,सगर्भ्य,n,n-----m--a,,,,/sə.ˈgəɹ.bʱjə/,स-गर्भ्य,0
345128,8719,सगर्भा,n,n-----f--ā,,,,/sə.ˈgəɹ.bʱɑː/,स-गर्भा,0
345129,8744,सगरोपाख्यान,n,n-----n--a,,,,/sə.gə.ɹoː.pɑːkʰ.jɑː.nə/,सगरोपाख्यान,0
345130,,सगर्व,a,ap----a--a,,,,/sə.ˈgəɹ.ʋə/,स-गर्व,0
345131,,सगर्वम्,r,rp--------,,,,/sə.ˈgəɹ.ʋəm/,स-गर्वम्,0
345132,8745,सगरी,n,n-----f--ī,,,,/sə.gə.ɹiː/,सगरी,0
345133,8712,सगतिक,a,ap----a--a,,,,/sə.gə.t̪i.kə/,स-गतिक,0
345134,8736,सगौरवम्,r,rp--------,,,,/sə.ˈgəौ.ɹə.ʋəm/,स-गौरवम्,0
345135,,सगण,a,ap----a--a,,,,/sə.gə.ɳə/,स॔-गण,0
345136,8710,सगण,n,n-----m--a,,,,/sə.gə.ɳə/,स॔-गण,0
345137,8746,सग्धि,n,n-----f--i,,,,/ˈsəg.d̪ʰi/,स॔-ग्धि,0
345138,8747,सग्धिति,n,n-----f--i,,,,/ˈsəg.d̪ʰi.t̪i/,स॔ग्धिति,0
345139,219317,सघ्,v,v----a--5-,,,,/səgʰ/,सघ्,0
345140,8749,सघ,n,n-----m--a,,,,/sə.gʰə/,सघ,0
345141,8750,सघन्,n,n-----m--n,,,,/sə.gʰən/,स॔घन्,0
345142,,सघन,a,ap----a--a,,,,/sə.gʰə.nə/,स-घन,0
345143,,सघोष,a,ap----a--a,,,,/sə.gʰoː.ʂə/,स-घोष,0
345144,,सघृत,a,ap----a--a,,,,/sə.gʰɹ̩.t̪ə/,स-घृत,0
345145,,सघृण,a,ap----a--a,,ap----f--ā=>ा,,/sə.gʰɹ̩.ɳə/,स-घृण,0
345146,8748,सग्म,n,n-----m--a,,,,/ˈsəg.mə/,स-ग्म॔,0
345147,,सगोमय,a,ap----a--a,,ap----f--ā=>ा,,/sə.goːmə.jə/,स-गोमय,0
345148,8733,सगोत्र,n,n-----n--a,,,,/sə.goːt̪.ɹə/,स-गोत्र,0
345150,8732,सगोत्र,n,n-----m--a,,,,/sə.goːt̪.ɹə/,स-गोत्र,0
345151,8731,सगोत्र,a,ap----a--a,,,,/sə.goːt̪.ɹə/,स-गोत्र,0
345152,8737,सग्रह,a,ap----a--a,,,,/ˈsəg.ɹə.ɦə/,स-ग्रह,0
345153,8722,सगु,a,ap----a--u,,,,/sə.gu/,स-गु,0
345154,8727,सगुलिक,a,ap----a--a,,,,/sə.gu.li.kə/,स-गुलिक,0
345155,8726,सगुड,a,ap----a--a,,ap----f--ā=>ा,,/sə.gu.ɖə/,स-गुड,0
345156,,सगुडशृङ्गक,a,ap----a--a,,ap----f--ā=>िका,,/sə.gu.ɖə.ɕɹ̩ŋ.gə.kə/,स-गुड-शृङ्गक,0
345157,,सगुण,a,ap----a--a,,ap----f--ā=>ा,,/sə.gu.ɳə/,स-गुण,0
345158,,सगुणनिर्गुणवाद,n,n-----m--a,,,,/sə.gu.ɳə.ˈniɹ.gu.ɳə.ʋɑː.d̪ə/,स-गुण-निर्गुण-वाद,0
345159,,सगुणत्व,n,n-----n--a,,,,/sə.gu.ˈɳət̪.ʋə/,स-गुण-त्व,0
345160,,सगुणवती,n,n-----f--ī,,,,/sə.gu.ɳə.ʋə.t̪iː/,स-गुण-वती,0
345161,,सगुणिन्,a,ap----a--n,,,,/sə.gu.ɳin/,स-गुणिन्,0
345162,8728,सगूढम्,r,rp--------,,,,/sə.guː.ɖʰəm/,स-गूढम्,0
345163,8729,सगृह,a,ap----a--a,,,,/sə.gɹ̩.ɦə/,स-गृह,0
345164,8730,सगृहपतिक,a,ap----a--a,,,,/sə.gɹ̩.ɦə.pə.t̪i.kə/,स-गृह-पतिक,0
345165,,सह्,v,v----d--1- v----a--0-,,,,/səɦ/,सह्,0
345166,,सह्,v,v----a--4-,,,,/səɦ/,सह्,0
345167,219406,सह्,a,ap----a--c,,,,/səɦ/,सह्,0
345170,105690,सह,n,n-----m--a,,,,/sə.ɦə/,सह॔,0
345172,105774,सह,r,rp--------,,,,/sə.ɦə/,सह॔,0
345173,105689,सह,a,ap----a--a,,ap----f--ā=>ा,,/sə.ɦə/,सह॔,0
345176,105692,सह,n,n-----n--a,,,,/sə.ɦə/,सह॔,0
345180,111184,सहभक्ष,a,ap----a--a,,,,/sə.ɦə.ˈbʱək.ʂə/,सह॔-भक्ष,0
345181,111185,सहभस्मन्,a,ap----a--n,,,,/sə.ɦə.ˈbʱəs.mən/,सह॔-भस्मन्,0
345182,111194,सहभोजन,n,n-----n--a,,,,/sə.ɦə.bʱoː.d͡ʑə.nə/,सह॔-भोजन,0
345183,111195,सहभोजिन्,n,n-----m--n,,,,/sə.ɦə.bʱoː.d͡ʑin/,सह॔-भोजिन्,0
345184,111196,सहभ्रातृ,a,ap----a--r,,,,/sə.ˈɦəbʱ.ɹɑː.t̪ɹ̩/,सह॔-भ्रातृ,0
345185,111191,सहभुज्,a,ap----a--c,,,,/sə.ɦə.bʱud͡ʑ/,सह॔-भुज्,0
345186,111186,सहभार्य,a,ap----a--a,,,,/sə.ɦə.bʱɑːɹ.jə/,सह॔-भार्य,0
345187,111187,सहभाव,n,n-----m--a,,,,/sə.ɦə.bʱɑː.ʋə/,सह॔-भाव,0
345188,111188,सहभावनिक,a,ap----a--a,,,,/sə.ɦə.bʱɑː.ʋə.ni.kə/,सह॔-भावनिक,0
345189,111190,सहभाविन्,n,n-----m--n,,,,/sə.ɦə.bʱɑː.ʋin/,सह॔-भाविन्,0
345190,111189,सहभाविन्,a,ap----a--n,,,,/sə.ɦə.bʱɑː.ʋin/,सह॔-भाविन्,0
345191,,सहभू,a,ap----a--ū,,,,/sə.ɦə.bʱuː/,सह॔-भू,0
345192,111192,सहभूत,a,ap----a--a,,,,/sə.ɦə.bʱuː.t̪ə/,सह॔-भूत,0
345193,,सहभूति,n,n-----f--i,,,,/sə.ɦə.bʱuː.t̪i/,सह॔-भूति,0
345194,111183,सहबान्धव,a,ap----a--a,,,,/sə.ɦə.bɑːn.d̪ʰə.ʋə/,सह॔-बान्धव,0
345195,105805,सहचैत्यवत्,a,ap----a--c,,,,/sə.ɦə.t͡ɕɑːi.t̪jə.ʋət̪/,सह॔-चैत्य-वत्,0
345196,105794,सहचन्द्रललाम,a,ap----a--a,,,,/sə.ɦə.t͡ɕən.d̪ɹə.lə.lɑː.mə/,सह॔-चन्द्र-ललाम,0
345197,105795,सहचर,a,ap----a--a,,,,/sə.ɦə.t͡ɕə.ɹə/,सह॔-चर,0
345200,105796,सहचर,n,n-----m--a,,,,/sə.ɦə.t͡ɕə.ɹə/,सह॔-चर,0
345202,,सहचरभिन्न,n,n-----m--a,,,,/sə.ɦə.t͡ɕə.ɹə.bʱin.nə/,सह॔-चर-भिन्न,0
345203,,सहचरभिन्नत्व,n,n-----n--a,,,,/sə.ɦə.t͡ɕə.ɹə.bʱin.ˈnət̪.ʋə/,सह॔-चर-भिन्न-त्व,0
345204,,सहचरभिन्नता,n,n-----f--ā,,,,/sə.ɦə.t͡ɕə.ɹə.bʱin.nə.t̪ɑː/,सह॔-चर-भिन्न-ता,0
345205,105799,सहचरत्,a,ap----a--c,,,,/sə.ɦə.t͡ɕə.ɹət̪/,सह॔-चरत्,0
345206,105798,सहचरण,a,ap----a--a,,,,/sə.ɦə.t͡ɕə.ɹə.ɳə/,सह॔-चरण,0
345207,105800,सहचरित,a,ap----a--a,,,,/sə.ɦə.t͡ɕə.ɹi.t̪ə/,सह॔-चरित,0
345208,,सहचरितत्व,n,n-----n--a,,,,/sə.ɦə.t͡ɕə.ɹi.ˈt̪ət̪.ʋə/,सह॔-चरित-त्व,0
345209,105797,सहचरी,n,n-----f--ī,,,,/sə.ɦə.t͡ɕə.ɹiː/,सह॔-चरी,0
345211,,सहचरीधर्म,n,n-----m--a,,,,/sə.ɦə.t͡ɕə.ɹiː.ˈd̪ʰəɹ.mə/,सह॔-चरी-धर्म,0
345212,105806,सहच्छन्दस्,a,ap----a-sa,,,,/sə.ˈɦət͡ɕ.t͡ɕʰən.d̪əs/,सह॔-च्छन्दस्,0
345213,105801,सहचार,n,n-----m--a,,,,/sə.ɦə.t͡ɕɑː.ɹə/,सह॔-चार॔,0
345214,,सहचारग्रन्थप्रकाश,n,n-----m--a,,,,/sə.ɦə.t͡ɕɑː.ˈɹəg.ɹən.ˈt̪ʰəp.ɹə.kɑː.ɕə/,सह-चार-ग्रन्थ-प्रकाश,0
345215,,सहचाररहस्य,n,n-----n--a,,,,/sə.ɦə.t͡ɕɑː.ɹə.ɹə.ˈɦəs.jə/,सह-चार-रहस्य,0
345216,,सहचारत्व,n,n-----n--a,,,,/sə.ɦə.t͡ɕɑː.ˈɹət̪.ʋə/,सह॔-चार॔-त्व,0
345217,,सहचारविधि,n,n-----m--i,,,,/sə.ɦə.t͡ɕɑː.ɹə.ʋi.d̪ʰi/,सह-चार-विधि,0
345218,,सहचारवाद,n,n-----m--a,,,,/sə.ɦə.t͡ɕɑː.ɹə.ʋɑː.d̪ə/,सह-चार-वाद,0
345219,,सहचारिग्रन्थरहस्य,n,n-----n--a,,,,/sə.ɦə.t͡ɕɑː.ˈɹig.ɹən.t̪ʰə.ɹə.ˈɦəs.jə/,सह॔-चारि-ग्रन्थ-रहस्य,0
345220,105802,सहचारिन्,a,ap----a--n,,,,/sə.ɦə.t͡ɕɑː.ɹin/,सह॔-चारिन्,0
345221,105803,सहचारिन्,n,n-----m--n,,,,/sə.ɦə.t͡ɕɑː.ɹin/,सह॔-चारिन्,0
345222,,सहचारित्व,n,n-----n--a,,,,/sə.ɦə.t͡ɕɑː.ˈɹit̪.ʋə/,सह॔-चारि-त्व,0
345223,105804,सहचारिणी,n,n-----f--ī,,,,/sə.ɦə.t͡ɕɑː.ɹi.ɳiː/,सह॔-चारिणी,0
345224,105825,सहदण्ड,a,ap----a--a,,,,/sə.ɦə.ˈd̪əɳ.ɖə/,सह॔-दण्ड,0
345234,105831,सहदेव,n,n-----m--a,,,,/sə.ɦə.d̪eː.ʋə/,सह॔-देव,0
345240,105830,सहदेव,a,ap----a--a,,,,/sə.ɦə.d̪eː.ʋə/,सह॔-देव,0
345241,,सहदेवज,n,n-----m--a,,,,/sə.ɦə.d̪eː.ʋə.d͡ʑə/,सह॔-देव-ज,0
345242,,सहदेवज,a,ap----a--a,,,,/sə.ɦə.d̪eː.ʋə.d͡ʑə/,सह॔-देव-ज,0
345243,105834,सहदेवत,a,ap----a--a,,,,/sə.ɦə.d̪eː.ʋə.t̪ə/,सह॔-देवत,0
345244,,सहदेवशास्त्र,n,n-----n--a,,,,/sə.ɦə.d̪eː.ʋə.ɕɑːs.t̪ɹə/,सह॔-देव-शास्त्र,0
345245,105832,सहदेवा,n,n-----f--ā,,,,/sə.ɦə.d̪eː.ʋɑː/,सह॔-देवा,0
345247,105833,सहदेवी,n,n-----f--ī,,,,/sə.ɦə.d̪eː.ʋiː/,सह॔-देवी,0
345248,,सहदेवीगण,n,n-----m--a,,,,/sə.ɦə.d̪eː.ʋiː.gə.ɳə/,सह॔-देवी-गण,0
345249,105836,सहधर्म,n,n-----m--a,,,,/sə.ɦə.ˈd̪ʰəɹ.mə/,सह॔-धर्म,0
345250,,सहधर्मचर,a,ap----a--a,,,,/sə.ɦə.ˈd̪ʰəɹ.mə.t͡ɕə.ɹə/,सह॔-धर्म-चर,0
345251,,सहधर्मचरण,n,n-----n--a,,,,/sə.ɦə.ˈd̪ʰəɹ.mə.t͡ɕə.ɹə.ɳə/,सह॔-धर्म-चरण,0
345252,,सहधर्मचरी,n,n-----f--ī,,,,/sə.ɦə.ˈd̪ʰəɹ.mə.t͡ɕə.ɹiː/,सह॔-धर्म-चरी,0
345253,,सहधर्मचारिन्,a,ap----a--n,,,,/sə.ɦə.ˈd̪ʰəɹ.mə.t͡ɕɑː.ɹin/,सह॔-धर्म-चारिन्,0
345254,,सहधर्मचारिणी,n,n-----f--ī,,,,/sə.ɦə.ˈd̪ʰəɹ.mə.t͡ɕɑː.ɹi.ɳiː/,सह॔-धर्म-चारिणी,0
345255,105837,सहधर्मन्,a,ap----a--n,,,,/sə.ɦə.ˈd̪ʰəɹ.mən/,सह॔-धर्मन्,0
345256,105838,सहधर्मिन्,a,ap----a--n,,,,/sə.ɦə.ˈd̪ʰəɹ.min/,सह॔-धर्मिन्,0
345257,,सहधर्मिणी,n,n-----f--ī,,,,/sə.ɦə.ˈd̪ʰəɹ.mi.ɳiː/,सह॔-धर्मिणी,0
345258,105840,सहधान्य,a,ap----a--a,,,,/sə.ɦə.d̪ʰɑːn.jə/,सह॔-धान्य,0
345259,105835,सहद्रोण,a,ap----a--a,,,,/sə.ˈɦəd̪.ɹoː.ɳə/,सह॔-द्रोण,0
345260,105826,सहदान,n,n-----n--a,,,,/sə.ɦə.d̪ɑː.nə/,सह॔-दान,0
345261,105827,सहदानु,a,ap----a--u,,,,/sə.ɦə.d̪ɑː.nu/,सह॔-दानु,0
345262,105828,सहदार,a,ap----a--a,,,,/sə.ɦə.d̪ɑː.ɹə/,सह॔-दार,0
345263,105829,सहदीक्षितिन्,a,ap----a--n,,,,/sə.ɦə.d̪iːk.ʂi.t̪in/,सह॔-दीक्षितिन्,0
345264,105788,सहगमन,n,n-----n--a,,,,/sə.ɦə.gə.mə.nə/,सह॔-गमन,0
345265,105787,सहगत,a,ap----a--a,,,,/sə.ɦə.gə.t̪ə/,सह॔-गत,0
345266,105793,सहगोप,a,ap----a--a,,ap----f--ā=>ा,,/sə.ɦə.goː.pə/,सह॔-गोप,0
345267,105791,सहगु,a,ap----a--u,,,,/sə.ɦə.gu/,सह॔-गु,0
345268,105792,सहगुड,a,ap----a--a,,,,/sə.ɦə.gu.ɖə/,सह॔-गुड,0
345269,,सहगामिन्,a,ap----a--n,,,,/sə.ɦə.gɑː.min/,सह॔-गामिन्,0
345270,105790,सहगामिनी,n,n-----f--ī,,,,/sə.ɦə.gɑː.mi.niː/,सह॔-गामिनी,0
345271,111267,सहहुत,a,ap----a--a,,,,/sə.ɦə.ɦu.t̪ə/,सह॔-हुत,0
345272,,सहैकस्थन,n,n-----n--a,,,,/sə.ɦɑːi.ˈkəs.t̪ʰə.nə/,सहैक-स्थन,0
345275,105809,सहज,n,n-----m--a,,,,/sə.ɦə.d͡ʑə/,सह॔-ज॔,0
345279,105808,सहज,a,ap----a--a,,ap----f--ā=>ा,,/sə.ɦə.d͡ʑə/,सह॔-ज॔,0
345280,,सहजधार्मिक,a,ap----a--a,,,,/sə.ɦə.d͡ʑə.d̪ʰɑːɹ.mi.kə/,सह॔-ज॔-धार्मिक,0
345281,105812,सहजग्धि,n,n-----f--i,,,,/sə.ɦə.ˈd͡ʑəg.d̪ʰi/,सह॔-जग्धि,0
345282,,सहजकीर्ति,n,n-----m--i,,,,/sə.ɦə.d͡ʑə.kiːɹ.t̪i/,सह॔-ज॔-कीर्ति,0
345283,,सहजललित,n,n-----m--a,,,,/sə.ɦə.d͡ʑə.lə.li.t̪ə/,सह॔-ज॔-ललित,0
345284,,सहजमलिन,a,ap----a--a,,,,/sə.ɦə.d͡ʑə.mə.li.nə/,सह॔-ज॔-मलिन,0
345285,,सहजमित्र,n,n-----m--a,,,,/sə.ɦə.d͡ʑə.ˈmit̪.ɹə/,सह॔-ज॔-मित्र,0
345286,105813,सहजन्मन्,a,ap----a--n,,,,/sə.ɦə.d͡ʑən.mən/,सह॔-जन्मन्,0
345287,105814,सहजन्य,n,n-----m--a,,,,/sə.ɦə.d͡ʑən.jə/,सह॔-जन्य,0
345288,105815,सहजन्यी,n,n-----f--ī,,,,/sə.ɦə.d͡ʑən.jiː/,सह॔-जन्यी,0
345289,,सहजपाल,n,n-----m--a,,,,/sə.ɦə.d͡ʑə.pɑː.lə/,सह॔-ज॔-पाल,0
345290,,सहजसिद्धि,n,n-----f--i,,,,/sə.ɦə.d͡ʑə.ˈsid̪.d̪ʰi/,सह॔-ज॔-सिद्धि,0
345291,,सहजसुहृद्,n,n-----m--c,,,,/sə.ɦə.d͡ʑə.su.ɦɹ̩d̪/,सह॔-ज॔-सुहृद्,0
345292,,सहजवत्सल,a,ap----a--a,,ap----f--ā=>ा,,/sə.ɦə.d͡ʑə.ˈʋət̪.sə.lə/,सह॔-ज॔-वत्सल,0
345293,,सहजविलास,n,n-----m--a,,,,/sə.ɦə.d͡ʑə.ʋi.lɑː.sə/,सह॔-ज॔-विलास,0
345294,,सहजशत्रु,n,n-----m--u,,,,/sə.ɦə.d͡ʑə.ˈɕət̪.ɹu/,सह॔-ज॔-शत्रु,0
345295,,सहजेन्द्र,n,n-----m--a,,,,/sə.ɦə.d͡ʑeːn.d̪ɹə/,सह॔-जेन्द्र,0
345296,,सहजेतर,a,ap----a--a,,,,/sə.ɦə.d͡ʑeː.t̪ə.ɹə/,सह॔-जेतर,0
345297,105820,सहजित्,a,ap----a--c,,,,/sə.ɦə.d͡ʑit̪/,सह॔-जित्,0
345298,,सहजोदासीन,n,n-----m--a,,,,/sə.ɦə.d͡ʑoː.d̪ɑː.siː.nə/,सह॔-जोदासीन,0
345299,105822,सहजोषण,a,ap----a--a,,,,/sə.ɦə.d͡ʑoː.ʂə.ɳə/,सह॔-जोषण,0
345300,105810,सहजा,n,n-----f--ā,,,,/sə.ɦə.d͡ʑɑː/,सह॔-जा॔,0
345301,105816,सहजा,a,ap----a--ā,,,,/sə.ɦə.d͡ʑɑː/,सह॔-जा॔,0
345302,,सहजाधिनाथ,n,n-----m--a,,,,/sə.ɦə.d͡ʑɑː.d̪ʰi.nɑː.t̪ʰə/,सह॔-जाधि॔नाथ,0
345303,,सहजानन्द,n,n-----m--a,,,,/sə.ɦə.d͡ʑɑː.nən.d̪ə/,सह॔-जानन्द,0
345304,,सहजान्धदृश्,a,ap----a--c,,,,/sə.ɦə.d͡ʑɑːn.d̪ʰə.d̪ɹ̩ɕ/,सह॔-जान्ध-दृश्,0
345305,105818,सहजानि,a,ap----a--i,,,,/sə.ɦə.d͡ʑɑː.ni/,सह॔-जानि,0
