03,शारिकानाथ,n,n-----m--a,,,,/ɕɑː.ɹi.kɑː.nɑː.t̪ʰə/,शारिका-नाथ,0
427338,132383,शारीरकभाष्य,n,n-----n--a,,,,/ɕɑː.ɹiː.ɹə.kə.bʱɑːʂ.jə/,शारीरक-भाष्य,0
427339,,शारीरकभाष्यन्यायवार्त्तिक,n,n-----n--a,,,,/ɕɑː.ɹiː.ɹə.kə.bʱɑːʂ.jən.jɑː.jə.ʋɑːɹt̪.t̪i.kə/,शारीरक-भाष्य-न्याय-वार्त्तिक,0
427340,,शारीरकभाष्यविभाग,n,n-----m--a,,,,/ɕɑː.ɹiː.ɹə.kə.bʱɑːʂ.jə.ʋi.bʱɑː.gə/,शारीरक-भाष्य-विभाग,0
427341,,शारीरकभाष्यव्याख्या,n,n-----f--ā,,,,/ɕɑː.ɹiː.ɹə.kə.bʱɑːʂ.ˈjəʋ.jɑːkʰ.jɑː/,शारीरक-भाष्य-व्याख्या,0
427342,,शारीरकभाष्यवार्त्तिक,n,n-----n--a,,,,/ɕɑː.ɹiː.ɹə.kə.bʱɑːʂ.jə.ʋɑːɹt̪.t̪i.kə/,शारीरक-भाष्य-वार्त्तिक,0
427343,,शारीरकभाष्यटीका,n,n-----f--ā,,,,/ɕɑː.ɹiː.ɹə.kə.bʱɑːʂ.jə.ʈiː.kɑː/,शारीरक-भाष्य-टीका,0
427344,132384,शारीरकमीमांसा,n,n-----f--ā,,,,/ɕɑː.ɹiː.ɹə.kə.miː.mɑː̃.sɑː/,शारीरक-मीमांसा,0
427345,,शारीरकमीमांसाभाष्य,n,n-----n--a,,,,/ɕɑː.ɹiː.ɹə.kə.miː.mɑː̃.sɑː.bʱɑːʂ.jə/,शारीरक-मीमांसा-भाष्य,0
427346,,शारीरकमीमांसान्यायसंग्रह,n,n-----m--a,,,,/ɕɑː.ɹiː.ɹə.kə.miː.mɑː̃.sɑːn.jɑː.jə.səŋ.gɹə.ɦə/,शारीरक-मीमांसा-न्याय-संग्रह,0
427347,,शारीरकमीमांसाव्याख्या,n,n-----f--ā,,,,/ɕɑː.ɹiː.ɹə.kə.miː.mɑː̃.sɑːʋ.jɑːkʰ.jɑː/,शारीरक-मीमांसा-व्याख्या,0
427348,132382,शारीरकन्याय,n,n-----m--a,,,,/ɕɑː.ɹiː.ɹə.kən.jɑː.jə/,शारीरक-न्याय,0
427349,,शारीरकन्यायमणिमाला,n,n-----f--ā,,,,/ɕɑː.ɹiː.ɹə.kən.jɑː.jə.mə.ɳi.mɑː.lɑː/,शारीरक-न्याय-मणि-माला,0
427350,,शारीरकन्यायनिर्णय,n,n-----m--a,,,,/ɕɑː.ɹiː.ɹə.kən.jɑː.jə.ˈniɹ.ɳə.jə/,शारीरक-न्याय-निर्णय,0
427351,,शारीरकन्यायरक्षामणि,n,n-----m--i,,,,/ɕɑː.ɹiː.ɹə.kən.jɑː.jə.ˈɹək.ʂɑː.mə.ɳi/,शारीरक-न्याय-रक्षा-मणि,0
427352,,शारीरकन्यायसंग्रह,n,n-----m--a,,,,/ɕɑː.ɹiː.ɹə.kən.jɑː.jə.səŋ.gɹə.ɦə/,शारीरक-न्याय-संग्रह,0
