,303669
1039540,\,303696,303669
1039541,/,303669,303696
1039542,\,303671,303668
1039543,/,303668,303671
1039544,\,460849,303668
1039545,/,303668,460849
1039546,\,303674,303668
1039547,/,303668,303674
1039548,\,303673,303668
1039549,/,303668,303673
1039550,\,460848,303668
1039551,/,303668,460848
1039552,\,303670,303668
1039553,/,303668,303670
1039554,\,303679,303668
1039555,/,303668,303679
1039556,\,303680,303668
1039557,/,303668,303680
1039558,\,460855,303668
1039559,/,303668,460855
1039560,\,460850,303668
1039561,/,303668,460850
1039562,\,460850,460850
1039563,/,460850,460850
1039564,\,303682,303668
1039565,/,303668,303682
1039566,\,303672,303668
1039567,/,303668,303672
1039568,\,303675,303668
1039569,/,303668,303675
1039570,\,303676,303668
1039571,/,303668,303676
1039572,\,303677,303668
1039573,/,303668,303677
1039574,\,303678,303668
1039575,/,303668,303678
1039578,\,303690,303668
1039579,/,303668,303690
1039580,\,303691,303690
1039581,/,303690,303691
1039582,\,303692,303668
1039583,/,303668,303692
1039584,\,460854,303668
1039585,/,303668,460854
1039586,\,303697,303668
1039587,/,303668,303697
1039588,\,303711,303668
1039589,/,303668,303711
1039590,\,303712,303668
1039591,/,303668,303712
1039592,\,303715,303668
1039593,/,303668,303715
1039594,\,303716,303668
1039595,/,303668,303716
1039596,\,303717,303668
1039597,/,303668,303717
1039598,\,303718,303668
1039599,/,303668,303718
1039600,\,303704,303668
1039601,/,303668,303704
1039602,\,303710,303668
1039603,/,303668,303710
1039604,\,303708,303668
1039605,/,303668,303708
1039606,\,303739,303668
1039607,/,303668,303739
1039608,\,303736,303668
1039609,/,303668,303736
1039610,\,303737,303668
1039611,/,303668,303737
1039612,\,303738,303668
1039613,/,303668,303738
1039614,\,303740,303668
1039615,/,303668,303740
1039616,\,303700,303668
1039617,/,303668,303700
1039618,\,303702,303668
1039619,/,303668,303702
1039620,\,303701,303668
1039621,/,303668,303701
1039622,\,303723,303668
1039623,/,303668,303723
1039624,\,303725,303668
1039625,/,303668,303725
1039626,\,303728,303668
1039627,/,303668,303728
1039628,\,303727,303668
1039629,/,303668,303727
1039630,\,303726,303668
