,भूमिपतित्व,n,n-----n--a,,,,/bʱuː.mi.pə.ˈt̪it̪.ʋə/,भूमि-पति-त्व,0
233191,218104,भृकुटि,n,n-----m--i,,,,/bʱɹ̩.ku.ʈi/,भृ-कुटि,0
233192,,भृकुटिधर,a,ap----a--a,,,,/bʱɹ̩.ku.ʈi.d̪ʰə.ɹə/,भृ-कुटि-धर,0
233194,173114,भृकुटी,n,n-----f--ī,,,,/bʱɹ̩.ku.ʈiː/,भृ-कुटी,0
233196,,भृक्ष्,v,v----a--1- v----d--1-,,,,/bʱɹ̩kʂ/,भृक्ष्,0
233197,25835,भृम,n,n-----m--a,,,,/bʱɹ̩.mə/,भृम॔,0
233198,25836,भृमल,a,ap----a--a,,,,/bʱɹ̩.mə.lə/,भृमल॔,0
233199,25839,भृमि,n,n-----f--i,,,,/bʱɹ̩.mi/,भृमि॔,0
233200,25838,भृमि,n,n-----m--i,,,,/bʱɹ̩.mi/,भृमि,0
233201,25837,भृमि,a,ap----a--i,,,,/bʱɹ̩.mi/,भृमि,0
233203,25840,भृम्यश्व,n,n-----m--a,,,,/bʱɹ̩mjəɕʋə/,भृम्य्-अश्व,0
233204,25696,भृत्,a,ap----a--c,,,,/bʱɹ̩t̪/,भृत्,0
233205,25697,भृत,a,ap----a--a,,,,/bʱɹ̩.t̪ə/,भृत,0
233206,,भृत,n,n-----m--a,,,,/bʱɹ̩.t̪ə/,भृत,0
233207,25699,भृतभूति,a,ap----a--i,,,,/bʱɹ̩.t̪ə.bʱuː.t̪i/,भृत-भूति,0
233208,25701,भृतक,a,ap----a--a,,,,/bʱɹ̩.t̪ə.kə/,भृतक,0
233210,25702,भृतक,n,n-----m--a,,,,/bʱɹ̩.t̪ə.kə/,भृतक,0
233211,25704,भृतकाध्ययन,n,n-----n--a,,,,/bʱɹ̩.t̪ə.kɑːd̪ʰ.jə.jə.nə/,भृतकाध्ययन,0
233212,,भृतकाध्यापक,n,n-----m--a,,,,/bʱɹ̩.t̪ə.kɑːd̪ʰ.jɑː.pə.kə/,भृतकाध्यापक,0
233213,,भृतकाध्यापन,n,n-----n--a,,,,/bʱɹ̩.t̪ə.kɑːd̪ʰ.jɑː.pə.nə/,भृतकाध्यापन,0
233214,,भृतकाध्यापित,a,ap----a--a,,,,/bʱɹ̩.t̪ə.kɑːd̪ʰ.jɑː.pi.t̪ə/,भृतकाध्यापित,0
233215,25700,भृतरन्ध्र,a,ap----a--a,,,,/bʱɹ̩.t̪ə.ɹən.d̪ʰɹə/,भृत-रन्ध्र,0
233216,25734,भृथ,n,n-----m--a,,,,/bʱɹ̩.t̪ʰə/,भृथ॔,0
233217,25708,भृति,n,n-----f--i,,,,/bʱɹ̩.t̪i/,भृति॔,0
233218,,भृतिभुज्,n,n-----m--c,,,,/bʱɹ̩.t̪i.bʱud͡ʑ/,भृति॔-भुज्,0
233219,25710,भृतिभुज्,a,ap----a--c,,,,/bʱɹ̩.t̪i.bʱud͡ʑ/,भृति॔-भुज्,0
233220,25709,भृतिकर्मकर,n,n-----m--a,,,,/bʱɹ̩.t̪i.ˈkəɹ.mə.kə.ɹə/,भृति॔-कर्म-कर,0
233222,25711,भृतिरूप,n,n-----n--a,,,,/bʱɹ̩.t̪i.ɹuː.pə/,भृति॔-रूप,0
233223,,भृत्र,n,n-----m--a,,,,/ˈbʱɹ̩t̪.ɹə/,भृत्र,0
233224,,भृत्त्व,n,n-----n--a,,,,/ˈbʱɹ̩t̪.t̪ʋə/,भृत्-त्व,0
233225,25715,भृत्य,n,n-----m--a,,,,/ˈbʱɹ̩t̪.jə/,भृत्य,0
233226,,भृत्य,a,ap----a--a,,,,/ˈbʱɹ̩t̪.jə/,भृत्य,0
233227,,भृत्यभरण,n,n-----n--a,,,,/ˈbʱɹ̩t̪.jə.bʱə.ɹə.ɳə/,भृत्य-भरण,0
233228,,भृत्यभर्तृ,n,n-----m--r,,,,/ˈbʱɹ̩t̪.jə.ˈbʱəɹ.t̪ɹ̩/,भृत्य-भर्तृ,0
233229,25724,भृत्यभाव,n,n-----m--a,,,,/ˈbʱɹ̩t̪.jə.bʱɑː.ʋə/,भृत्य-भाव,0
233230,25725,भृत्यभाविन्,a,ap----a--n,,,,/ˈbʱɹ̩t̪.jə.bʱɑː.ʋin/,भृत्य-भाविन्,0
233231,,भृत्यध्यापन,n,n-----n--a,,,,/ˈbʱɹ̩t̪.ˈjəd̪ʰ.jɑː.pə.nə/,भृत्य्-अध्यापन,0
233232,,भृत्यजन,n,n-----m--a,,,,/ˈbʱɹ̩t̪.jə.d͡ʑə.nə/,भृत्य-जन,0
233233,,भृत्यकामकृत्,a,ap----a--c,,,,/ˈbʱɹ̩t̪.jə.kɑː.mə.kɹ̩t̪/,भृत्य-काम-कृत्,0
233234,25713,भृत्यन्न,n,n-----n--a,,,,/ˈbʱɹ̩t̪.jən.nə/,भृत्य्-अन्न,0
233235,25721,भृत्यपरमाणु,n,n-----m--u,,,,/ˈbʱɹ̩t̪.jə.pə.ɹə.mɑː.ɳu/,भृत्य-परमाणु,0
233236,,भृत्यर्थम्,r,rp--------,,,,/ˈbʱɹ̩t̪.ˈjəɹ.t̪ʰəm/,भृत्य्-अर्थम्,0
233237,,भृत्यत्व,n,n-----n--a,,,,/ˈbʱɹ̩t̪.ˈjət̪.ʋə/,भृत्य-त्व,0
233238,,भृत्यता,n,n-----f--ā,,,,/ˈbʱɹ̩t̪.jə.t̪ɑː/,भृत्य-ता,0
233239,,भृत्यवर्ग,n,n-----m--a,,,,/ˈbʱɹ̩t̪.jə.ˈʋəɹ.gə/,भृत्य-वर्ग,0
233240,,भृत्यवात्सल्य,n,n-----n--a,,,,/ˈbʱɹ̩t̪.jə.ʋɑːt̪.ˈsəl.jə/,भृत्य-वात्सल्य,0
233241,,भृत्यवृत्ति,n,n-----f--i,,,,/ˈbʱɹ̩t̪.jə.ˈʋɹ̩t̪.t̪i/,भृत्य-वृत्ति,0
233242,25729,भृत्यशालिन्,a,ap----a--n,,,,/ˈbʱɹ̩t̪.jə.ɕɑː.lin/,भृत्य-शालिन्,0
233244,25716,भृत्या,n,n-----f--ā,,,,/ˈbʱɹ̩t̪.jɑː/,भृत्या,0
233245,25732,भृत्याभाव,n,n-----m--a,,,,/ˈbʱɹ̩t̪.jɑː.bʱɑː.ʋə/,भृत्या-भाव,0
233246,25732,भृत्याभाव,n,n-----m--a,,,,/ˈbʱɹ̩t̪.jɑː.bʱɑː.ʋə/,भृत्याभाव,0
233247,25730,भृत्याध्यापन,n,n-----n--a,,,,/ˈbʱɹ̩t̪.jɑːd̪ʰ.jɑː.pə.nə/,भृत्याध्यापन,0
233249,,भृत्यीभू,v,v----a--1-,,,,/ˈbʱɹ̩t̪.jiː.bʱuː/,भृत्यी-भू,0
233250,,भृश्,v,v----a--4- v----a--6-,,,,/bʱɹ̩ɕ/,भृश्,0
233251,25841,भृश,a,ap----a--a,,,,/bʱɹ̩.ɕə/,भृश,0
233252,25842,भृश,n,n-----m--a,,,,/bʱɹ̩.ɕə/,भृश,0
233253,,भृशदण्ड,a,ap----a--a,,,,/bʱɹ̩.ɕə.ˈd̪əɳ.ɖə/,भृश-दण्ड,0
233254,,भृशदुह्खित,a,ap----a--a,,,,/bʱɹ̩.ɕə.ˈd̪uh.kʰi.t̪ə/,भृश-दुःखित,0
233255,,भृशदारुण,a,ap----a--a,,,,/bʱɹ̩.ɕə.d̪ɑː.ɹu.ɳə/,भृश-दारुण,0
233256,,भृशकोपन,a,ap----a--a,,,,/bʱɹ̩.ɕə.koː.pə.nə/,भृश-कोपन,0
233257,202709,भृशम्,r,rp--------,,,,/bʱɹ̩.ɕəm/,भृशम्,0
233258,,भृशनास्तिक,a,ap----a--a,,,,/bʱɹ̩.ɕə.nɑːs.t̪i.kə/,भृश-नास्तिक,0
233259,25849,भृशपत्त्रिका,n,n-----f--ā,,,,/bʱɹ̩.ɕə.ˈpət̪.t̪ɹi.kɑː/,भृश-पत्त्रिका,0
233260,,भृशपीडित,a,ap----a--a,,,,/bʱɹ̩.ɕə.piː.ɖi.t̪ə/,भृश-पीडित,0
233261,25855,भृशसंहृष्ट,a,ap----a--a,,,,/bʱɹ̩.ɕə.ˈsə̃.ˈɦɹ̩ʂ.ʈə/,भृश-संहृष्ट,0
233262,,भृशसंयुत,a,ap----a--a,,,,/bʱɹ̩.ɕə.ˈsə̃.ju.t̪ə/,भृश-संयुत,0
233263,25856,भृशस्विद्,a,ap----a--c,,,,/bʱɹ̩.ˈɕəs.ʋid̪/,भृश-स्विद्,0
233264,25844,भृशता,n,n-----f--ā,,,,/bʱɹ̩.ɕə.t̪ɑː/,भृश-ता,0
233265,,भृशवेदना,n,n-----f--ā,,,,/bʱɹ̩.ɕə.ʋeː.d̪ə.nɑː/,भृश-वेदना,0
233266,,भृशविस्मित,a,ap----a--a,,,,/bʱɹ̩.ɕə.ˈʋis.mi.t̪ə/,भृश-विस्मित,0
233267,,भृशशोकवर्धन,a,ap----a--a,,ap----f--ī=>ी,,/bʱɹ̩.ɕə.ɕoː.kə.ˈʋəɹ.d̪ʰə.nə/,भृश-शोक-वर्धन,0
233269,,भृशीभू,v,v----a--1-,,,,/bʱɹ̩.ɕiː.bʱuː/,भृशी-भू,0
233270,,भृड्,v,v----a--6-,,,,/bʱɹ̩ɖ/,भृड्,0
233271,,भृंश्,v,v----a--1- v----a--0-,,,,/bʱɹ̩̃ɕ/,भृंश्,0
233272,25780,भृङ्ग,n,n-----m--a,,,,/bʱɹ̩ŋ.gə/,भृङ्ग,0
233276,25784,भृङ्ग,n,n-----n--a,,,,/bʱɹ̩ŋ.gə/,भृङ्ग,0
233277,25785,भृङ्गज,n,n-----m--a,,,,/bʱɹ̩ŋ.gə.d͡ʑə/,भृङ्ग-ज,0
233278,25786,भृङ्गजा,n,n-----f--ā,,,,/bʱɹ̩ŋ.gə.d͡ʑɑː/,भृङ्ग-जा,0
233280,,भृङ्गक,a,ap----a--a,,,,/bʱɹ̩ŋ.gə.kə/,भृङ्गक,0
233281,203579,भृङ्गक,n,n-----m--a,,,,/bʱɹ̩ŋ.gə.kə/,भृङ्गक,0
233282,25789,भृङ्गमारी,n,n-----f--ī,,,,/bʱɹ̩ŋ.gə.mɑː.ɹiː/,भृङ्ग-मारी,0
233283,25790,भृङ्गमूलिका,n,n-----f--ā,,,,/bʱɹ̩ŋ.gə.muː.li.kɑː/,भृङ्ग-मूलिका,0
233284,25787,भृङ्गपर्णिका,n,n-----f--ā,,,,/bʱɹ̩ŋ.gə.ˈpəɹ.ɳi.kɑː/,भृङ्ग-पर्णिका,0
233285,25788,भृङ्गप्रिया,n,n-----f--ā,,,,/bʱɹ̩ŋ.ˈgəp.ɹi.jɑː/,भृङ्ग-प्रिया,0
233286,25791,भृङ्गरज,n,n-----m--a,,,,/bʱɹ̩ŋ.gə.ɹə.d͡ʑə/,भृङ्ग-रज,0
233287,,भृङ्गरजस्,n,n-----m-sa,,,,/bʱɹ̩ŋ.gə.ɹə.d͡ʑəs/,भृङ्ग-रजस्,0
233288,25793,भृङ्गरस,n,n-----m--a,,,,/bʱɹ̩ŋ.gə.ɹə.sə/,भृङ्ग-रस,0
233289,25815,भृङ्गरिटि,n,n-----m--i,,,,/bʱɹ̩ŋ.gə.ɹi.ʈi/,भृङ्गरिटि,0
233290,25818,भृङ्गरोल,n,n-----m--a,,,,/bʱɹ̩ŋ.gə.ɹoː.lə/,भृङ्गरोल,0
233291,25794,भृङ्गराज,n,n-----m--a,,,,/bʱɹ̩ŋ.gə.ɹɑː.d͡ʑə/,भृङ्ग-राज,0
233292,25796,भृङ्गराजक,n,n-----m--a,,,,/bʱɹ̩ŋ.gə.ɹɑː.d͡ʑə.kə/,भृङ्ग-राजक,0
233293,,भृङ्गराजरस,n,n-----m--a,,,,/bʱɹ̩ŋ.gə.ɹɑː.d͡ʑə.ɹə.sə/,भृङ्ग-राज-रस,0
233294,25816,भृङ्गरीट,n,n-----m--a,,,,/bʱɹ̩ŋ.gə.ɹiː.ʈə/,भृङ्गरीट,0
233295,25817,भृङ्गरीटि,n,n-----m--i,,,,/bʱɹ̩ŋ.gə.ɹiː.ʈi/,भृङ्गरीटि,0
233296,25801,भृङ्गसोदर,n,n-----m--a,,,,/bʱɹ̩ŋ.gə.soː.d̪ə.ɹə/,भृङ्ग-सोदर,0
233297,25802,भृङ्गस्वामिन्,n,n-----m--n,,,,/bʱɹ̩ŋ.ˈgəs.ʋɑː.min/,भृङ्ग-स्वामिन्,0
233298,25800,भृङ्गसार्थ,n,n-----m--a,,,,/bʱɹ̩ŋ.gə.sɑːɹ.t̪ʰə/,भृङ्ग-सार्थ,0
233299,25797,भृङ्गवल्लभ,n,n-----m--a,,,,/bʱɹ̩ŋ.gə.ˈʋəl.lə.bʱə/,भृङ्ग-वल्लभ,0
233300,,भृङ्गवल्लभा,n,n-----f--ā,,,,/bʱɹ̩ŋ.gə.ˈʋəl.lə.bʱɑː/,भृङ्ग-वल्लभा,0
233301,25799,भृङ्गवृक्ष,n,n-----m--a,,,,/bʱɹ̩ŋ.gə.ˈʋɹ̩k.ʂə/,भृङ्ग-वृक्ष,0
233302,,भृङ्गेरिटि,n,n-----m--i,,,,/bʱɹ̩ŋ.geː.ɹi.ʈi/,भृङ्गेरिटि,0
233303,25813,भृङ्गेशसंहिता,n,n-----f--ā,,,,/bʱɹ̩ŋ.geː.ɕə.ˈsə̃.ɦi.t̪ɑː/,भृङ्गेश-संहिता,0
233304,25814,भृङ्गेष्टा,n,n-----f--ā,,,,/bʱɹ̩ŋ.geːʂ.ʈɑː/,भृङ्गेष्टा,0
233305,25825,भृङ्गि,n,n-----m--i,,,,/bʱɹ̩ŋ.gi/,भृङ्गि,0
233306,25826,भृङ्गिन्,n,n-----m--n,,,,/bʱɹ̩ŋ.gin/,भृङ्गिन्,0
233307,,भृङ्गिरिट,n,n-----m--a,,,,/bʱɹ̩ŋ.gi.ɹi.ʈə/,भृङ्गिरिट,0
233308,218624,भृङ्गिरिटि,n,n-----m--i,,,,/bʱɹ̩ŋ.gi.ɹi.ʈi/,भृङ्गिरिटि,0
233309,,भृङ्गिरीटि,n,n-----m--i,,,,/bʱɹ̩ŋ.gi.ɹiː.ʈi/,भृङ्गिरीटि,0
233310,25827,भृङ्गिणी,n,n-----f--ī,,,,/bʱɹ̩ŋ.gi.ɳiː/,भृङ्गिणी,0
233311,25782,भृङ्गा,n,n-----f--ā,,,,/bʱɹ̩ŋ.gɑː/,भृ॔ङ्गा,0
233313,166676,भृङ्गाभीष्ट,n,n-----m--a,,,,/bʱɹ̩ŋ.gɑː.bʱiːʂ.ʈə/,भृङ्गाभीष्ट,0
233314,25803,भृङ्गाधिप,n,n-----m--a,,,,/bʱɹ̩ŋ.gɑː.d̪ʰi.pə/,भृङ्गाधिप,0
233315,25810,भृङ्गाह्व,n,n-----m--a,,,,/bʱɹ̩ŋ.gɑːɦ.ʋə/,भृङ्गाह्व,0
233316,25811,भृङ्गाह्वा,n,n-----f--ā,,,,/bʱɹ̩ŋ.gɑːɦ.ʋɑː/,भृङ्गाह्वा,0
233317,,भृङ्गाली,n,n-----f--ī,,,,/bʱɹ̩ŋ.gɑː.liː/,भृङ्गाली,0
233318,25804,भृङ्गानन्दा,n,n-----f--ā,,,,/bʱɹ̩ŋ.gɑː.nən.d̪ɑː/,भृङ्गानन्दा,0
233320,25820,भृङ्गार,n,n-----m--a,,,,/bʱɹ̩ŋ.gɑː.ɹə/,भृङ्गार,0
233321,25823,भृङ्गार,n,n-----n--a,,,,/bʱɹ̩ŋ.gɑː.ɹə/,भृङ्गार,0
233323,25824,भृङ्गारक,n,n-----m--a,,,,/bʱɹ̩ŋ.gɑː.ɹə.kə/,भृङ्गारक,0
233324,25806,भृङ्गारि,n,n-----m--i,,,,/bʱɹ̩ŋ.gɑː.ɹi/,भृङ्गारि,0
233325,,भृङ्गारिका,n,n-----f--ā,,,,/bʱɹ̩ŋ.gɑː.ɹi.kɑː/,भृङ्गारिका,0
233326,,भृङ्गारु,n,n-----m--u,,,,/bʱɹ̩ŋ.gɑː.ɹu/,भृङ्गारु,0
233327,25822,भृङ्गारी,n,n-----f--ī,,,,/bʱɹ̩ŋ.gɑː.ɹiː/,भृङ्गारी,0
233328,,भृङ्गारीट,n,n-----m--a,,,,/bʱɹ̩ŋ.gɑː.ɹiː.ʈə/,भृङ्गारीट,0
233329,,भृङ्गावली,n,n-----f--ī,,,,/bʱɹ̩ŋ.gɑː.ʋə.liː/,भृङ्गावली,0
233331,25819,भृङ्गाण,n,n-----m--a,,,,/bʱɹ̩ŋ.gɑː.ɳə/,भृङ्गाण,0
233332,25809,भृङ्गाष्टक,n,n-----n--a,,,,/bʱɹ̩ŋ.gɑːʂ.ʈə.kə/,भृङ्गाष्टक,0
233333,25783,भृङ्गी,n,n-----f--ī,,,,/bʱɹ̩ŋ.giː/,भृङ्गी,0
233335,25812,भृङ्गीफल,n,n-----m--a,,,,/bʱɹ̩ŋ.giː.pʰə.lə/,भृङ्गी-फल,0
233336,,भृङ्गीरिटि,n,n-----m--i,,,,/bʱɹ̩ŋ.giː.ɹi.ʈi/,भृङ्गीरिटि,0
233337,25828,भृङ्गीश,n,n-----m--a,,,,/bʱɹ̩ŋ.giː.ɕə/,भृङ्गीश,0
233339,25834,भृण्टिका,n,n-----f--ā,,,,/ˈbʱɹ̩ɳ.ʈi.kɑː/,भृण्टिका,0
233340,25857,भृष्ट,a,ap----a--a,,,,/ˈbʱɹ̩ʂ.ʈə/,भृष्ट,0
233342,26274,भृष्ट,n,n-----n--a,,,,/ˈbʱɹ̩ʂ.ʈə/,भृष्ट,0
233343,26275,भृष्टकार,n,n-----m--a,,,,/ˈbʱɹ̩ʂ.ʈə.kɑː.ɹə/,भृष्ट-कार,0
233344,26277,भृष्टपिष्ट,n,n-----n--a,,,,/ˈbʱɹ̩ʂ.ʈə.ˈpiʂ.ʈə/,भृष्ट-पिष्ट,0
233345,,भृष्टतण्डुल,n,n-----m--a,,,,/ˈbʱɹ̩ʂ.ʈə.ˈt̪əɳ.ɖu.lə/,भृष्ट-तण्डुल,0
233346,26278,भृष्टयव,n,n-----m--a,,,,/ˈbʱɹ̩ʂ.ʈə.jə.ʋə/,भृष्ट-यव,0
233347,26280,भृष्टि,n,n-----f--i,,,,/ˈbʱɹ̩ʂ.ʈi/,भृष्टि,0
233348,26280,भृष्टि,n,n-----f--i,,,,/ˈbʱɹ̩ʂ.ʈi/,भृष्टि॔,0
233349,,भृष्टिमत्,n,n-----m--c,,,,/ˈbʱɹ̩ʂ.ʈi.mət̪/,भृष्टि॔-म॔त्,0
233350,25861,भृष्टिमत्,a,ap----a--c,,,,/ˈbʱɹ̩ʂ.ʈi.mət̪/,भृष्टि॔-म॔त्,0
233351,26279,भृष्टान्न,n,n-----n--a,,,,/ˈbʱɹ̩ʂ.ʈɑːn.nə/,भृष्टान्न,0
233352,,भृष्टी,n,n-----f--ī,,,,/ˈbʱɹ̩ʂ.ʈiː/,भृष्टी,0
233353,,भॄ,v,v----a--9-,,,,/bʱɹ̩ː/,भॄ,0
233354,148168,बिब्बोक,n,n-----m--a,,,,/ˈbib.boː.kə/,बिब्बोक,0
233355,148922,बिभक्षयिषु,a,ap----a--u,,,,/bi.ˈbʱək.ʂə.ji.ʂu/,बिभक्षयिषु,0
233356,,बिभक्षयिषुदंष्ट्रिन्,a,ap----a--n,,,,/bi.ˈbʱək.ʂə.ji.ʂu.ˈd̪ə̃ʂʈɹin/,बिभक्षयिषु-दंष्ट्रिन्,0
233357,148169,बिभक्षयिषा,n,n-----f--ā,,,,/bi.ˈbʱək.ʂə.ji.ʂɑː/,बिभक्षयिषा,0
233358,148170,बिभणिषु,a,ap----a--u,,,,/bi.bʱə.ɳi.ʂu/,बिभणिषु,0
233359,148171,बिभेदयिषु,a,ap----a--u,,,,/bi.bʱeː.d̪ə.ji.ʂu/,बिभेदयिषु,0
233360,171111,बिभित्सु,a,ap----a--u,,,,/bi.ˈbʱit̪.su/,बिभित्सु,0
233361,148923,बिभित्सा,n,n-----f--ā,,,,/bi.ˈbʱit̪.sɑː/,बिभित्सा,0
233362,,बिभ्रद्वाज,n,n-----m--a,,,,/ˈbibʱ.ˈɹəd̪.ʋɑː.d͡ʑə/,बि॔भ्रद्-वाज,0
233363,148926,बिभ्रज्जिषु,n,n-----m--u,,,,/ˈbibʱ.ˈɹəd͡ʑ.d͡ʑi.ʂu/,बिभ्रज्जिषु,0
233364,,बिभ्रज्जिषुप्रख्य,a,ap----a--a,,,,/ˈbibʱ.ˈɹəd͡ʑ.d͡ʑi.ˈʂup.ˈɹəkʰ.jə/,बिभ्रज्जिषु-प्रख्य,0
233365,148924,बिभ्रक्षु,a,ap----a--u,,,,/ˈbibʱ.ˈɹək.ʂu/,बिभ्रक्षु,0
233366,148925,बिभ्रक्षु,n,n-----m--u,,,,/ˈbibʱ.ˈɹək.ʂu/,बिभ्रक्षु,0
233367,,बिभ्रत्,a,ap----a--c,,,,/ˈbibʱ.ɹət̪/,बिभ्रत्,0
233368,148166,बिबिबाभवत्,a,ap----a--c,,,,/bi.bi.bɑː.bʱə.ʋət̪/,बिबिबा-भ॔वत्,0
233369,148167,बिबोधयिषु,a,ap----a--u,,,,/bi.boː.d̪ʰə.ji.ʂu/,बिबोधयिषु,0
233370,,बिद्,v,v----a--1-,,,,/bid̪/,बिद्,0
233371,148134,बिद,n,n-----m--a,,,,/bi.d̪ə/,बिद,0
233372,148908,बिदकुल,n,n-----n--a,,,,/bi.d̪ə.ku.lə/,बिद-कुल,0
233373,148136,बिदल,n,n-----n--a,,,,/bi.d̪ə.lə/,बिदल,0
233374,,बिदलकारी,n,n-----f--ī,,,,/bi.d̪ə.lə.kɑː.ɹiː/,बिदल-कारी॔,0
233375,148138,बिदलसंहित,a,ap----a--a,,,,/bi.d̪ə.lə.ˈsə̃.ɦi.t̪ə/,बिदल-संहित,0
233376,148907,बिदालक,n,n-----n--a,,,,/bi.d̪ɑː.lə.kə/,बिदालक,0
233377,148905,बिदालक,n,n-----m--a,,,,/bi.d̪ɑː.lə.kə/,बिदालक,0
233378,148906,बिदालिका,n,n-----f--ā,,,,/bi.d̪ɑː.li.kɑː/,बिदालिका,0
233379,148135,बिदापुट,n,n-----m--a,,,,/bi.d̪ɑː.pu.ʈə/,बिदा-पुट,0
233380,,बिल्,v,v----a--6- v----a--0-,,,,/bil/,बिल्,0
233381,148937,बिल,n,n-----m--a,,,,/bi.lə/,बि॔ल,0
233383,148936,बिल,n,n-----n--a,,,n-----f--ā=बिलआ,/bi.lə/,बि॔ल,0
233385,148192,बिलधावन,a,ap----a--a,,,,/bi.lə.d̪ʰɑː.ʋə.nə/,बि॔ल-धा॔वन,0
233386,148190,बिलकारिन्,n,n-----m--n,,,,/bi.lə.kɑː.ɹin/,बि॔ल-कारिन्,0
233387,,बिलस,a,ap----a--a,,,,/bi.lə.sə/,बिलस,0
233388,148194,बिलस्वर्ग,n,n-----m--a,,,,/bi.ˈləs.ˈʋəɹ.gə/,बि॔ल-स्वर्ग,0
233389,,बिलौकस्,a,ap----a-sa,,,,/bi.ˈləौ.kəs/,बिलौकस्,0
233390,,बिलवत्,n,n-----n--c,,,,/bi.lə.ʋət̪/,बिल-वत्,0
233391,148939,बिलवास,n,n-----m--a,,,,/bi.lə.ʋɑː.sə/,बि॔ल-वास,0
233392,,बिलवास,a,ap----a--a,,,,/bi.lə.ʋɑː.sə/,बि॔ल-वास,0
233394,148941,बिलवासिन्,n,n-----m--n,,,,/bi.lə.ʋɑː.sin/,बि॔ल-वासिन्,0
233396,,बिलवासिन्,a,ap----a--n,,,,/bi.lə.ʋɑː.sin/,बि॔ल-वासिन्,0
233397,,बिलयोनि,a,ap----a--i,,,,/bi.lə.joː.ni/,बि॔ल-योनि,0
233398,,बिलशय,a,ap----a--a,,,,/bi.lə.ɕə.jə/,बि॔ल-शय,0
233399,148944,बिलशायिन्,n,n-----m--n,,,,/bi.lə.ɕɑː.jin/,बि॔ल-शायिन्,0
233400,,बिलशायिन्,a,ap----a--n,,,,/bi.lə.ɕɑː.jin/,बि॔ल-शायिन्,0
233401,148191,बिलंगम,n,n-----m--a,,,,/bi.ləŋ.gə.mə/,बि॔ल-ं-गम,0
233402,,बिलेवासिन्,a,ap----a--n,,,,/bi.leː.ʋɑː.sin/,बिले-वासिन्,0
233403,148947,बिलेशय,n,n-----m--a,,,,/bi.leː.ɕə.jə/,बिले-शय,0
233404,,बिलेशय,a,ap----a--a,,,,/bi.leː.ɕə.jə/,बिले-शय,0
233405,,बिलेश्वर,n,n-----m--a,,,,/bileːɕʋəɹə/,बिलेश्वर,0
233406,148225,बिल्हण,n,n-----m--a,,,,/ˈbil.ɦə.ɳə/,बिल्हण,0
233407,,बिल्हणचरित्र,n,n-----n--a,,,,/ˈbil.ɦə.ɳə.t͡ɕə.ˈɹit̪.ɹə/,बिल्हण-चरित्र,0
233408,148960,बिल्हणकाव्य,n,n-----n--a,,,,/ˈbil.ɦə.ɳə.kɑːʋ.jə/,बिल्हण-काव्य,0
233409,,बिल्हणपञ्चाशिका,n,n-----f--ā,,,,/ˈbil.ɦə.ɳə.pəɲ.t͡ɕɑː.ɕi.kɑː/,बिल्हण-पञ्चाशिका,0
233410,,बिल्हणशतक,n,n-----n--a,,,,/ˈbil.ɦə.ɳə.ɕə.t̪ə.kə/,बिल्हण-शतक,0
233411,,बिल्हणीय,n,n-----n--a,,,,/ˈbil.ɦə.ɳiː.jə/,बिल्हणीय,0
233412,148959,बिलिश,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=बिलिश",/bi.li.ɕə/,बिलि॔श,0
233413,148202,बिल्ल,n,n-----n--a,,,,/ˈbil.lə/,बिल्ल,0
233414,148949,बिल्लमूला,n,n-----f--ā,,,,/ˈbil.lə.muː.lɑː/,बिल्ल-मूला,0
233415,148203,बिल्लसू,n,n-----f--ū,,,,/ˈbil.lə.suː/,बिल्ल-सू,0
233416,148199,बिल्म,n,n-----n--a,,,,/ˈbil.mə/,बिल्म,0
233417,148200,बिल्मग्रहण,n,n-----n--a,,,,/ˈbil.ˈməg.ɹə.ɦə.ɳə/,बिल्म-ग्रहण,0
233418,148201,बिल्मिन्,a,ap----a--n,,,,/ˈbil.min/,बिल्मि॔न्,0
233422,148950,बिल्व,n,n-----m--a,,,,/ˈbil.ʋə/,बिल्व॔,0
233423,148952,बिल्व,n,n-----n--a,,,,/ˈbil.ʋə/,बिल्व॔,0
233424,148205,बिल्वदण्ड,n,n-----m--a,,,,/ˈbil.ʋə.ˈd̪əɳ.ɖə/,बिल्व॔-दण्ड,0
233425,148206,बिल्वदण्डिन्,n,n-----m--n,,,,/ˈbil.ʋə.ˈd̪əɳ.ɖin/,बिल्व॔-दण्डिन्,0
233426,148221,बिल्वक,n,n-----m--a,,,,/ˈbil.ʋə.kə/,बिल्वक,0
233427,148222,बिल्वकीया,n,n-----f--ā,,,,/ˈbil.ʋə.kiː.jɑː/,बिल्वकीया,0
233428,148223,बिल्वल,n,n-----n--a,,,,/ˈbil.ʋə.lə/,बिल्वल,0
233429,,बिल्वमध्य,n,n-----n--a,,,,/ˈbil.ʋə.ˈməd̪ʰ.jə/,बिल्व॔-मध्य,0
233430,148954,बिल्वमङ्गल,n,n-----m--a,,,,/ˈbil.ʋə.məŋ.gə.lə/,बिल्व॔-मङ्गल,0
233431,,बिल्वमङ्गलस्तोत्र,n,n-----n--a,,,,/ˈbil.ʋə.məŋ.gə.ˈləs.t̪oːt̪.ɹə/,बिल्व-मङ्गल-स्तोत्र,0
