,भूमिपतित्व,n,n-----n--a,,,,/bʱuː.mi.pə.ˈt̪it̪.ʋə/,भूमि-पति-त्व,0
232568,,भूम्येकदेश,n,n-----m--a,,,,/bʱuːm.jeː.kə.d̪eː.ɕə/,भूम्य्-एक-देश,0
232569,25538,भूम्याहुल्य,n,n-----n--a,,,,/bʱuːm.jɑː.ˈɦul.jə/,भूम्य्-आहुल्य,0
232570,25536,भूम्यामलकी,n,n-----f--ī,,,,/bʱuːm.jɑː.mə.lə.kiː/,भूम्य्-आमलकी,0
232571,25537,भूम्यामली,n,n-----f--ī,,,,/bʱuːm.jɑː.mə.liː/,भूम्य्-आमली,0
232572,,भूमानन्दसरस्वती,n,n-----m--ī,,,,/bʱuː.mɑː.nən.d̪ə.sə.ˈɹəs.ʋə.t̪iː/,भूमानन्द-सरस्वती,0
232573,,भूमीभुज्,n,n-----m--c,,,,/bʱuː.miː.bʱud͡ʑ/,भूमी-भुज्,0
232574,25528,भूमीभृत्,n,n-----m--c,,,,/bʱuː.miː.bʱɹ̩t̪/,भूमी-भृत्,0
232575,25521,भूमीच्छा,n,n-----f--ā,,,,/bʱuː.miːt͡ɕ.t͡ɕʰɑː/,भूमीच्छा,0
232576,166357,भूमीकदम्ब,n,n-----m--a,,,,/bʱuː.miː.kə.d̪əm.bə/,भूमी-कदम्ब,0
232577,25527,भूमीकुरबक,n,n-----m--a,,,,/bʱuː.miː.ku.ɹə.bə.kə/,भूमी-कुरबक,0
232578,25522,भूमीन्द्र,n,n-----m--a,,,,/bʱuː.miːn.d̪ɹə/,भूमीन्द्र,0
232579,,भूमीपति,n,n-----m--i,,,,/bʱuː.miː.pə.t̪i/,भूमी-पति,0
232580,25529,भूमीरुह्,n,n-----m--c,,,,/bʱuː.miː.ɹuɦ/,भूमी-रुह्,0
232581,25530,भूमीरुह,n,n-----m--a,,,,/bʱuː.miː.ɹu.ɦə/,भूमी-रुह,0
232582,25532,भूमीसह,n,n-----m--a,,,,/bʱuː.miː.sə.ɦə/,भूमी-सह,0
232583,,भूमीयाण,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=भूमीयाण",/bʱuː.miː.jɑː.ɳə/,भूमीयाण,0
232584,25531,भूमीशय्य,a,ap----a--a,,,,/bʱuː.miː.ˈɕəj.jə/,भूमी-शय्य,0
232585,,भूमीश्वर,n,n-----m--a,,,,/bʱuːmiːɕʋəɹə/,भूमीश्वर,0
232586,,भूमीश्वरमाहात्म्य,n,n-----n--a,,,,/bʱuːmiːɕʋəɹəmɑːɦɑːt̪mjə/,भूमीश्वर-माहात्म्य,0
232587,25115,भूनन्दन,n,n-----m--a,,,,/bʱuː.nən.d̪ə.nə/,भू॔-नन्दन,0
232588,25121,भूनेतृ,n,n-----m--r,,,,/bʱuː.neː.t̪ɹ̩/,भू॔-नेतृ,0
232589,25119,भूनिम्ब,n,n-----m--a,,,,/bʱuː.nim.bə/,भू॔-निम्ब,0
232590,25666,भूना,n,n-----f--ā,,,,/bʱuː.nɑː/,भूना,0
232591,,भूना,r,rp--------,,,,/bʱuː.nɑː/,भूना॔,0
232592,25116,भूनाग,n,n-----m--a,,,,/bʱuː.nɑː.gə/,भू॔-नाग,0
232593,25117,भूनामन्,n,n-----f--n,,,,/bʱuː.nɑː.mən/,भू॔-नामन्,0
232594,25118,भूनायक,n,n-----m--a,,,,/bʱuː.nɑː.jə.kə/,भू॔-नायक,0
232595,25120,भूनीलापञ्चसूक्त,n,n-----n--a,,,,/bʱuː.niː.lɑː.pəɲ.t͡ɕə.suːk.t̪ə/,भू॔-नीला-पञ्च-सूक्त,0
232596,,भूनीप,n,n-----m--a,,,,/bʱuː.niː.pə/,भू॔-नीप,0
232597,25122,भूप,n,n-----m--a,,,,/bʱuː.pə/,भू॔-प,0
232598,25125,भूपद,n,n-----m--a,,,,/bʱuː.pə.d̪ə/,भू॔-पद,0
232599,25126,भूपदी,n,n-----f--ī,,,,/bʱuː.pə.d̪iː/,भू॔-पदी,0
232600,25128,भूपल,n,n-----m--a,,,,/bʱuː.pə.lə/,भू॔-पल,0
232601,25129,भूपलाश,n,n-----m--a,,,,/bʱuː.pə.lɑː.ɕə/,भू॔-पलाश,0
232602,,भूपपुत्र,n,n-----m--a,,,,/bʱuː.pə.ˈput̪.ɹə/,भू॔-प-पुत्र,0
232603,,भूपरिधि,n,n-----m--i,,,,/bʱuː.pə.ɹi.d̪ʰi/,भू॔-परिधि,0
232604,,भूपसमुच्चयतन्त्र,n,n-----n--a,,,,/bʱuː.pə.sə.ˈmut͡ɕ.t͡ɕə.jə.t̪ən.t̪ɹə/,भू॔-प-समुच्चय-तन्त्र,0
232605,,भूपसिंह,n,n-----m--a,,,,/bʱuː.pə.ˈsĩ.ɦə/,भू॔-प-सिंह,0
232606,,भूपसुत,n,n-----m--a,,,,/bʱuː.pə.su.t̪ə/,भू॔-प-सुत,0
232607,25123,भूपति,n,n-----m--i,,,,/bʱuː.pə.t̪i/,भू॔-पति,0
232608,,भूपतिस्तुति,n,n-----f--i,,,,/bʱuː.pə.ˈt̪is.t̪u.t̪i/,भू॔-पति-स्तुति,0
232609,25124,भूपतित,a,ap----a--a,,,,/bʱuː.pə.t̪i.t̪ə/,भू॔-पतित,0
232778,25204,भूत,a,ap----a--a,,ap----f--ā=>ा,,/bʱuː.t̪ə/,भूत॔,0
232610,,भूपतिवेश्मन्,n,n-----n--n,,,,/bʱuːpət̪iʋeːɕmən/,भू॔-पति-वेश्मन्,0
232611,,भूपता,n,n-----f--ā,,,,/bʱuː.pə.t̪ɑː/,भू॔-प-ता,0
232612,25130,भूपवित्र,n,n-----n--a,,,,/bʱuː.pə.ˈʋit̪.ɹə/,भू॔-पवित्र,0
232613,,भूपेष्ट,n,n-----m--a,,,,/bʱuː.peːʂ.ʈə/,भू॔-पेष्ट,0
232614,25144,भूफल,n,n-----m--a,,,,/bʱuː.pʰə.lə/,भू॔-फल,0
232615,25136,भूपिठरी,n,n-----f--ī,,,,/bʱuː.pi.ʈʰə.ɹiː/,भू॔-पिठरी,0
232616,25143,भूप्रदान,n,n-----n--a,,,,/bʱuːp.ɹə.d̪ɑː.nə/,भू॔-प्रदान,0
232617,25141,भूप्रकम्प,n,n-----m--a,,,n-----f--ā=भूप्रकम्पआ,/bʱuːp.ɹə.kəm.pə/,भू॔-प्रकम्प,0
232618,25142,भूप्रतिमादान,n,n-----n--a,,,,/bʱuːp.ɹə.t̪i.mɑː.d̪ɑː.nə/,भू॔-प्रतिमा-दान,0
232619,25139,भूपुर,n,n-----n--a,,,,/bʱuː.pu.ɹə/,भू॔-पुर,0
