वःस्त्री,n,n-----f--ī,,,,/s.ˈʋəḥst̪ɹiː/,,0
489621,214348,अपालित,a,ap----a--a,,,,/ə.pɑː.li.t̪ə/,,0
489622,216063,चोरीभू,v,v----d--1- v----a--1-,,,,/t͡ɕoː.ɹiːb.huː/,,0
489623,,विजिघांस,v,v----d--n- v----a----,,,,/ʋi.d͡ʑi.gʰɑː̃.sə/,,0
489624,216066,स्थापितृ,a,ap----a--r,,,,/st̪.hɑː.pi.t̪ɹ̩/,,0
489625,216068,उत्तमश्लोकतम,a,ap----a--a,,,,/ut̪t̪əməɕloːkət̪əmə/,,0
489626,216069,उपासादय्,v,v----d--0- v----a--0-,,,,/.pɑː.sɑː.d̪əj/,,0
489627,210395,दुर्लभतर,a,ap----a--a,,,,/ˈd̪uɹ.ˈləb.hə.t̪ə.ɹə/,,0
489628,165469,सम्प्रच्छ्,v,v----d--6- v----a--6- v----a--1-,,,,/səm.pɹət͡ɕt͡ɕʰ/,,0
489629,216071,तितीरिषु,a,ap----a--u,,,,/t̪i.t̪iː.ɹi.ʂu/,,0
489630,216074,उद्ग्रथय्,v,v----d--0- v----a--0-,,,,/d̪.ˈgɹət̪.həj/,,0
489631,216077,निरहंमति,a,ap----a--i,,,,/ni.ɹə.ˈhə̃.mə.t̪i/,,0
489632,203072,अनुसिध्,v,v----a--4- v----d--4-,,,,/ə.nu.sid̪h/,,0
489633,216078,अनुसंस्मरण,n,n-----n--a,,,,/ə.nu.ˈsə̃s.mə.ɹə.ɳə/,,0
489634,161645,परिकर्शय्,v,v----a--0-,,,,/pə.ɹi.kə.ɹɕəj/,,0
489635,216082,सुप्रजतम,a,ap----a--a,,,,/ˈsup.ɹə.d͡ʑə.t̪ə.mə/,,0
489636,216083,धनवत्तम,a,ap----a--a,,,,/d̪.hə.nə.ˈʋət̪.t̪ə.mə/,,0
489637,212834,विदुरा,n,n-----f--ā,,,,/ʋi.d̪u.ɹɑː/,,0
489638,216086,उपविस्तृ,v,v----a--9- v----a--5- v----a--1-,,,,/.pə.ˈʋis.t̪ɹ̩/,,0
489639,216088,संसिसृक्ष्,v,v----d---- v----a----,,,,/ˈsə̃.si.sɹ̩kʂ/,,0
