pəɲ.ˈt͡ɕət̪.ɹi.̃ɕə.t̪i/,पञ्च-त्रिंशति,0
461601,,पञ्चविंशत्,n,n-p---f--t,,,,/pəɲ.t͡ɕə.ʋi.̃ɕət̪/,पञ्च-विंशत्,0
461602,,पञ्चविंशति,n,n-p---f--i,,,,/pəɲ.t͡ɕə.ʋi.̃ɕə.t̪i/,प॔ञ्च-विंशति,0
461603,,पञ्चशस्य,-,,,,,/pəɲ.t͡ɕə.ˈɕəs.jə/,पञ्च-शस्य,0
461604,,पञ्चषष्टि,n,n-p---f--i,,,,/pəɲ.t͡ɕə.ˈʂəʂ.ʈi/,पञ्च-षष्टि,0
461605,,पञ्चावट,-,,,,,/pəɲ.t͡ɕɑː.ʋə.ʈə/,पञ्चा-वट,0
461606,,पञ्चाशच्,-,,,,,/pəɲ.t͡ɕɑː.ɕət͡ɕ/,पञ्चाशच्,0
461607,,पञ्चाशद्,-,,,,,/pəɲ.t͡ɕɑː.ɕəd̪/,पञ्चाशद्,0
461608,,पञ्चाशत्,n,n-p---f--t,,,,/pəɲ.t͡ɕɑː.ɕət̪/,पञ्चाश॔त्,0
461609,,पञ्चाशति,n,n-p---f--i,,,,/pəɲ.t͡ɕɑː.ɕə.t̪i/,पञ्चाशति,0
461610,,पञ्चाशीति,n,n-p---f--i,,,,/pəɲ.t͡ɕɑː.ɕiː.t̪i/,पञ्चाशीति,0
461611,,पञ्ची,-,,,,,/pəɲ.t͡ɕiː/,पञ्ची,0
461612,,पञ्ज्,-,,,,,/pəɲd͡ʑ/,पञ्ज्,0
461613,,पश्चिमरङ्ग,-,,,,,/pəɕt͡ɕiməɹəŋgə/,पश्चिम-रङ्ग,0
461614,,पश्चाच्,-,,,,,/pəɕt͡ɕɑːt͡ɕ/,पश्चाच्,0
461615,,पश्चाद्,-,,,,,/pəɕt͡ɕɑːd̪/,पश्चाद्,0
461616,,पश्चाद्बाहुबद्ध,-,,,,,/pəɕt͡ɕɑːd̪bɑːɦubəd̪d̪ʰə/,पश्चाद्-बाहु-बद्ध,0
461617,,पश्चाल्,-,,,,,/pəɕt͡ɕɑːl/,पश्चाल्,0
461618,,पश्चान्,-,,,,,/pəɕt͡ɕɑːn/,पश्चान्,0
461619,,पशु,-,,,,,/pə.ɕu/,प॔शु,0
461620,,पशुक,-,,,,,/pə.ɕu.kə/,पशुक,0
461621,,पशुसंस्था,-,,,,,/pə.ɕu.ˈsə̃s.t̪ʰɑː/,पशु-संस्था,0
461622,,पश्व्,-,,,,,/pəɕʋ/,पश्व्,0
461623,,पश्वयन्त्र,-,,,,,/pəɕʋəjənt̪ɹə/,पश्व्-अ॔यन्त्र,0
461624,,पश्य,-,,,,,/pəɕjə/,पश्य,0
461625,,पड्,-,,,,,/pəɖ/,पड्,0
461626,,पंसक,-,,,,,/ˈpə̃.sə.kə/,पंसक,0
461627,,पंसन,-,,,,,/ˈpə̃.sə.nə/,पंसन,0
461628,,पङ्कण,-,,,,,/pəŋ.kə.ɳə/,पङ्कण,0
461629,,पङ्के,-,,,,,/pəŋ.keː/,पङ्के,0
461630,,पङ्क्ती,-,,,,,/pəŋk.t̪iː/,पङ्क्ती,0
461631,,पङ्क्तीहर,-,,,,,/pəŋk.t̪iː.ɦə.ɹə/,पङ्क्ती-हर,0
461632,,पणिक,-,,,,,/pə.ɳi.kə/,पणिक,0
461633,,पटपटा,-,,,,,/pə.ʈə.pə.ʈɑː/,पटपटा,0
461634,,पटत्,-,,,,,/pə.ʈət̪/,पटत्,0
461635,,पटौक,-,,,,,/pə.ˈʈəौ.kə/,पटौक,0
461636,,पटि,-,,,,,/pə.ʈi/,पटि,0
461637,,पटिमन्,-,,,,,/pə.ʈi.mən/,पटिमन्,0
461638,,पटिस,-,,,,,/pə.ʈi.sə/,पटिस,0
461639,,पटान्तरम्,-,,,,,/pə.ʈɑːn.t̪ə.ɹəm/,पटान्तरम्,0
461640,,पटान्तरे,-,,,,,/pə.ʈɑːn.t̪ə.ɹeː/,पटान्तरे,0
