4,आततीकरण,n,n-----n--a,,,,/ɑː.t̪ə.t̪iː.kə.ɹə.ɳə/,आतती-करण,0
415253,57728,आतिशायनिक,n,n-----m--a,,,,/ɑː.t̪i.ɕɑː.jə.ni.kə/,आतिशायनिक,0
415254,57729,आतिशायिक,a,ap----a--a,,,,/ɑː.t̪i.ɕɑː.ji.kə/,आतिशायिक,0
415255,57730,आतिष्ठ,n,n-----n--a,,,,/ɑː.ˈt̪iʂ.ʈʰə/,आतिष्ठ,0
415256,57731,आतिष्ठद्गु,r,rp--------,,,,/ɑː.ˈt̪iʂ.ˈʈʰəd̪.gu/,आ-तिष्ठद्-गु,0
415257,57814,आत्मबन्धु,n,n-----m--u,,,,/ɑːt̪.mə.bən.d̪ʰu/,आत्म-बन्धु,0
415258,57817,आत्मभव,n,n-----m--a,,,,/ɑːt̪.mə.bʱə.ʋə/,आत्म-भव,0
415259,,आत्मभव,a,ap----a--a,,,,/ɑːt̪.mə.bʱə.ʋə/,आत्म-भव,0
415260,57819,आत्मभवायन,n,n-----m--a,,,,/ɑːt̪.mə.bʱə.ʋɑː.jə.nə/,आत्म-भवायन,0
415261,57820,आत्मभाव,n,n-----m--a,,,,/ɑːt̪.mə.bʱɑː.ʋə/,आत्म-भाव,0
496608,214756,राट्,n,n-----m--c,,,,/ɹɑːʈ/,,0
415262,199370,आत्मभू,n,n-----m--ū,,,,/ɑːt̪.mə.bʱuː/,आत्म-भू,0
415263,57821,आत्मभूत,a,ap----a--a,,,,/ɑːt̪.mə.bʱuː.t̪ə/,आत्म-भूत,0
415264,,आत्मभूय,n,n-----n--a,,,,/ɑːt̪.mə.bʱuː.jə/,आत्म-भूय,0
415265,57816,आत्मबोध,n,n-----m--a,,,,/ɑːt̪.mə.boː.d̪ʰə/,आत्म-बोध,0
415266,,आत्मबुद्धि,n,n-----f--i,,,,/ɑːt̪.mə.ˈbud̪.d̪ʰi/,आत्म-बुद्धि,0
415267,57767,आत्मचतुर्थ,a,ap----a--a,,,,/ɑːt̪.mə.t͡ɕə.ˈt̪uɹ.t̪ʰə/,आत्म-चतुर्थ,0
415268,57768,आत्मच्छन्दतीर्थ,n,n-----n--a,,,,/ɑːt̪.ˈmət͡ɕ.t͡ɕʰən.d̪ə.t̪iːɹ.t̪ʰə/,आत्म-च्छन्द-तीर्थ,0
415269,,आत्मचिन्ता,n,n-----f--ā,,,,/ɑːt̪.mə.t͡ɕin.t̪ɑː/,आत्म-चिन्ता,0
415270,,आत्मदक्षिण,a,ap----a--a,,,,/ɑːt̪.mə.ˈd̪ək.ʂi.ɳə/,आत्म-दक्षिण,0
415271,57786,आत्मदर्श,n,n-----m--a,,,,/ɑːt̪.mə.d̪ə.ɹɕə/,आत्म-दर्श,0
415272,,आत्मदर्शन,n,n-----n--a,,,,/ɑːt̪.mə.d̪ə.ɹɕə.nə/,आत्म-दर्शन,0
415273,57790,आत्मदेवता,n,n-----f--ā,,,,/ɑːt̪.mə.d̪eː.ʋə.t̪ɑː/,आत्म-देवता,0
415274,,आत्मधारणी,n,n-----f--ī,,,,/ɑːt̪.mə.d̪ʰɑː.ɹə.ɳiː/,आत्म-धारणी,0
415275,,आत्मद्रोहिन्,a,ap----a--n,,,,/ɑːt̪.ˈməd̪.ɹoː.ɦin/,आत्म-द्रोहिन्,0
