c,430246,467785
1452778,-c,430388,467797
1452779,+c,467797,430395
1452780,-c,430395,467797
1452781,+c,467797,430394
1452782,-c,430394,467797
1452783,+c,467797,430389
1452784,-c,430389,467797
1452785,+c,467797,430393
1452786,-c,430393,467797
1452787,+c,467797,430390
1452788,-c,430390,467797
1452789,+c,301476,430392
1452790,-c,430392,301476
1452791,+c,301476,430391
1452792,-c,430391,301476
1452793,+c,467797,430377
1452794,-c,430377,467797
1452795,+c,467797,430375
1452796,-c,430375,467797
1452801,+c,467797,430384
1452802,-c,430384,467797
1452803,+c,467797,430387
1452804,-c,430387,467797
1452807,+c,467797,430379
1452808,-c,430379,467797
1452811,+c,467797,430381
1452812,-c,430381,467797
1452813,+c,467797,430382
1452814,-c,430382,467797
1452815,+c,467797,430383
1452816,-c,430383,467797
1452817,+c,407487,430383
1452818,-c,430383,407487
1452819,+c,467797,430385
1452820,-c,430385,467797
1452821,+c,299482,430385
1452822,-c,430385,299482
1452823,+c,467797,430374
1452824,-c,430374,467797
1452825,+c,467808,430489
1452826,-c,430489,467808
1452827,+c,467808,430508
1452828,-c,430508,467808
1452829,+c,467808,430507
1452830,-c,430507,467808
1452831,+c,467808,430509
1452832,-c,430509,467808
1452833,+c,467808,430482
1452834,-c,430482,467808
1452835,+c,467808,430484
1452836,-c,430484,467808
1452837,+c,457762,430484
1452838,-c,430484,457762
1452839,+c,467808,430483
1452840,-c,430483,467808
1452841,+c,467808,430496
1452842,-c,430496,467808
1452843,+c,317972,430496
1452844,-c,430496,317972
1452845,+c,467808,430497
1452846,-c,430497,467808
1452847,+c,467808,430498
1452848,-c,430498,467808
1452849,+c,467808,430481
1452850,-c,430481,467808
1452851,+c,456933,430481
1452852,-c,430481,456933
1452853,+c,467808,430495
1452854,-c,430495,467808
1452855,+c,460518,430495
1452856,-c,430495,460518
1452857,+c,467808,430514
1452858,-c,430514,467808
1452859,+c,466602,430514
1452860,-c,430514,466602
1452861,+c,467808,430515
1452862,-c,430515,467808
1452863,+c,467808,430499
1452864,-c,430499,467808
1452865,+c,467808,430494
1452866,-c,430494,467808
1452867,+c,288229,430494
1452868,-c,430494,288229
1452869,+c,467808,430510
1452870,-c,430510,467808
1452871,+c,390190,430510
1452872,-c,430510,390190
1452873,+c,467808,430513
1452874,-c,430513,467808
1452875,+c,467808,430511
1452876,-c,430511,467808
1452877,+c,467808,430512
1452878,-c,430512,467808
1452879,+c,467808,430516
1452880,-c,430516,467808
