136797,मीमांसामकरन्द,n,n-----m--a,,,,/miː.mɑː̃.sɑː.mə.kə.ɹən.d̪ə/,मीमांसा॔-मकरन्द,0
302732,137513,मूढ,a,ap----a--a,,,,/muː.ɖʰə/,मूढ॔,0
302733,137515,मूढ,n,n-----n--a,,,,/muː.ɖʰə/,मूढ॔,0
302735,,मूढबुद्धि,a,ap----a--i,,,,/muː.ɖʰə.ˈbud̪.d̪ʰi/,मूढ॔-बुद्धि,0
302736,136373,मूढचक्षुर्गदच्छेतृ,n,n-----m--r,,,,/muː.ɖʰə.ˈt͡ɕək.ˈʂuɹ.gə.ˈd̪ət͡ɕ.t͡ɕʰeː.t̪ɹ̩/,मूढ॔-चक्षुर्-गद-च्छेतृ,0
302737,,मूढचेतन,a,ap----a--a,,,,/muː.ɖʰə.t͡ɕeː.t̪ə.nə/,मूढ॔-चेतन,0
302738,,मूढचेतस्,a,ap----a-sa,,,,/muː.ɖʰə.t͡ɕeː.t̪əs/,मूढ॔-चेतस्,0
302739,,मूढधी,a,ap----a--ī,,,,/muː.ɖʰə.d̪ʰiː/,मूढ॔-धी,0
302740,136371,मूढगर्भ,n,n-----m--a,,,,/muː.ɖʰə.ˈgəɹ.bʱə/,मूढ॔-गर्भ,0
302741,136372,मूढग्राह,n,n-----m--a,,,,/muː.ˈɖʰəg.ɹɑː.ɦə/,मूढ॔-ग्राह,0
302742,,मूढमनस्,a,ap----a-sa,,,,/muː.ɖʰə.mə.nəs/,मूढ॔-मनस्,0
302743,,मूढमति,a,ap----a--i,,,,/muː.ɖʰə.mə.t̪i/,मूढ॔-मति,0
302744,136380,मूढप्रभु,n,n-----m--u,,,,/muː.ˈɖʰəp.ɹə.bʱu/,मूढ॔-प्रभु,0
302745,,मूढरथ,n,n-----m--a,,,,/muː.ɖʰə.ɹə.t̪ʰə/,मूढ॔-रथ,0
302746,,मूढसत्त्व,a,ap----a--a,,,,/muː.ɖʰə.ˈsət̪.t̪ʋə/,मूढ॔-सत्त्व,0
302747,136376,मूढतम,a,ap----a--a,,,,/muː.ɖʰə.t̪ə.mə/,मूढ॔-तम,0
302748,136378,मूढत्व,n,n-----n--a,,,,/muː.ˈɖʰət̪.ʋə/,मूढ॔-त्व,0
302749,,मूढता,n,n-----f--ā,,,,/muː.ɖʰə.t̪ɑː/,मूढ॔-ता,0
302750,,मूढवत्,r,rp--------,,,,/muː.ɖʰə.ʋət̪/,मूढ॔-वत्,0
302751,136385,मूढविडम्बन,n,n-----n--a,,,,/muː.ɖʰə.ʋi.ɖəm.bə.nə/,मूढ॔-विडम्बन,0
302752,,मूढश्रेष्ठ,n,n-----m--a,,,,/muːɖʰəɕɹeːʂʈʰə/,मूढ॔-श्रेष्ठ,0
302753,136389,मूढेश्वर,n,n-----m--a,,,,/muːɖʰeːɕʋəɹə/,मूढेश्वर,0
302754,,मूढात्मन्,a,ap----a--n,,,,/muː.ɖʰɑːt̪.mən/,मूढात्मन्,0
302756,,मूष्,a,ap----c--c,,,,/muːʂ/,मू॔ष्,0
302757,,मूष,a,ap----a--a,,ap----f--ā=>ा ap----f--ī=>ी,,/muː.ʂə/,मूष,0
302758,137587,मूषक,n,n-----m--a,,,,/muː.ʂə.kə/,मूषक,0
302759,136585,मूषकाद,n,n-----m--a,,,,/muː.ʂə.kɑː.d̪ə/,मूषकाद,0
302760,136586,मूषकाराति,n,n-----m--i,,,,/muː.ʂə.kɑː.ɹɑː.t̪i/,मूषकाराति,0
302761,136584,मूषवाहन,a,ap----a--a,,,,/muː.ʂə.ʋɑː.ɦə.nə/,मूष-वाहन,0
302762,136587,मूषण,n,n-----n--a,,,,/muː.ʂə.ɳə/,मूषण,0
302763,137589,मूषिक,n,n-----m--a,,,,/muː.ʂi.kə/,मूषिक,0
302764,136604,मूषिकका,n,n-----f--ā,,,,/muː.ʂi.kə.kɑː/,मूषिकका,0
302765,,मूषिकनिर्विशेष,a,ap----a--a,,,,/muː.ʂi.kə.ˈniɹ.ʋi.ɕeː.ʂə/,मूषिक-निर्विशेष,0
302766,136592,मूषिकपर्णी,n,n-----f--ī,,,,/muː.ʂi.kə.ˈpəɹ.ɳiː/,मूषिक-पर्णी,0
302767,136593,मूषिकरथ,n,n-----m--a,,,,/muː.ʂi.kə.ɹə.t̪ʰə/,मूषिक-रथ,0
302768,136595,मूषिकस्थल,n,n-----n--a,,,,/muː.ʂi.ˈkəs.t̪ʰə.lə/,मूषिक-स्थल,0
302769,136594,मूषिकविषाण,n,n-----n--a,,,,/muː.ʂi.kə.ʋi.ʂɑː.ɳə/,मूषिक-विषाण,0
302770,,मूषिकिका,n,n-----f--ā,,,,/muː.ʂi.ki.kɑː/,मूषिकिका,0
302771,136603,मूषिकोत्कर,n,n-----m--a,,,,/muː.ʂi.koːt̪.kə.ɹə/,मूषिकोत्कर,0
302772,136605,मूषिका,n,n-----f--ā,,,,/muː.ʂi.kɑː/,मूषिका,0
302775,,मूषिकाद,n,n-----m--a,,,,/muː.ʂi.kɑː.d̪ə/,मूषिकाद,0
302776,136607,मूषिकादन्त,a,ap----a--a,,,,/muː.ʂi.kɑː.d̪ən.t̪ə/,मूषिका-दन्त,0
302777,136606,मूषिकादत्,a,ap----a--c,,,,/muː.ʂi.kɑː.d̪ət̪/,मूषिका-दत्,0
302778,136608,मूषिकाहैरन्यिक,n,n-----m--a,,,,/muː.ʂi.kɑː.ɦɑːi.ɹən.ji.kə/,मूषिका-हैरन्यिक,0
302779,137590,मूषिकाह्वया,n,n-----f--ā,,,,/muː.ʂi.kɑːɦ.ʋə.jɑː/,मूषिकाह्वया,0
302780,136596,मूषिकाकृति,a,ap----a--i,,,,/muː.ʂi.kɑː.kɹ̩.t̪i/,मूषिकाकृति,0
302781,136601,मूषिकान्तकृत्,n,n-----m--c,,,,/muː.ʂi.kɑːn.t̪ə.kɹ̩t̪/,मूषिकान्तकृत्,0
302782,136609,मूषिकार,n,n-----m--a,,,,/muː.ʂi.kɑː.ɹə/,मूषिकार,0
302783,,मूषिकाराति,n,n-----m--i,,,,/muː.ʂi.kɑː.ɹɑː.t̪i/,मूषिकाराति,0
302784,136598,मूषिकाञ्चन,n,n-----m--a,,,,/muː.ʂi.kɑːɲ.t͡ɕə.nə/,मूषिकाञ्चन,0
302785,136599,मूषिकाञ्चित,n,n-----m--a,,,,/muː.ʂi.kɑːɲ.t͡ɕi.t̪ə/,मूषिकाञ्चित,0
302786,136597,मूषिकाङ्क,n,n-----m--a,,,,/muː.ʂi.kɑːŋ.kə/,मूषिकाङ्क,0
302787,136612,मूषिपर्णिका,n,n-----f--ā,,,,/muː.ʂi.ˈpəɹ.ɳi.kɑː/,मूषि-पर्णिका,0
302788,,मूषित,a,ap----a--a,,,,/muː.ʂi.t̪ə/,मूषित,0
302789,136616,मूष्यायण,a,ap----a--a,,,,/muːʂ.jɑː.jə.ɳə/,मूष्यायण,0
302790,136588,मूषा,n,n-----f--ā,,,,/muː.ʂɑː/,मूषा,0
302792,136589,मूषाकर्णी,n,n-----f--ī,,,,/muː.ʂɑː.ˈkəɹ.ɳiː/,मूषा-कर्णी,0
302793,136590,मूषातुत्थ,n,n-----n--a,,,,/muː.ʂɑː.ˈt̪ut̪.t̪ʰə/,मूषा-तुत्थ,0
302794,136613,मूषी,n,n-----f--ī,,,,/muː.ʂiː/,मूषी,0
302795,,मूषीक,a,ap----c--a,,,,/muː.ʂiː.kə/,मूषीक,0
302796,136615,मूषीककर्णी,n,n-----f--ī,,,,/muː.ʂiː.kə.ˈkəɹ.ɳiː/,मूषीक-कर्णी,0
302797,136614,मूषीकरण,n,n-----n--a,,,,/muː.ʂiː.kə.ɹə.ɳə/,मूषी-करण,0
302798,137524,मूट,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=मूट",/muː.ʈə/,मूट,0
302799,,मूटक,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=मूटक",/muː.ʈə.kə/,मूटक,0
302800,,मृ,v,v----d--6- v----a--6- v----a--1- v----d--1-,,,,/mɹ̩/,मृ,0
302801,,मृच्,v,v----a--0- v----a--4-,,,,/mɹ̩t͡ɕ/,मृच्,0
302802,137029,मृच्,n,n-----f--c,,,,/mɹ̩t͡ɕ/,मृ॔च्,0
302803,137030,मृचय,a,ap----a--a,,,,/mɹ̩.t͡ɕə.jə/,मृचय,0
302804,137079,मृच्चय,n,n-----m--a,,,,/ˈmɹ̩t͡ɕ.t͡ɕə.jə/,मृच्-चय,0
302805,137697,मृच्छकटिका,n,n-----f--ā,,,,/ˈmɹ̩t͡ɕ.t͡ɕʰə.kə.ʈi.kɑː/,मृच्-छकटिका,0
302806,,मृच्छकटिकासेतु,n,n-----m--u,,,,/ˈmɹ̩t͡ɕ.t͡ɕʰə.kə.ʈi.kɑː.seː.t̪u/,मृच्-छकटिका-सेतु,0
302807,,मृच्छिलामय,a,ap----a--a,,ap----f--ī=>ी,,/ˈmɹ̩t͡ɕ.t͡ɕʰi.lɑː.mə.jə/,मृच्-छिला-मय,0
302808,,मृछ्,v,v----d--6-,,,,/mɹ̩t͡ɕʰ/,मृछ्,0
302809,,मृद्,v,v----a--9- v----a--1- v----d--1-,,,,/mɹ̩d̪/,मृद्,0
302810,137099,मृद्,n,n-----f--c,,,,/mɹ̩d̪/,मृ॔द्,0
302811,137731,मृदर,n,n-----m--a,,,,/mɹ̩.d̪ə.ɹə/,मृदर,0
302812,137732,मृदर,a,ap----a--a,,,,/mɹ̩.d̪ə.ɹə/,मृदर,0
302814,137106,मृदव,n,n-----n--a,,,,/mɹ̩.d̪ə.ʋə/,मृदव,0
302815,137703,मृदंग,n,n-----m--a,,,,/mɹ̩.d̪əŋ.gə/,मृदंग,0
302816,137105,मृदंगक,n,n-----n--a,,,,/mɹ̩.d̪əŋ.gə.kə/,मृदंगक,0
302817,137706,मृदंगफल,n,n-----n--a,,,,/mɹ̩.d̪əŋ.gə.pʰə.lə/,मृदंग-फल,0
302818,137705,मृदंगफल,n,n-----m--a,,,,/mɹ̩.d̪əŋ.gə.pʰə.lə/,मृदंग-फल,0
302819,,मृदंगफलिनी,n,n-----f--ī,,,,/mɹ̩.d̪əŋ.gə.pʰə.li.niː/,मृदंग-फलिनी,0
302820,137704,मृदंगी,n,n-----f--ī,,,,/mɹ̩.d̪əŋ.giː/,मृदंगी,0
302821,137175,मृदङ्कुर,n,n-----m--a,,,,/mɹ̩.d̪əŋ.ku.ɹə/,मृदङ्कुर,0
302822,,मृदङ्कुरु,n,n-----m--u,,,,/mɹ̩.d̪əŋ.ku.ɹu/,मृदङ्कुरु,0
302823,,मृद्भाण्ड,n,n-----n--a,,,,/ˈmɹ̩d̪.bʱɑːɳ.ɖə/,मृ॔द्-भाण्ड,0
302824,,मृद्भाण्डावशेषम्,r,rp--------,,,,/ˈmɹ̩d̪.bʱɑːɳ.ɖɑː.ʋə.ɕeː.ʂəm/,मृ॔द्-भाण्डावशेषम्,0
302825,137177,मृद्ध,a,ap----a--a,,,,/ˈmɹ̩d̪.d̪ʰə/,मृद्ध॔,0
302826,137103,मृद्दारुशैल,a,ap----a--a,,,,/ˈmɹ̩d̪.d̪ɑː.ɹu.ɕɑːi.lə/,मृ॔द्-दारु-शैल,0
302827,137101,मृद्ग,n,n-----m--a,,,,/ˈmɹ̩d̪.gə/,मृ॔द्-ग,0
302828,,मृद्घट,n,n-----m--a,,,,/ˈmɹ̩d̪.gʰə.ʈə/,मृ॔द्-घट,0
302829,137178,मृध्,n,n-----f--c,,,,/mɹ̩d̪ʰ/,मृ॔ध्,0
302830,,मृध्,v,v----a--1- v----d--1- v----a--6- v----d--6-,,,,/mɹ̩d̪ʰ/,मृध्,0
302831,137733,मृध,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=मृध",/mɹ̩.d̪ʰə/,मृध,0
302832,137179,मृधभू,n,n-----f--ū,,,,/mɹ̩.d̪ʰə.bʱuː/,मृध-भू,0
302833,137180,मृधस्,n,n-----n-sa,,,,/mɹ̩.d̪ʰəs/,मृ॔धस्,0
302834,137181,मृध्र,n,n-----n--a,,,,/ˈmɹ̩d̪ʰ.ɹə/,मृध्र॔,0
302835,137182,मृध्रवाच्,a,ap----a--c,,,,/ˈmɹ̩d̪ʰ.ɹə.ʋɑːt͡ɕ/,मृध्र॔-वाच्,0
302836,,मृधा,r,rp--------,,,,/mɹ̩.d̪ʰɑː/,मृधा,0
302837,137109,मृदि,n,n-----m--i,,,,/mɹ̩.d̪i/,मृदि,0
302838,137112,मृदिनी,n,n-----f--ī,,,,/mɹ̩.d̪i.niː/,मृदिनी,0
302839,,मृदित,a,ap----a--a,,,,/mɹ̩.d̪i.t̪ə/,मृदित॔,0
302840,,मृदितकुक्षिक,a,ap----a--a,,,,/mɹ̩.d̪i.t̪ə.ˈkuk.ʂi.kə/,मृदित॔-कुक्षिक,0
302841,137708,मृदु,n,n-----m--u,,,,/mɹ̩.d̪u/,मृदु॔,0
302842,137709,मृदु,n,n-----f--u,,,,/mɹ̩.d̪u/,मृदु,0
302844,137711,मृदु,n,n-----n--u,,,n-----f--u=मृदुउ n-----f--ī=मृदुवी,/mɹ̩.d̪u/,मृदु॔,0
302846,,मृदुभाव,n,n-----m--a,,,,/mɹ̩.d̪u.bʱɑː.ʋə/,मृदु॔-भाव,0
302847,,मृदुभाषिन्,a,ap----a--n,,,,/mɹ̩.d̪u.bʱɑː.ʂin/,मृदु॔-भाषिन्,0
302848,,मृदुभाषिता,n,n-----f--ā,,,,/mɹ̩.d̪u.bʱɑː.ʂi.t̪ɑː/,मृदु॔-भाषि-ता,0
302849,137125,मृदुचर्मिन्,n,n-----m--n,,,,/mɹ̩.d̪u.ˈt͡ɕəɹ.min/,मृदु॔-चर्मिन्,0
302850,137128,मृदुच्छद,n,n-----m--a,,,,/mɹ̩.ˈd̪ut͡ɕ.t͡ɕʰə.d̪ə/,मृदु॔-च्छद,0
302851,137126,मृदुचाप,n,n-----m--a,,,,/mɹ̩.d̪u.t͡ɕɑː.pə/,मृदु॔-चाप,0
302852,137127,मृदुचारुभाषिन्,a,ap----a--n,,,,/mɹ̩.d̪u.t͡ɕɑː.ɹu.bʱɑː.ʂin/,मृदु॔-चारु-भाषिन्,0
302853,137121,मृदुगमना,n,n-----f--ā,,,,/mɹ̩.d̪u.gə.mə.nɑː/,मृदु॔-गमना,0
302854,137120,मृदुगन्धिक,n,n-----m--a,,,,/mɹ̩.d̪u.gən.d̪ʰi.kə/,मृदु॔-गन्धिक,0
302855,,मृदुगण,n,n-----m--a,,,,/mɹ̩.d̪u.gə.ɳə/,मृदु॔-गण,0
302856,137123,मृदुगिर्,a,ap----a--c,,,,/mɹ̩.d̪u.giɹ/,मृदु॔-गिर्,0
302857,137124,मृदुग्रन्थि,n,n-----m--i,,,,/mɹ̩.ˈd̪ug.ɹən.t̪ʰi/,मृदु॔-ग्रन्थि,0
302858,,मृदुगामिन्,a,ap----a--n,,,,/mɹ̩.d̪u.gɑː.min/,मृदु॔-गामिन्,0
302859,,मृदुगामिनी,n,n-----f--ī,,,,/mɹ̩.d̪u.gɑː.mi.niː/,मृदु॔-गामिनी,0
302860,137122,मृदुगात्रता,n,n-----f--ā,,,,/mɹ̩.d̪u.gɑːt̪.ɹə.t̪ɑː/,मृदु॔-गात्र-ता,0
302861,137162,मृदुहृदय,a,ap----a--a,,,,/mɹ̩.d̪u.ɦɹ̩.d̪ə.jə/,मृदु॔-हृदय,0
302862,137130,मृदुजिह्वता,n,n-----f--ā,,,,/mɹ̩.d̪u.ˈd͡ʑiɦ.ʋə.t̪ɑː/,मृदु॔-जिह्व-ता,0
302863,137129,मृदुजातीय,a,ap----a--a,,,,/mɹ̩.d̪u.d͡ʑɑː.t̪iː.jə/,मृदु॔-जातीय,0
302864,137722,मृदुक,a,ap----a--a,,,,/mɹ̩.d̪u.kə/,मृदुक,0
302865,,मृदुकम्,r,rp--------,,,,/mɹ̩.d̪u.kəm/,मृदुकम्,0
302866,137712,मृदुकर्मन्,n,n-----n--n,,,,/mɹ̩.d̪u.ˈkəɹ.mən/,मृदु॔-कर्मन्,0
302867,137113,मृदुकण्टक,n,n-----m--a,,,,/mɹ̩.d̪u.ˈkəɳ.ʈə.kə/,मृदु॔-कण्टक,0
302868,137116,मृदुकोप,a,ap----a--a,,,,/mɹ̩.d̪u.koː.pə/,मृदु॔-कोप,0
302869,137117,मृदुकोष्ठ,a,ap----a--a,,,,/mɹ̩.d̪u.koːʂ.ʈʰə/,मृदु॔-कोष्ठ,0
302870,137118,मृदुक्रिया,n,n-----f--ā,,,,/mɹ̩.ˈd̪uk.ɹi.jɑː/,मृदु॔-क्रिया,0
302871,137723,मृदुका,n,n-----f--ā,,,,/mɹ̩.d̪u.kɑː/,मृदुका,0
302872,137114,मृदुकार्ष्णायस,n,n-----n--a,,,,/mɹ̩.d̪u.kɑːɹʂ.ɳɑː.jə.sə/,मृदु॔-कार्ष्णायस,0
302873,137115,मृदुकृष्णायस,n,n-----n--a,,,,/mɹ̩.d̪u.ˈkɹ̩ʂ.ɳɑː.jə.sə/,मृदु॔-कृष्णायस,0
302874,137724,मृदुल,a,ap----a--a,,,,/mɹ̩.d̪u.lə/,मृदुल,0
302876,137725,मृदुल,n,n-----m--a,,,,/mɹ̩.d̪u.lə/,मृदुल,0
302877,137726,मृदुल,n,n-----n--a,,,,/mɹ̩.d̪u.lə/,मृदुल,0
302878,137153,मृदुलता,n,n-----f--ā,,,,/mɹ̩.d̪u.lə.t̪ɑː/,मृदु॔-लता,0
302879,137154,मृदुलोमक,n,n-----m--a,,,,/mɹ̩.d̪u.loːmə.kə/,मृदु॔-लोमक,0
302880,137149,मृदुमध्या,n,n-----f--ā,,,,/mɹ̩.d̪u.ˈməd̪ʰ.jɑː/,मृदु॔-मध्या,0
302881,,मृदुमध्याधिमात्र,a,ap----a--a,,,,/mɹ̩.d̪u.ˈməd̪ʰ.jɑː.d̪ʰi.mɑːt̪.ɹə/,मृदु॔-मध्याधिमात्र,0
302882,,मृदुमध्याधिमात्रत्व,n,n-----n--a,,,,/mɹ̩.d̪u.ˈməd̪ʰ.jɑː.d̪ʰi.mɑːt̪.ˈɹət̪.ʋə/,मृदु॔-मध्याधिमात्र-त्व,0
302883,,मृदुमृत्स्न,a,ap----a--a,,,,/mɹ̩.d̪u.ˈmɹ̩t̪s.nə/,मृदु॔-मृत्स्न,0
302884,137176,मृदुन्नक,n,n-----n--a,,,,/mɹ̩.d̪un.nə.kə/,मृदुन्नक,0
302885,137136,मृदुपरुषगुण,n,n-----m--a,,,,/mɹ̩.d̪u.pə.ɹu.ʂə.gu.ɳə/,मृदु॔-परुष-गुण,0
302886,137137,मृदुपर्वक,n,n-----m--a,,,,/mɹ̩.d̪u.ˈpəɹ.ʋə.kə/,मृदु॔-पर्वक,0
302887,137138,मृदुपर्वन्,n,n-----m--n,,,,/mɹ̩.d̪u.ˈpəɹ.ʋən/,मृदु॔-पर्वन्,0
302888,137717,मृदुपत्त्र,n,n-----m--a,,,,/mɹ̩.d̪u.ˈpət̪.t̪ɹə/,मृदु॔-पत्त्र,0
302889,137718,मृदुपत्त्री,n,n-----f--ī,,,,/mɹ̩.d̪u.ˈpət̪.t̪ɹiː/,मृदु॔-पत्त्री,0
302890,137147,मृदुफल,n,n-----m--a,,,,/mɹ̩.d̪u.pʰə.lə/,मृदु॔-फल,0
302891,,मृदुप्रौढ,a,ap----a--a,,,,/mɹ̩.ˈd̪up.ˈɹəौ.ɖʰə/,मृदु॔-प्रौढ,0
302892,137144,मृदुप्रयत्न,a,ap----a--a,,,,/mɹ̩.ˈd̪up.ɹə.ˈjət̪.nə/,मृदु॔-प्रयत्न,0
302893,137145,मृदुप्रिय,n,n-----m--a,,,,/mɹ̩.ˈd̪up.ɹi.jə/,मृदु॔-प्रिय,0
302894,137141,मृदुपुष्प,n,n-----m--a,,,,/mɹ̩.d̪u.ˈpuʂ.pə/,मृदु॔-पुष्प,0
302895,137142,मृदुपुष्पक,n,n-----m--a,,,,/mɹ̩.d̪u.ˈpuʂ.pə.kə/,मृदु॔-पुष्पक,0
302896,,मृदुपाणि,a,ap----a--i,,,,/mɹ̩.d̪u.pɑː.ɳi/,मृदु॔-पाणि,0
302897,137140,मृदुपीठक,n,n-----m--a,,,,/mɹ̩.d̪u.piː.ʈʰə.kə/,मृदु॔-पीठक,0
302898,137143,मृदुपूर्व,a,ap----a--a,,ap----f--ā=>ा,,/mɹ̩.d̪u.puːɹ.ʋə/,मृदु॔-पूर्व,0
302899,,मृदुपूर्वम्,r,rp--------,,,,/mɹ̩.d̪u.puːɹ.ʋəm/,मृदु॔-पूर्वम्,0
302900,137165,मृदुर,n,n-----m--a,,,,/mɹ̩.d̪u.ɹə/,मृदुर,0
302901,137166,मृदुरस्वन,n,n-----m--a,,,,/mɹ̩.d̪u.ˈɹəs.ʋə.nə/,मृदुर-स्वन,0
302902,,मृदुरि,n,n-----m--i,,,,/mɹ̩.d̪u.ɹi/,मृदुरि,0
302903,,मृदुरोमक,n,n-----m--a,,,,/mɹ̩.d̪u.ɹoːmə.kə/,मृदु॔-रोमक,0
302904,137151,मृदुरोमन्,n,n-----m--n,,,,/mɹ̩.d̪u.ɹoːmən/,मृदु॔-रोमन्,0
302905,,मृदुरोमवत्,n,n-----m--c,,,,/mɹ̩.d̪u.ɹoːmə.ʋət̪/,मृदु॔-रोम-वत्,0
302906,,मृदुस्पर्श,a,ap----a--a,,ap----f--ā=>ा,,/mɹ̩.ˈd̪us.pə.ɹɕə/,मृदु॔-स्पर्श,0
302907,137159,मृदुसारा,n,n-----f--ā,,,,/mɹ̩.d̪u.sɑː.ɹɑː/,मृदु॔-सारा,0
302908,137160,मृदुसूर्य,a,ap----a--a,,,,/mɹ̩.d̪u.suːɹ.jə/,मृदु॔-सूर्य,0
302909,137131,मृदुतरुणहुस्तपादतलता,n,n-----f--ā,,,,/mɹ̩.d̪u.t̪ə.ɹu.ɳə.ˈɦus.t̪ə.pɑː.d̪ə.t̪ə.lə.t̪ɑː/,मृदु॔-तरुण-हुस्त-पाद-तल-ता,0
302910,,मृदुत्व,n,n-----n--a,,,,/mɹ̩.ˈd̪ut̪.ʋə/,मृदु॔-त्व,0
302911,137135,मृदुत्वच्,n,n-----m--c,,,,/mɹ̩.ˈd̪ut̪.ʋət͡ɕ/,मृदु॔-त्वच्,0
302912,,मृदुता,n,n-----f--ā,,,,/mɹ̩.d̪u.t̪ɑː/,मृदु॔-ता,0
302913,137133,मृदुताल,n,n-----m--a,,,,/mɹ̩.d̪u.t̪ɑː.lə/,मृदु॔-ताल,0
302914,137716,मृदुतीक्ष्ण,n,n-----n--a,,,,/mɹ̩.d̪u.t̪iːkʂ.ɳə/,मृदु॔-तीक्ष्ण,0
302915,,मृदुतीक्ष्ण,a,ap----a--a,,,,/mɹ̩.d̪u.t̪iːkʂ.ɳə/,मृदु॔-तीक्ष्ण,0
302991,,मृगलाञ्छन,n,n-----m--a,,,,/mɹ̩.gə.lɑːɲ.t͡ɕʰə.nə/,मृग॔-लाञ्छन,0
302916,,मृदुतीक्ष्णतर,a,ap----a--a,,,,/mɹ̩.d̪u.t̪iːkʂ.ɳə.t̪ə.ɹə/,मृदु॔-तीक्ष्ण-तर,0
302917,137155,मृदुवर्ग,n,n-----m--a,,,,/mɹ̩.d̪u.ˈʋəɹ.gə/,मृदु॔-वर्ग,0
302918,137158,मृदुविद्,n,n-----m--c,,,,/mɹ̩.d̪u.ʋid̪/,मृदु॔-विद्,0
302919,,मृदुवाच्,a,ap----a--c,,,,/mɹ̩.d̪u.ʋɑːt͡ɕ/,मृदु॔-वाच्,0
302920,137157,मृदुवात,n,n-----m--a,,,,/mɹ̩.d̪u.ʋɑː.t̪ə/,मृदु॔-वात,0
302921,,मृदुयुद्ध,a,ap----a--a,,,,/mɹ̩.d̪u.ˈjud̪.d̪ʰə/,मृदु॔-युद्ध,0
302922,,मृदुयुद्धता,n,n-----f--ā,,,,/mɹ̩.d̪u.ˈjud̪.d̪ʰə.t̪ɑː/,मृदु॔-युद्ध-ता,0
302923,137169,मृद्ववग्रह,n,n-----m--a,,,,/ˈmɹ̩d̪.ʋə.ˈʋəg.ɹə.ɦə/,मृद्व्-अवग्रह,0
302924,137727,मृद्वङ्ग,a,ap----a--a,,ap----f--ī=>ी,,/ˈmɹ̩d̪.ʋəŋ.gə/,मृद्व्-अङ्ग,0
302925,137729,मृद्वङ्ग,n,n-----n--a,,,,/ˈmɹ̩d̪.ʋəŋ.gə/,मृद्व्-अङ्ग,0
302926,137728,मृद्वङ्गी,n,n-----f--ī,,,,/ˈmɹ̩d̪.ʋəŋ.giː/,मृद्व्-अङ्गी,0
302927,137710,मृद्वी,n,n-----f--ī,,,,/ˈmɹ̩d̪.ʋiː/,मृद्वी,0
302928,137170,मृद्वीका,n,n-----f--ā,,,,/ˈmɹ̩d̪.ʋiː.kɑː/,मृद्वीका,0
302929,137107,मृदा,n,n-----f--ā,,,,/mɹ̩.d̪ɑː/,मृदा,0
302930,137100,मृदाह्वया,n,n-----f--ā,,,,/mɹ̩.d̪ɑːɦ.ʋə.jɑː/,मृ॔द्-आह्वया,0
302931,137108,मृदाकर,n,n-----m--a,,,,/mɹ̩.d̪ɑː.kə.ɹə/,मृदा-कर,0
302932,,मृदूअस्,v,v----a--2-,,,,/mɹ̩.d̪uːəs/,मृदू-अस्,0
302933,137168,मृदूभाव,n,n-----m--a,,,,/mɹ̩.d̪uː.bʱɑː.ʋə/,मृदू-भाव,0
302934,202125,मृदूभू,v,v----a--1-,,,,/mɹ̩.d̪uː.bʱuː/,मृदू-भू,0
302935,137163,मृदूच्च,n,n-----n--a,,,,/mɹ̩.d̪uːt͡ɕ.t͡ɕə/,मृदूच्च,0
302936,137164,मृदूत्पल,n,n-----n--a,,,,/mɹ̩.d̪uːt̪.pə.lə/,मृदूत्पल,0
302937,,मृग्,v,v----a--4- v----d--0- v----a--0-,,,,/mɹ̩g/,मृग्,0
302938,137625,मृग,n,n-----m--a,,,,/mɹ̩.gə/,मृग॔,0
302939,136925,मृगबन्धिनी,n,n-----f--ī,,,,/mɹ̩.gə.bən.d̪ʰi.niː/,मृग॔-बन्धिनी,0
302940,136927,मृगभक्षा,n,n-----f--ā,,,,/mɹ̩.gə.ˈbʱək.ʂɑː/,मृग॔-भक्षा,0
302941,136928,मृगभोजनी,n,n-----f--ī,,,,/mɹ̩.gə.bʱoː.d͡ʑə.niː/,मृग॔-भोजनी,0
302942,136926,मृगबालक,n,n-----m--a,,,,/mɹ̩.gə.bɑː.lə.kə/,मृग॔-बालक,0
302943,136735,मृगचैटक,n,n-----m--a,,,,/mɹ̩.gə.t͡ɕɑːi.ʈə.kə/,मृग॔-चैटक,0
302944,136730,मृगचक्र,n,n-----n--a,,,,/mɹ̩.gə.ˈt͡ɕək.ɹə/,मृग॔-चक्र,0
302945,136731,मृगचर्मीय,n,n-----m--a,,,,/mɹ̩.gə.ˈt͡ɕəɹ.miː.jə/,मृग॔-चर्मीय,0
302946,136732,मृगचर्या,n,n-----f--ā,,,,/mɹ̩.gə.ˈt͡ɕəɹ.jɑː/,मृग॔-चर्या,0
302947,136734,मृगचिर्भिटा,n,n-----f--ā,,,,/mɹ̩.gə.ˈt͡ɕiɹ.bʱi.ʈɑː/,मृग॔-चिर्भिटा,0
