,340894
1147648,\,340895,340955
1147649,/,340955,340895
1147650,\,462583,340955
1147651,/,340955,462583
1147652,\,340896,340955
1147653,/,340955,340896
1147654,\,340899,340955
1147655,/,340955,340899
1147656,\,340898,340955
1147657,/,340955,340898
1147658,\,340902,340955
1147659,/,340955,340902
1147660,\,340904,340955
1147661,/,340955,340904
1147662,\,340903,340955
1147663,/,340955,340903
1147664,\,340901,340955
1147665,/,340955,340901
1147666,\,340906,340955
1147667,/,340955,340906
1147668,\,340905,340955
1147669,/,340955,340905
1147670,\,340863,462577
1147671,/,462577,340863
1147672,\,340870,340869
1147673,/,340869,340870
1147674,\,340872,340869
1147675,/,340869,340872
1147676,\,340873,340872
1147677,/,340872,340873
1147682,\,340909,340783
1147683,/,340783,340909
1147684,\,340941,340909
1147685,/,340909,340941
1147686,\,340908,340909
1147687,/,340909,340908
1147688,\,340938,340783
1147689,/,340783,340938
1147690,\,340939,340938
1147691,/,340938,340939
1147692,\,340937,340783
1147693,/,340783,340937
1147694,\,340941,340783
1147695,/,340783,340941
1147696,\,340943,340783
1147697,/,340783,340943
1147698,\,340944,340783
1147699,/,340783,340944
1147700,\,340940,340783
1147701,/,340783,340940
1147702,\,340923,340918
1147703,/,340918,340923
1147704,\,340919,340918
1147705,/,340918,340919
1147706,\,340920,340919
1147707,/,340919,340920
1147708,\,340946,340945
1147709,/,340945,340946
1147710,\,340993,340992
1147711,/,340992,340993
1147712,\,340997,340992
1147713,/,340992,340997
1147714,\,341006,340992
1147715,/,340992,341006
1147716,\,340999,340992
1147717,/,340992,340999
1147718,\,341000,340999
1147719,/,340999,341000
1147720,\,340995,340994
1147721,/,340994,340995
1147722,\,340996,340995
1147723,/,340995,340996
1147724,\,340998,340994
1147725,/,340994,340998
1147726,\,341007,340994
1147727,/,340994,341007
1147728,\,462585,340994
1147729,/,340994,462585
1147730,\,341001,340994
1147731,/,340994,341001
1147732,\,341002,340994
1147733,/,340994,341002
1147734,\,341004,340994
1147735,/,340994,341004
1147736,\,341003,340994
1147737,/,340994,341003
1147738,\,341005,340994
1147739,/,340994,341005
1147742,\,338268,338269
1147743,/,338269,338268
1147744,\,338270,338271
1147745,/,338271,338270
1147746,\,338279,338271
1147747,/,338271,338279
1147748,\,462743,338271
1147749,/,338271,462743
1147750,\,343874,338271
1147751,/,338271,343874
1147752,\,343875,338271
1147753,/,338271,343875
1147754,\,343877,338271
1147755,/,338271,343877
1147756,\,343878,338271
1147757,/,338271,343878
1147758,\,343880,338271
1147759,/,338271,343880
1147760,\,343879,338271
1147761,/,338271,343879
1147762,\,462746,338271
1147763,/,338271,462746
1147764,\,343884,338271
1147765,/,338271,343884
1147766,\,343885,338271
1147767,/,338271,343885
1147768,\,340914,338271
1147769,/,338271,340914
1147770,\,340925,340914
1147771,/,340914,340925
1147772,\,340913,340914
1147773,/,340914,340913
1147776,\,340921,338271
1147777,/,338271,340921
1147778,\,340922,338271
1147779,/,338271,340922
1147780,\,340925,338271
1147781,/,338271,340925
1147782,\,340931,338271
1147783,/,338271,340931
1147784,\,340929,338271
1147785,/,338271,340929
1147786,\,340935,338271
1147787,/,338271,340935
1147788,\,340928,338271
1147789,/,338271,340928
1147790,\,340932,338271
1147791,/,338271,340932
1147792,\,340927,338271
1147793,/,338271,340927
1147794,\,340933,338271
1147795,/,338271,340933
1147796,\,340936,338271
1147797,/,338271,340936
1147798,\,340934,338271
1147799,/,338271,340934
1147800,\,340930,338271
1147801,/,338271,340930
1147802,\,340924,338271
1147803,/,338271,340924
1147804,\,340910,338271
1147805,/,338271,340910
1147806,\,340911,338271
1147807,/,338271,340911
1147808,\,340912,338271
1147809,/,338271,340912
1147810,\,338277,338271
1147811,/,338271,338277
1147812,\,338278,338271
1147813,/,338271,338278
1147816,\,338284,338271
1147817,/,338271,338284
1147818,\,338288,338271
1147819,/,338271,338288
1147820,\,338287,338288
1147821,/,338288,338287
1147850,\,338315,338288
1147851,/,338288,338315
1147852,\,338291,338288
1147853,/,338288,338291
1147854,\,338302,338271
1147855,/,338271,338302
1147856,\,338303,338271
1147857,/,338271,338303
1147858,\,338306,338271
1147859,/,338271,338306
1147860,\,338305,338271
1147861,/,338271,338305
1147862,\,338307,338271
1147863,/,338271,338307
1147864,\,338313,338271
1147865,/,338271,338313
1147866,\,338314,338271
1147867,/,338271,338314
1147868,\,338304,338271
1147869,/,338271,338304
1147870,\,338308,338271
1147871,/,338271,338308
1147872,\,338309,338271
1147873,/,338271,338309
1147874,\,338312,338271
1147875,/,338271,338312
1147876,\,338319,338317
1147877,/,338317,338319
1147878,\,338283,338282
1147879,/,338282,338283
1147880,\,338273,338272
1147881,/,338272,338273
1147882,\,341472,341469
1147883,/,341469,341472
1147884,\,341475,341469
1147885,/,341469,341475
1147886,\,341476,341469
1147887,/,341469,341476
1147888,\,341282,341274
1147889,/,341274,341282
1147890,\,341279,341274
1147891,/,341274,341279
1147892,\,341292,341274
1147893,/,341274,341292
1147894,\,341293,341274
1147895,/,341274,341293
