95015,पितरिशूर,n,n-----m--a,,,,/pi.t̪ə.ɹi.ɕuː.ɹə/,पितरि-शूर,0
322322,169487,पोतवाह,n,n-----m--a,,,,/poː.t̪ə.ʋɑː.ɦə/,पोत-वाह,0
322323,150264,पोतवाहक,n,n-----m--a,,,,/poː.t̪ə.ʋɑː.ɦə.kə/,पोत-वाहक,0
322324,150265,पोतशालि,n,n-----m--i,,,,/poː.t̪ə.ɕɑː.li/,पोत-शालि,0
322325,150288,पोथ,n,n-----m--a,,,,/poː.t̪ʰə/,पोथ,0
322326,,पोथकि,n,n-----f--i,,,,/poː.t̪ʰə.ki/,पोथकि,0
322327,150289,पोथकी,n,n-----f--ī,,,,/poː.t̪ʰə.kiː/,पोथकी,0
322328,143655,पोथित,a,ap----a--a,,,,/poː.t̪ʰi.t̪ə/,पोथित,0
322331,150985,पोतिका,n,n-----f--ā,,,,/poː.t̪i.kɑː/,पोतिका,0
322333,150274,पोतिमत्सक,n,n-----m--a,,,,/poː.t̪i.ˈmət̪.sə.kə/,पोतिमत्सक,0
322334,150279,पोत्र,n,n-----n--a,,,,/poːt̪.ɹə/,पोत्र॔,0
322335,150280,पोत्रमण्डल,n,n-----n--a,,,,/poːt̪.ɹə.ˈməɳ.ɖə.lə/,पोत्र॔-मण्डल,0
322336,150282,पोत्रिदंष्ट्राज,n,n-----m--a,,,,/poːt̪.ɹi.ˈd̪ə̃ʂʈɹɑː.d͡ʑə/,पोत्रि-दंष्ट्रा-ज,0
322337,150284,पोत्रिन्,n,n-----m--n,,,,/poːt̪.ɹin/,पोत्रिन्,0
322338,150283,पोत्रिरथा,n,n-----f--ā,,,,/poːt̪.ɹi.ɹə.t̪ʰɑː/,पोत्रि-रथा,0
322339,150281,पोत्रायुध,n,n-----m--a,,,,/poːt̪.ɹɑː.ju.d̪ʰə/,पोत्रायुध,0
322340,150992,पोत्री,n,n-----f--ī,,,,/poːt̪.ɹiː/,पोत्री,0
322341,150992,पोत्री,n,n-----f--ī,,,,/poːt̪.ɹiː/,पो॔त्री,0
322342,150286,पोत्रीय,a,ap----a--a,,,,/poːt̪.ɹiː.jə/,पोत्रीय,0
322343,150275,पोतु,n,n-----m--u,,,,/poː.t̪u/,पोतु,0
322344,150269,पोत्या,n,n-----f--ā,,,,/poːt̪.jɑː/,पोत्या,0
322345,150268,पोताभ,n,n-----m--a,,,,/poː.t̪ɑː.bʱə/,पोताभ,0
322346,150266,पोताच्छादन,n,n-----n--a,,,,/poː.t̪ɑːt͡ɕ.t͡ɕʰɑː.d̪ə.nə/,पोताच्छादन,0
322347,150267,पोताधान,n,n-----n--a,,,,/poː.t̪ɑː.d̪ʰɑː.nə/,पोताधान,0
322348,150272,पोताल,n,n-----m--a,,,,/poː.t̪ɑː.lə/,पोताल,0
322349,150273,पोतास,n,n-----m--a,,,,/poː.t̪ɑː.sə/,पोतास,0
322351,150991,पोतृ,n,n-----m--r,,,,/poː.t̪ɹ̩/,पो॔तृ,0
322352,,पोतृप्रयोग,n,n-----m--a,,,,/poː.ˈt̪ɹ̩p.ɹə.joː.gə/,पो॔-तृ-प्रयोग,0
322353,150277,पोतृत्वप्रयोग,n,n-----m--a,,,,/poː.ˈt̪ɹ̩t̪.ˈʋəp.ɹə.joː.gə/,पो॔तृ-त्व-प्रयोग,0
322354,150293,पोविय,n,n-----m--a,,,,/poː.ʋi.jə/,पोविय,0
322355,150291,पोया,n,n-----f--ā,,,,/poː.jɑː/,पोया,0
322356,150993,पोयालदह,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=पोयालदह",/poː.jɑː.lə.d̪ə.ɦə/,पोयालदह,0
322357,,पोञ्छ्,v,v----d--1-,,,,/poːɲt͡ɕʰ/,पोञ्छ्,0
322358,150256,पोडु,n,n-----m--u,,,,/poː.ɖu/,पोडु,0
322359,150294,पोष,n,n-----m--a,,,,/poː.ʂə/,पो॔ष,0
322360,150305,पोषध,n,n-----m--a,,,,/poː.ʂə.d̪ʰə/,पोषध,0
322361,150307,पोषधेय,n,n-----n--a,,,,/poː.ʂə.d̪ʰeː.jə/,पोषधेय,0
322362,150306,पोषधिक,a,ap----a--a,,,,/poː.ʂə.d̪ʰi.kə/,पोषधिक,0
322363,151004,पोषधोत्सव,n,n-----m--a,,,,/poː.ʂə.d̪ʰoːt̪.sə.ʋə/,पोषधोत्सव,0
322364,,पोषधोषित,a,ap----a--a,,,,/poː.ʂə.d̪ʰoː.ʂi.t̪ə/,पोषधोषित,0
322365,150996,पोषक,a,ap----a--a,,ap----f--ā=>िका,,/poː.ʂə.kə/,पो॔षक,0
322366,150296,पोषम्,r,rp--------,,,,/poː.ʂəm/,पो॔षम्,0
322367,151000,पोषयित्नु,n,n-----m--u,,,,/poː.ʂə.ˈjit̪.nu/,पोषयित्नु॔,0
322368,150999,पोषयित्नु,a,ap----a--u,,,,/poː.ʂə.ˈjit̪.nu/,पोषयित्नु॔,0
322369,150297,पोषयितृ,a,ap----a--r,,,,/poː.ʂə.ji.t̪ɹ̩/,पोषयितृ,0
322370,150298,पोषयिष्णु,a,ap----a--u,,,,/poː.ʂə.ˈjiʂ.ɳu/,पोषयिष्णु॔,0
322371,150997,पोषण,a,ap----a--a,,,,/poː.ʂə.ɳə/,पो॔षण,0
322372,150998,पोषण,n,n-----n--a,,,,/poː.ʂə.ɳə/,पो॔षण,0
322373,150295,पोषणीय,a,ap----a--a,,,,/poː.ʂə.ɳiː.jə/,पो॔षणीय,0
322374,150302,पोषिन्,a,ap----a--n,,,,/poː.ʂin/,पोषिन्,0
322375,,पोषित,a,ap----a--a,,,,/poː.ʂi.t̪ə/,पोषित,0
322376,,पोषितव्य,a,ap----a--a,,,,/poː.ʂi.ˈt̪əʋ.jə/,पोषितव्य,0
322377,150301,पोषितृ,a,ap----a--r,,,,/poː.ʂi.t̪ɹ̩/,पोषितृ,0
322378,150303,पोषुक,a,ap----a--a,,,,/poː.ʂu.kə/,पोषुक,0
322379,,पोष्य,a,ap----a--a,,,,/poːʂ.jə/,पो॔ष्य,0
322380,,पोष्यपुत्र,n,n-----m--a,,,,/poːʂ.jə.ˈput̪.ɹə/,पो॔ष्य-पुत्र,0
322381,,पोष्यपुत्रक,n,n-----m--a,,,,/poːʂ.jə.ˈput̪.ɹə.kə/,पो॔ष्य-पुत्रक,0
322382,,पोष्यपुत्रकरण,n,n-----n--a,,,,/poːʂ.jə.ˈput̪.ɹə.kə.ɹə.ɳə/,पो॔ष्य-पुत्र-करण,0
322383,,पोष्यवर्ग,n,n-----m--a,,,,/poːʂ.jə.ˈʋəɹ.gə/,पो॔ष्य-वर्ग,0
322384,150304,पोष्यावत्,a,ap----a--c,,,,/poːʂ.jɑː.ʋət̪/,पो॔ष्या॔-वत्,0
322385,151002,पोष्टृ,n,n-----m--r,,,,/poːʂ.ʈɹ̩/,पोष्टृ,0
322386,,पोष्टृ,a,ap----a--r,,,,/poːʂ.ʈɹ̩/,पोष्टृ,0
322387,,पोष्टृवर,a,ap----a--a,,,,/poːʂ.ʈɹ̩.ʋə.ɹə/,पोष्टृ-वर,0
322388,150974,पोट,n,n-----m--a,,,,/poː.ʈə/,पोट,0
322389,150253,पोटगल,n,n-----m--a,,,,/poː.ʈə.gə.lə/,पोट-गल,0
322390,150977,पोटक,n,n-----m--a,,,,/poː.ʈə.kə/,पोटक,0
322391,,पोटल,n,n-----m--a,,,,/poː.ʈə.lə/,पोटल,0
322392,,पोटलक,n,n-----m--a,,,,/poː.ʈə.lə.kə/,पोटलक,0
322393,173054,पोटलिका,n,n-----f--ā,,,,/poː.ʈə.li.kɑː/,पोटलिका,0
322394,150254,पोटिक,n,n-----m--a,,,,/poː.ʈi.kə/,पोटिक,0
322395,150978,पोटिका,n,n-----f--ā,,,,/poː.ʈi.kɑː/,पोटिका,0
322396,150975,पोटा,n,n-----f--ā,,,,/poː.ʈɑː/,पोटा,0
322400,150976,पोटी,n,n-----f--ī,,,,/poː.ʈiː/,पोटी,0
322401,150980,पोट्टल,n,n-----n--a,,,,/poːʈ.ʈə.lə/,पोट्टल,0
322402,150981,पोट्टलक,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=पोट्टलक",/poːʈ.ʈə.lə.kə/,पोट्टलक,0
322403,,पोट्टली,n,n-----f--ī,,,,/poːʈ.ʈə.liː/,पोट्टली,0
322404,,पोट्टलीकृ,v,v----a--8-,,,,/poːʈ.ʈə.liː.kɹ̩/,पोट्टली-कृ,0
322405,150255,पोट्टिल,n,n-----m--a,,,,/poːʈ.ʈi.lə/,पोट्टिल,0
322406,216277,प्र,r,rp--------,,,,/p.ɹə/,प्र॔,0
322407,,प्र,a,ap----a--a,,,,/p.ɹə/,प्र,0
322408,140704,प्रबभ्र,n,n-----m--a,,,,/p.ɹə.ˈbəbʱ.ɹə/,प्रबभ्र,0
322409,,प्रबद्ध,a,ap----a--a,,,,/p.ɹə.ˈbəd̪.d̪ʰə/,प्र-बद्ध,0
322410,,प्रबद्धमूत्र,a,ap----a--a,,,,/p.ɹə.ˈbəd̪.d̪ʰə.muːt̪.ɹə/,प्र-बद्ध-मूत्र,0
322411,,प्रबद्धविलून,n,n-----n--a,,,n-----f--ā=प्रबद्धविलूनआ n-----f--ī=प्रबद्धविलूनई,/p.ɹə.ˈbəd̪.d̪ʰə.ʋi.luː.nə/,प्र-बद्ध-विलून,0
322415,140920,प्रबल,a,ap----a--a,,ap----f--ā=>ा,,/p.ɹə.bə.lə/,प्र-बल,0
322417,140921,प्रबल,n,n-----m--a,,,,/p.ɹə.bə.lə/,प्र-बल,0
322418,,प्रबलम्,r,rp--------,,,,/p.ɹə.bə.ləm/,प्र-बल॔म्,0
322419,140715,प्रबलनता,n,n-----f--ā,,,,/p.ɹə.bə.lə.nə.t̪ɑː/,प्र-बलन-ता,0
322420,140711,प्रबलनिर्णयव्याख्या,n,n-----f--ā,,,,/p.ɹə.bə.lə.ˈniɹ.ɳə.ˈjəʋ.jɑːkʰ.jɑː/,प्र-बल-निर्णय-व्याख्या,0
322421,,प्रबलरुदित,n,n-----n--a,,,,/p.ɹə.bə.lə.ɹu.d̪i.t̪ə/,प्र-बल-रुदित,0
322422,140707,प्रबलतर,a,ap----a--a,,,,/p.ɹə.bə.lə.t̪ə.ɹə/,प्र-बल-तर,0
322423,140710,प्रबलतोय,a,ap----a--a,,,,/p.ɹə.bə.lə.t̪oː.jə/,प्र-बल-तोय,0
322424,140709,प्रबलत्व,n,n-----n--a,,,,/p.ɹə.bə.ˈlət̪.ʋə/,प्र-बल-त्व,0
322425,,प्रबलता,n,n-----f--ā,,,,/p.ɹə.bə.lə.t̪ɑː/,प्र-बल-ता,0
322426,140713,प्रबलवत्,a,ap----a--c,,,,/p.ɹə.bə.lə.ʋət̪/,प्र-बल-वत्,0
322427,140714,प्रबलविरसा,n,n-----f--ā,,,,/p.ɹə.bə.lə.ʋi.ɹə.sɑː/,प्र-बल-विरसा,0
322429,140922,प्रबला,n,n-----f--ā,,,,/p.ɹə.bə.lɑː/,प्र-बला,0
322430,140716,प्रबली,n,n-----f--ī,,,,/p.ɹə.bə.liː/,प्र-बली,0
322431,140716,प्रबली,n,n-----f--ī,,,,/p.ɹə.bə.liː/,प्रबली,0
322432,,प्रबलीभू,v,v----a--1-,,,,/p.ɹə.bə.liː.bʱuː/,प्रबली-भू,0
322433,140918,प्रबन्द्धृ,n,n-----m--r,,,,/p.ɹə.bənd̪.d̪ʰɹ̩/,प्र-बन्द्धृ,0
322434,,प्रबन्द्धृता,n,n-----f--ā,,,,/p.ɹə.bənd̪.d̪ʰɹ̩.t̪ɑː/,प्र-बन्द्धृ-ता,0
322435,,प्रबन्ध्,v,v----a--9- v----d--9- v----a--1- v----d--1- v----a--4- v----d--4-,,,,/p.ɹə.bənd̪ʰ/,प्र-बन्ध्,0
322436,140919,प्रबन्ध,n,n-----m--a,,,,/p.ɹə.bən.d̪ʰə/,प्र-बन्ध,0
322437,,प्रबन्धचिन्तामणि,n,n-----m--i,,,,/p.ɹə.bən.d̪ʰə.t͡ɕin.t̪ɑː.mə.ɳi/,प्रबन्ध-चिन्तामणि,0
322438,,प्रबन्धकल्पना,n,n-----f--ā,,,,/p.ɹə.bən.d̪ʰə.ˈkəl.pə.nɑː/,प्र-बन्ध-कल्पना,0
322439,,प्रबन्धकोश,n,n-----m--a,,,,/p.ɹə.bən.d̪ʰə.koː.ɕə/,प्रबन्ध-कोश,0
322440,140703,प्रबन्धन,n,n-----n--a,,,,/p.ɹə.bən.d̪ʰə.nə/,प्र-बन्धन,0
322441,,प्रबन्धवर्ष,n,n-----m--a,,,,/p.ɹə.bən.d̪ʰə.ˈʋəɹ.ʂə/,प्र-बन्ध-वर्ष,0
322442,,प्रबन्धाध्याय,n,n-----m--a,,,,/p.ɹə.bən.d̪ʰɑːd̪ʰ.jɑː.jə/,प्र-बन्धाध्याय,0
322443,,प्रबन्धार्थ,n,n-----m--a,,,,/p.ɹə.bən.d̪ʰɑːɹ.t̪ʰə/,प्र-बन्धार्थ,0
322444,,प्रबर्ह,n,n-----m--a,,,,/p.ɹə.ˈbəɹ.ɦə/,प्र-बर्ह,0
322445,140706,प्रबर्हण,n,n-----n--a,,,,/p.ɹə.ˈbəɹ.ɦə.ɳə/,प्र-बर्हण,0
322446,140944,प्रभद्र,n,n-----n--a,,,,/p.ɹə.ˈbʱəd̪.ɹə/,प्र-भद्र,0
322447,140947,प्रभद्रक,n,n-----n--a,,,,/p.ɹə.ˈbʱəd̪.ɹə.kə/,प्र-भद्रक,0
322448,140946,प्रभद्रक,a,ap----a--a,,,,/p.ɹə.ˈbʱəd̪.ɹə.kə/,प्र-भद्रक,0
322450,140945,प्रभद्रा,n,n-----f--ā,,,,/p.ɹə.ˈbʱəd̪.ɹɑː/,प्र-भद्रा,0
322451,,प्रभग्न,a,ap----a--a,,,,/p.ɹə.ˈbʱəg.nə/,प्र-भग्न,0
322452,,प्रभज्,v,v----a--1- v----d--1-,,,,/p.ɹə.bʱəd͡ʑ/,प्र-भज्,0
322453,140991,प्रभर्मन्,n,n-----n--n,,,,/p.ɹə.ˈbʱəɹ.mən/,प्र॔-भर्मन्,0
322454,,प्रभर्तव्य,a,ap----a--a,,,,/p.ɹə.ˈbʱəɹ.ˈt̪əʋ.jə/,प्र-भर्तव्य,0
322455,140990,प्रभर्तृ,n,n-----m--r,,,,/p.ɹə.ˈbʱəɹ.t̪ɹ̩/,प्र-भर्तृ,0
322456,140972,प्रभव,n,n-----m--a,,,n-----f--ā=प्रभवआ,/p.ɹə.bʱə.ʋə/,प्र-भव॔,0
322462,140971,प्रभव,a,ap----a--a,,,,/p.ɹə.bʱə.ʋə/,प्र-भव॔,0
322463,140764,प्रभवन,n,n-----n--a,,,,/p.ɹə.bʱə.ʋə.nə/,प्र-भवन,0
322464,,प्रभवनीय,a,ap----a--a,,,,/p.ɹə.bʱə.ʋə.niː.jə/,प्र-भवनीय,0
322465,,प्रभवप्रभु,n,n-----m--u,,,,/p.ɹə.bʱə.ˈʋəp.ɹə.bʱu/,प्र-भव॔-प्रभु,0
322466,,प्रभवस्वामिन्,n,n-----m--n,,,,/p.ɹə.bʱə.ˈʋəs.ʋɑː.min/,प्र-भव॔-स्वामिन्,0
322467,,प्रभवत्,a,ap----a--c,,ap----f--ī=>न्ती,,/p.ɹə.bʱə.ʋət̪/,प्र-भवत्,0
322468,140975,प्रभवितृ,n,n-----m--r,,,,/p.ɹə.bʱə.ʋi.t̪ɹ̩/,प्र-भवितृ,0
322469,140974,प्रभवितृ,a,ap----a--r,,,,/p.ɹə.bʱə.ʋi.t̪ɹ̩/,प्र-भवितृ,0
322470,140976,प्रभविष्णु,a,ap----a--u,,,,/p.ɹə.bʱə.ˈʋiʂ.ɳu/,प्र-भविष्णु,0
322471,,प्रभविष्णुता,n,n-----f--ā,,,,/p.ɹə.bʱə.ˈʋiʂ.ɳu.t̪ɑː/,प्र-भविष्णु-ता,0
322472,140766,प्रभव्य,a,ap----a--a,,,,/p.ɹə.ˈbʱəʋ.jə/,प्र-भव्य,0
322473,,प्रभञ्ज्,v,v----a--0-,,,,/p.ɹə.bʱəɲd͡ʑ/,प्र-भञ्ज्,0
322474,140943,प्रभञ्जन,n,n-----n--a,,,,/p.ɹə.bʱəɲ.d͡ʑə.nə/,प्र-भञ्जन,0
322477,,प्रभञ्जन,a,ap----a--a,,,,/p.ɹə.bʱəɲ.d͡ʑə.nə/,प्र-भञ्जन,0
322479,140942,प्रभञ्जन,n,n-----m--a,,,,/p.ɹə.bʱəɲ.d͡ʑə.nə/,प्र-भञ्जन,0
322480,140730,प्रभङ्ग,n,n-----m--a,,,,/p.ɹə.bʱəŋ.gə/,प्र-भङ्ग॔,0
322481,140731,प्रभङ्गिन्,a,ap----a--n,,,,/p.ɹə.bʱəŋ.gin/,प्र-भङ्गि॔न्,0
322482,140732,प्रभङ्गुर,a,ap----a--a,,,,/p.ɹə.bʱəŋ.gu.ɹə/,प्र-भङ्गुर,0
322483,140759,प्रभेद,n,n-----m--a,,,,/p.ɹə.bʱeː.d̪ə/,प्र-भेद,0
322484,140970,प्रभेदक,a,ap----a--a,,ap----f--ā=>िका,,/p.ɹə.bʱeː.d̪ə.kə/,प्र-भेदक,0
322485,140760,प्रभेदन,a,ap----a--a,,,,/p.ɹə.bʱeː.d̪ə.nə/,प्र-भेदन,0
322486,140743,प्रभेश्वरतीर्थ,n,n-----n--a,,,,/pɹəbʱeːɕʋəɹət̪iːɹt̪ʰə/,प्रभेश्वर-तीर्थ,0
322487,,प्रभिद्,a,ap----a--c,,,,/p.ɹə.bʱid̪/,प्र-भिद्,0
322488,,प्रभिद्,v,v----a--7- v----d--7- v----a--1-,,,,/p.ɹə.bʱid̪/,प्र-भिद्,0
322489,140969,प्रभिन्न,a,ap----a--a,,,,/p.ɹə.bʱin.nə/,प्र-भिन्न,0
322490,,प्रभिन्नकरट,a,ap----a--a,,,,/p.ɹə.bʱin.nə.kə.ɹə.ʈə/,प्र-भिन्न-करट,0
322491,,प्रभिन्नकरटामुख,a,ap----a--a,,,,/p.ɹə.bʱin.nə.kə.ɹə.ʈɑː.mu.kʰə/,प्र-भिन्न-करटा-मुख,0
322492,,प्रभिन्नविष्,a,ap----a--c,,,,/p.ɹə.bʱin.nə.ʋiʂ/,प्र-भिन्न-विष्,0
322493,,प्रभिन्नाञ्जन,n,n-----n--a,,,,/p.ɹə.bʱin.nɑːɲ.d͡ʑə.nə/,प्र-भिन्नाञ्जन,0
322494,,प्रभ्रम्,v,v----a--1- v----a--4-,,,,/p.ˈɹəbʱ.ɹəm/,प्र-भ्रम्,0
322495,,प्रभ्रंश्,v,v----d--1- v----a--1- v----a--4- v----d--4-,,,,/p.ˈɹəbʱ.ɹə̃ɕ/,प्र-भ्रंश्,0
322496,140775,प्रभ्रंशथु,n,n-----m--u,,,,/p.ˈɹəbʱ.ɹə.̃ɕə.t̪ʰu/,प्र-भ्रंशथु,0
322497,140777,प्रभ्रंशिन्,a,ap----a--n,,,,/p.ˈɹəbʱ.ɹə.̃ɕin/,प्र-भ्रंशिन्,0
322498,,प्रभ्रंशित,a,ap----a--a,,,,/p.ˈɹəbʱ.ɹə.̃ɕi.t̪ə/,प्र-भ्रंशित,0
322499,140778,प्रभ्रंशुक,a,ap----a--a,,ap----f--ā=>ा,,/p.ˈɹəbʱ.ɹə.̃ɕu.kə/,प्र-भ्रंशुक,0
322500,140993,प्रभ्रष्ट,a,ap----a--a,,,,/p.ˈɹəbʱ.ˈɹəʂ.ʈə/,प्र-भ्रष्ट,0
322501,140779,प्रभ्रष्टक,n,n-----n--a,,,,/p.ˈɹəbʱ.ˈɹəʂ.ʈə.kə/,प्र-भ्रष्टक,0
322502,,प्रभ्रष्टशील,a,ap----a--a,,ap----f--ā=>ा,,/p.ˈɹəbʱ.ˈɹəʂ.ʈə.ɕiː.lə/,प्र-भ्रष्ट-शील,0
322503,140780,प्रभ्राज्,a,ap----a--c,,,,/p.ˈɹəbʱ.ɹɑːd͡ʑ/,प्र-भ्राज्,0
322504,,प्रभ्राज्,v,v----d--1- v----a--1-,,,,/p.ˈɹəbʱ.ɹɑːd͡ʑ/,प्र-भ्राज्,0
322506,140982,प्रभु,n,n-----m--u,,,,/p.ɹə.bʱu/,प्र-भु॔,0
322516,,प्रभु,n,n-----n--u,,,n-----f--ī=प्रभुवी,/p.ɹə.bʱu/,प्र-भु॔,0
322517,,प्रभुभक्त,n,n-----m--a,,,,/p.ɹə.bʱu.ˈbʱək.t̪ə/,प्र-भु॔-भक्त,0
322518,,प्रभुभक्त,a,ap----a--a,,,,/p.ɹə.bʱu.ˈbʱək.t̪ə/,प्र-भु॔-भक्त,0
322519,,प्रभुभक्ति,n,n-----f--i,,,,/p.ɹə.bʱu.ˈbʱək.t̪i/,प्र-भु॔-भक्ति,0
322520,169503,प्रभुदेव,n,n-----m--a,,,,/p.ɹə.bʱu.d̪eː.ʋə/,प्र-भु॔-देव,0
322521,,प्रभुदेवी,n,n-----f--ī,,,,/p.ɹə.bʱu.d̪eː.ʋiː/,प्र-भु॔-देवी,0
322522,,प्रभुग्न,a,ap----a--a,,,,/p.ɹə.ˈbʱug.nə/,प्र-भुग्न,0
322523,,प्रभुज्,v,v----a--7- v----d--7- v----a--6- v----d--6-,,,,/p.ɹə.bʱud͡ʑ/,प्र-भुज्,0
322525,,प्रभुकथा,n,n-----f--ā,,,,/p.ɹə.bʱu.kə.t̪ʰɑː/,प्र-भु॔-कथा,0
322526,140763,प्रभुक्त,a,ap----a--a,,,,/p.ɹə.ˈbʱuk.t̪ə/,प्र-भुक्त,0
322527,,प्रभुलिङ्गचरित्र,n,n-----n--a,,,,/p.ɹə.bʱu.liŋ.gə.t͡ɕə.ˈɹit̪.ɹə/,प्र-भु॔-लिङ्ग-चरित्र,0
322528,,प्रभुलिङ्गलीला,n,n-----f--ā,,,,/p.ɹə.bʱu.liŋ.gə.liː.lɑː/,प्र-भु॔-लिङ्ग-लीला,0
322529,,प्रभुत्व,n,n-----n--a,,,,/p.ɹə.ˈbʱut̪.ʋə/,प्र-भु॔-त्व,0
322530,,प्रभुत्वबोधि,n,n-----f--i,,,,/p.ɹə.ˈbʱut̪.ʋə.boː.d̪ʰi/,प्र-भु॔-त्व-बोधि,0
322531,212734,प्रभुत्वाक्षेप,n,n-----m--a,,,,/p.ɹə.ˈbʱut̪.ʋɑːk.ʂeː.pə/,प्र-भु॔-त्वाक्षेप,0
322532,,प्रभुता,n,n-----f--ā,,,,/p.ɹə.bʱu.t̪ɑː/,प्र-भु॔-ता,0
322533,,प्रभुवंश,n,n-----n--a,,,,/p.ɹə.bʱu.ʋə.̃ɕə/,प्र-भु॔-वंश,0
322534,,प्रभुशब्दशेष,a,ap----a--a,,,,/p.ɹə.bʱu.ˈɕəb.d̪ə.ɕeː.ʂə/,प्र-भु॔-शब्द-शेष,0
322535,140983,प्रभ्वी,n,n-----f--ī,,,,/p.ˈɹəbʱ.ʋiː/,प्र-भ्वी,0
322536,162937,प्रभा,v,v----a--2-,,,,/p.ɹə.bʱɑː/,प्र-भा,0
322537,,प्रभा,n,n-----n--ā,,,n-----f--ā=प्रभाआ,/p.ɹə.bʱɑː/,प्रभा॔,0
322538,,प्रभाचन्द्र,n,n-----m--a,,,,/p.ɹə.bʱɑː.t͡ɕən.d̪ɹə/,प्रभाचन्द्र,0
322539,,प्रभाग,n,n-----m--a,,,,/p.ɹə.bʱɑː.gə/,प्र-भाग,0
322540,,प्रभागजाति,n,n-----f--i,,,,/p.ɹə.bʱɑː.gə.d͡ʑɑː.t̪i/,प्र-भाग-जाति,0
322541,,प्रभाज्,a,ap----a--c,,,,/p.ɹə.bʱɑːd͡ʑ/,प्र-भाज्,0
322542,140948,प्रभाकर,n,n-----m--a,,,,/p.ɹə.bʱɑː.kə.ɹə/,प्रभा॔-कर,0
322543,,प्रभाकरपरिच्छेद,n,n-----m--a,,,,/p.ɹə.bʱɑː.kə.ɹə.pə.ˈɹit͡ɕ.t͡ɕʰeː.d̪ə/,प्रभा॔-कर-परिच्छेद,0
322544,,प्रभाकरसिद्धि,n,n-----m--i,,,,/p.ɹə.bʱɑː.kə.ɹə.ˈsid̪.d̪ʰi/,प्रभा॔-कर-सिद्धि,0
322545,,प्रभाकरस्वामिन्,n,n-----m--n,,,,/p.ɹə.bʱɑː.kə.ˈɹəs.ʋɑː.min/,प्रभा॔-कर-स्वामिन्,0
322546,,प्रभाकरवर्धन,n,n-----m--a,,,,/p.ɹə.bʱɑː.kə.ɹə.ˈʋəɹ.d̪ʰə.nə/,प्रभा॔-कर-वर्धन,0
322547,,प्रभाकरवर्मन्,n,n-----m--n,,,,/p.ɹə.bʱɑː.kə.ɹə.ˈʋəɹ.mən/,प्रभा॔-कर-वर्मन्,0
322548,,प्रभाकराह्निक,n,n-----n--a,,,,/p.ɹə.bʱɑː.kə.ɹɑːɦ.ni.kə/,प्रभा॔-कराह्निक,0
322550,,प्रभाकराह्निकी,n,n-----f--ī,,,,/p.ɹə.bʱɑː.kə.ɹɑːɦ.ni.kiː/,प्रभा॔-कराह्निकी,0
323074,140879,प्रधी,n,n-----f--ī,,,,/p.ɹə.d̪ʰiː/,प्र-धी,0
322551,140734,प्रभाकीट,n,n-----m--a,,,,/p.ɹə.bʱɑː.kiː.ʈə/,प्रभा॔-कीट,0
322552,140741,प्रभालेपिन्,a,ap----a--n,,,,/p.ɹə.bʱɑː.leː.pin/,प्रभा॔-लेपिन्,0
322553,140954,प्रभालोचन,n,n-----n--a,,,,/p.ɹə.bʱɑː.loː.t͡ɕə.nə/,प्रभा॔लोचन,0
322554,,प्रभामय,a,ap----a--a,,ap----f--ī=>ी,,/p.ɹə.bʱɑː.mə.jə/,प्रभा॔-मय,0
322555,140953,प्रभामय,n,n-----m--a,,,,/p.ɹə.bʱɑː.mə.jə/,प्रभा॔-मय,0
322556,,प्रभामण्डल,n,n-----n--a,,,,/p.ɹə.bʱɑː.ˈməɳ.ɖə.lə/,प्रभा॔-मण्डल,0
322557,,प्रभामण्डलक,n,n-----n--a,,,,/p.ɹə.bʱɑː.ˈməɳ.ɖə.lə.kə/,प्रभा॔-मण्डल-क,0
322558,,प्रभामण्डलशोभिन्,a,ap----a--n,,,,/p.ɹə.bʱɑː.ˈməɳ.ɖə.lə.ɕoː.bʱin/,प्रभा॔-मण्डल-शोभिन्,0
322559,,प्रभामण्डलशोभिन्,n,n-----m--n,,,,/p.ɹə.bʱɑː.ˈməɳ.ɖə.lə.ɕoː.bʱin/,प्रभा॔-मण्डल-शोभिन्,0
322560,140749,प्रभान,n,n-----n--a,,,,/p.ɹə.bʱɑː.nə/,प्र-भान,0
322561,140950,प्रभानना,n,n-----f--ā,,,,/p.ɹə.bʱɑː.nə.nɑː/,प्रभा॔-नना,0
322562,140751,प्रभानु,n,n-----m--u,,,,/p.ɹə.bʱɑː.nu/,प्र-भानु,0
322563,140750,प्रभानीय,a,ap----a--a,,,,/p.ɹə.bʱɑː.niː.jə/,प्र-भानीय,0
322564,140737,प्रभापदशक्ति,n,n-----f--i,,,,/p.ɹə.bʱɑː.pə.d̪ə.ˈɕək.t̪i/,प्रभा॔-पद-शक्ति,0
322565,140738,प्रभापल्लवित,a,ap----a--a,,,,/p.ɹə.bʱɑː.ˈpəl.lə.ʋi.t̪ə/,प्रभा॔-पल्लवित,0
322566,140752,प्रभापन,n,n-----n--a,,,,/p.ɹə.bʱɑː.pə.nə/,प्र-भापन,0
