95015,पितरिशूर,n,n-----m--a,,,,/pi.t̪ə.ɹi.ɕuː.ɹə/,पितरि-शूर,0
321411,,पित्तशोफ,n,n-----m--a,,,,/ˈpit̪.t̪ə.ɕoː.pʰə/,पित्त॔-शोफ,0
321412,,पित्तशोणित,n,n-----n--a,,,,/ˈpit̪.t̪ə.ɕoː.ɳi.t̪ə/,पित्त॔-शोणित,0
321413,95073,पित्थ,n,n-----m--a,,,,/ˈpit̪.t̪ʰə/,पित्थ,0
321414,,पित्थक,n,n-----m--a,,,,/ˈpit̪.t̪ʰə.kə/,पित्थक,0
321415,,पित्तोदर,n,n-----n--a,,,,/ˈpit̪.t̪oː.d̪ə.ɹə/,पित्तोदर,0
321416,,पित्तोदरिन्,a,ap----a--n,,,,/ˈpit̪.t̪oː.d̪ə.ɹin/,पित्तोदरिन्,0
321417,,पित्तोपहत,a,ap----a--a,,,,/ˈpit̪.t̪oː.pə.ɦə.t̪ə/,पित्तोपहत,0
321418,,पित्तोपसृष्ट,a,ap----a--a,,,,/ˈpit̪.t̪oː.pə.ˈsɹ̩ʂ.ʈə/,पित्तोपसृष्ट,0
321419,,पित्ताभिष्यन्द,n,n-----m--a,,,,/ˈpit̪.t̪ɑː.ˈbʱiʂ.jən.d̪ə/,पित्ताभिष्यन्द,0
321420,95062,पित्तान्तकरस,n,n-----m--a,,,,/ˈpit̪.t̪ɑːn.t̪ə.kə.ɹə.sə/,पित्तान्त-करस,0
321421,95064,पित्तारि,n,n-----m--i,,,,/ˈpit̪.t̪ɑː.ɹi/,पित्तारि,0
321422,,पित्तास्र,n,n-----n--a,,,,/ˈpit̪.t̪ɑːs.ɹə/,पित्तास्र,0
321423,95061,पित्तातीसार,n,n-----m--a,,,,/ˈpit̪.t̪ɑː.t̪iː.sɑː.ɹə/,पित्तातीसार,0
321424,,पित्तातीसारिन्,a,ap----a--n,,,,/ˈpit̪.t̪ɑː.t̪iː.sɑː.ɹin/,पित्तातीसारिन्,0
321425,219204,पितु,n,n-----m--u,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'u'}=पितु",/pi.t̪u/,पितु॔,0
321426,94894,पितुभाज्,a,ap----a--c,,,,/pi.t̪u.bʱɑːd͡ʑ/,पितु॔-भा॔ज्,0
321427,94895,पितुभृत्,a,ap----a--c,,,,/pi.t̪u.bʱɹ̩t̪/,पितु॔-भृत्,0
321428,,पितुह्पुत्र,n,n-----m--a,,,,/pi.ˈt̪uh.ˈput̪.ɹə/,पितुः-पुत्र,0
321429,94893,पितुकृत्,a,ap----a--c,,,,/pi.t̪u.kɹ̩t̪/,पितु॔-कृ॔त्,0
321430,94896,पितुमत्,a,ap----a--c,,,,/pi.t̪u.mət̪/,पितु॔-म॔त्,0
321431,94898,पितुस्तोम,n,n-----m--a,,,,/pi.ˈt̪us.t̪oːmə/,पितु॔-स्तोम,0
321432,94897,पितुषणि,a,ap----a--i,,,,/pi.t̪u.ʂə.ɳi/,पितु॔-ष॔णि,0
321433,95017,पितामह,n,n-----m--a,,,,/pi.t̪ɑː.mə.ɦə/,पिता-मह॔,0
321434,198982,पितामहसरस्,n,n-----n-sa,,,,/pi.t̪ɑː.mə.ɦə.sə.ɹəs/,पिता-मह॔-सरस्,0
321435,,पितामहसंहिता,n,n-----f--ā,,,,/pi.t̪ɑː.mə.ɦə.ˈsə̃.ɦi.t̪ɑː/,पिता-मह॔-संहिता,0
321436,,पितामहस्मृति,n,n-----f--i,,,,/pi.t̪ɑː.mə.ˈɦəs.mɹ̩.t̪i/,पिता-मह॔-स्मृति,0
321437,95018,पितामही,n,n-----f--ī,,,,/pi.t̪ɑː.mə.ɦiː/,पिता-मही,0
321438,95016,पितापुत्र,n,n-----m--a,,,,/pi.t̪ɑː.ˈput̪.ɹə/,पिता-पुत्र॔,0
321439,,पितापुत्रसमागम,n,n-----m--a,,,,/pi.t̪ɑː.ˈput̪.ɹə.sə.mɑː.gə.mə/,पिता-पुत्र॔-समागम,0
321440,,पितापुत्रविरोध,n,n-----m--a,,,,/pi.t̪ɑː.ˈput̪.ɹə.ʋi.ɹoː.d̪ʰə/,पिता-पुत्र॔-विरोध,0
321441,,पितापुत्रीय,a,ap----a--a,,,,/pi.t̪ɑː.ˈput̪.ɹiː.jə/,पिता-पुत्रीय,0
321442,95019,पितासुमतिसंवाद,n,n-----m--a,,,,/pi.t̪ɑː.su.mə.t̪i.ˈsə̃.ʋɑː.d̪ə/,पिता-सुमति-संवाद,0
321445,94899,पितृ,n,n-----m--r,,,,/pi.t̪ɹ̩/,पितृ॔,0
321449,,पितृबन्धु,n,n-----n--u,,,,/pi.t̪ɹ̩.bən.d̪ʰu/,पितृ॔-बन्धु,0
321450,,पितृबन्धु,n,n-----m--u,,,,/pi.t̪ɹ̩.bən.d̪ʰu/,पितृ॔-बन्धु,0
321451,,पितृभक्त,a,ap----a--a,,,,/pi.t̪ɹ̩.ˈbʱək.t̪ə/,पितृ॔-भक्त,0
321452,94960,पितृभक्ति,n,n-----f--i,,,,/pi.t̪ɹ̩.ˈbʱək.t̪i/,पितृ॔-भक्ति,0
321453,,पितृभक्तितरंगिणी,n,n-----f--ī,,,,/pi.t̪ɹ̩.ˈbʱək.t̪i.t̪ə.ɹəŋ.gi.ɳiː/,पितृ॔-भक्ति-तरंगिणी,0
321454,,पितृभोगीण,a,ap----a--a,,,,/pi.t̪ɹ̩.bʱoː.giː.ɳə/,पितृ॔-भोगीण,0
321455,,पितृभोजन,n,n-----n--a,,,,/pi.t̪ɹ̩.bʱoː.d͡ʑə.nə/,पितृ॔-भोजन,0
321456,94964,पितृभोजन,n,n-----m--a,,,,/pi.t̪ɹ̩.bʱoː.d͡ʑə.nə/,पितृ॔-भोजन,0
321457,,पितृभ्रातृ,n,n-----m--r,,,,/pi.ˈt̪ɹ̩bʱ.ɹɑː.t̪ɹ̩/,पितृ॔-भ्रातृ,0
321458,94961,पितृभूति,n,n-----m--i,,,,/pi.t̪ɹ̩.bʱuː.t̪i/,पितृ॔-भूति,0
321459,,पितृबान्धव,n,n-----m--a,,,,/pi.t̪ɹ̩.bɑːn.d̪ʰə.ʋə/,पितृ॔-बान्धव,0
321460,94917,पितृचेट,n,n-----m--a,,,,/pi.t̪ɹ̩.t͡ɕeː.ʈə/,पितृ॔-चेट,0
321461,94937,पितृदैवत,n,n-----n--a,,,,/pi.t̪ɹ̩.d̪ɑːi.ʋə.t̪ə/,पितृ॔-दैवत,0
321462,94936,पितृदैवत,a,ap----a--a,,ap----f--ī=>ी,,/pi.t̪ɹ̩.d̪ɑːi.ʋə.t̪ə/,पितृ॔-दैवत,0
321464,94938,पितृदैवत्य,n,n-----n--a,,,,/pi.t̪ɹ̩.d̪ɑːi.ˈʋət̪.jə/,पितृ॔-दैवत्य,0
321465,,पितृदत्त,a,ap----a--a,,,,/pi.t̪ɹ̩.ˈd̪ət̪.t̪ə/,पितृ॔-दत्त,0
321466,94926,पितृदयिता,n,n-----f--ā,,,,/pi.t̪ɹ̩.d̪ə.ji.t̪ɑː/,पितृ॔-दयिता,0
321468,,पितृदेव,a,ap----a--a,,,,/pi.t̪ɹ̩.d̪eː.ʋə/,पितृ॔-देव,0
321469,94931,पितृदेव,n,n-----m--a,,,,/pi.t̪ɹ̩.d̪eː.ʋə/,पितृ॔-देव,0
321470,,पितृदेवत,a,ap----a--a,,ap----f--ā=>ा,,/pi.t̪ɹ̩.d̪eː.ʋə.t̪ə/,पितृ॔-देवत,0
321471,,पितृदेवत्य,a,ap----a--a,,,,/pi.t̪ɹ̩.d̪eː.ˈʋət̪.jə/,पितृ॔-देवत्य॔,0
321472,,पितृदेवत्य,n,n-----n--a,,,,/pi.t̪ɹ̩.d̪eː.ˈʋət̪.jə/,पितृ॔-देवत्य॔,0
321473,,पितृदेवता,n,n-----f--ā,,,,/pi.t̪ɹ̩.d̪eː.ʋə.t̪ɑː/,पितृ॔-देवता,0
321474,94930,पितृदिन,n,n-----n--a,,,,/pi.t̪ɹ̩.d̪i.nə/,पितृ॔-दिन,0
321475,,पितृद्रव्य,n,n-----n--a,,,,/pi.ˈt̪ɹ̩d̪.ˈɹəʋ.jə/,पितृ॔-द्रव्य,0
321476,,पितृद्रोहिन्,a,ap----a--n,,,,/pi.ˈt̪ɹ̩d̪.ɹoː.ɦin/,पितृ॔-द्रोहिन्,0
321477,94927,पितृदान,n,n-----n--a,,,,/pi.t̪ɹ̩.d̪ɑː.nə/,पितृ॔-दान,0
321478,94928,पितृदानक,n,n-----n--a,,,,/pi.t̪ɹ̩.d̪ɑː.nə.kə/,पितृ॔-दानक,0
321479,94929,पितृदाय,n,n-----m--a,,,,/pi.t̪ɹ̩.d̪ɑː.jə/,पितृ॔-दाय,0
321480,,पितृगण,n,n-----m--a,,,,/pi.t̪ɹ̩.gə.ɳə/,पितृ॔-गण,0
321481,,पितृगणा,n,n-----f--ā,,,,/pi.t̪ɹ̩.gə.ɳɑː/,पितृ॔-गणा,0
321482,94916,पितृघ्न,n,n-----m--a,,,,/pi.ˈt̪ɹ̩gʰ.nə/,पितृ॔-घ्न,0
321483,,पितृघातक,n,n-----m--a,,,,/pi.t̪ɹ̩.gʰɑː.t̪ə.kə/,पितृ॔-घातक,0
321484,,पितृघातिन्,n,n-----m--n,,,,/pi.t̪ɹ̩.gʰɑː.t̪in/,पितृ॔-घातिन्,0
321485,94914,पितृग्रह,n,n-----m--a,,,,/pi.ˈt̪ɹ̩g.ɹə.ɦə/,पितृ॔-ग्रह,0
321486,94915,पितृग्राम,n,n-----m--a,,,,/pi.ˈt̪ɹ̩g.ɹɑː.mə/,पितृ॔-ग्राम,0
321487,,पितृगामिन्,a,ap----a--n,,,,/pi.t̪ɹ̩.gɑː.min/,पितृ॔-गामिन्,0
321488,94910,पितृगाथा,n,n-----f--ā,,,,/pi.t̪ɹ̩.gɑː.t̪ʰɑː/,पितृ॔-गाथा,0
321489,,पितृगीत,n,n-----n--a,,,,/pi.t̪ɹ̩.giː.t̪ə/,पितृ॔-गीत,0
321490,,पितृगीताकथन,n,n-----n--a,,,,/pi.t̪ɹ̩.giː.t̪ɑː.kə.t̪ʰə.nə/,पितृ॔-गीता-कथन,0
321491,94913,पितृगृह,n,n-----n--a,,,,/pi.t̪ɹ̩.gɹ̩.ɦə/,पितृ॔-गृह,0
321492,,पितृहन्,n,n-----m--n,,,,/pi.t̪ɹ̩.ɦən/,पितृ॔-हन्,0
321493,,पितृहत्या,n,n-----f--ā,,,,/pi.t̪ɹ̩.ˈɦət̪.jɑː/,पितृ॔-हत्या,0
321494,,पितृहू,a,ap----a--ū,,,,/pi.t̪ɹ̩.ɦuː/,पितृ॔-हू,0
321495,,पितृहूय,n,n-----n--a,,,,/pi.t̪ɹ̩.ɦuː.jə/,पितृ॔-हू॔य,0
321496,,पितृक,n,n--------a,,,n-----f--ā=पितृकआ,/pi.t̪ɹ̩.kə/,पितृक,0
321497,94901,पितृकल्प,n,n-----m--a,,,,/pi.t̪ɹ̩.ˈkəl.pə/,पितृ॔-कल्प,0
321498,,पितृकर्मन्,n,n-----n--n,,,,/pi.t̪ɹ̩.ˈkəɹ.mən/,पितृ॔-कर्मन्,0
321499,,पितृकिल्बिष,n,n-----n--a,,,,/pi.t̪ɹ̩.ˈkil.bi.ʂə/,पितृ॔-किल्बिष॔,0
321500,94909,पितृक्रिया,n,n-----f--ā,,,,/pi.ˈt̪ɹ̩k.ɹi.jɑː/,पितृ॔-क्रिया,0
321501,94906,पितृकुल्या,n,n-----f--ā,,,,/pi.t̪ɹ̩.ˈkul.jɑː/,पितृ॔-कुल्या,0
321502,94903,पितृकानन,n,n-----n--a,,,,/pi.t̪ɹ̩.kɑː.nə.nə/,पितृ॔-कानन,0
321503,,पितृकार्य,n,n-----n--a,,,,/pi.t̪ɹ̩.kɑːɹ.jə/,पितृ॔-कार्य,0
321504,94902,पितृकाण्ड,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=पितृकाण्ड",/pi.t̪ɹ̩.kɑːɳ.ɖə/,पितृ॔-काण्ड,0
321505,,पितृकृत,a,ap----a--a,,,,/pi.t̪ɹ̩.kɹ̩.t̪ə/,पितृ॔-कृत,0
321506,,पितृकृत्य,n,n-----n--a,,,,/pi.t̪ɹ̩.ˈkɹ̩t̪.jə/,पितृ॔-कृत्य,0
321507,94982,पितृलिङ्ग,n,n-----m--a,,,,/pi.t̪ɹ̩.liŋ.gə/,पितृ॔-लिङ्ग,0
321508,94983,पितृलोक,n,n-----m--a,,,,/pi.t̪ɹ̩.loː.kə/,पितृ॔-लोक॔,0
321509,,पितृमन्दिर,n,n-----n--a,,,,/pi.t̪ɹ̩.mən.d̪i.ɹə/,पितृ॔-मन्दिर,0
321510,94966,पितृमत्,a,ap----a--c,,,,/pi.t̪ɹ̩.mət̪/,पितृ॔-म॔त्,0
321511,94972,पितृमेध,n,n-----m--a,,,,/pi.t̪ɹ̩.meː.d̪ʰə/,पितृ॔-मेध,0
321512,,पितृमेधसार,n,n-----m--a,,,,/pi.t̪ɹ̩.meː.d̪ʰə.sɑː.ɹə/,पितृ-मेध-सार,0
321513,,पितृमेधसूत्र,n,n-----n--a,,,,/pi.t̪ɹ̩.meː.d̪ʰə.suːt̪.ɹə/,पितृ-मेध-सूत्र,0
321514,94971,पितृमात्रर्थ,a,ap----a--a,,,,/pi.t̪ɹ̩.mɑːt̪.ˈɹəɹ.t̪ʰə/,पितृ॔-मात्र्-अर्थ,0
321515,,पितृमातृगुरुशुश्रूषाध्यानवत्,a,ap----a--c,,,,/pit̪ɹ̩mɑːt̪ɹ̩guɹuɕuɕɹuːʂɑːd̪ʰjɑːnəʋət̪/,पितृ॔-मातृ-गुरु-शुश्रूषा-ध्यानवत्,0
321516,,पितृमातृहीन,a,ap----a--a,,,,/pi.t̪ɹ̩.mɑː.t̪ɹ̩.ɦiː.nə/,पितृ॔-मातृ-हीन,0
321517,,पितृमातृमय,a,ap----a--a,,ap----f--ī=>ी,,/pi.t̪ɹ̩.mɑː.t̪ɹ̩.mə.jə/,पितृ॔-मातृ-मय,0
321518,,पितृनामन्,a,ap----a--n,,,,/pi.t̪ɹ̩.nɑː.mən/,पितृ॔-नामन्,0
321519,,पितृपद,n,n-----n--a,,,,/pi.t̪ɹ̩.pə.d̪ə/,पितृ॔-पद,0
321520,94947,पितृपद्धति,n,n-----f--i,,,,/pi.t̪ɹ̩.ˈpəd̪.d̪ʰə.t̪i/,पितृ॔-पद्धति,0
321521,94952,पितृपैतामह,a,ap----a--a,,ap----f--ī=>ी,,/pi.t̪ɹ̩.pɑːi.t̪ɑː.mə.ɦə/,पितृ॔-पैतामह,0
321522,,पितृपैतामह,n,n-----m--a,,,,/pi.t̪ɹ̩.pɑːi.t̪ɑː.mə.ɦə/,पितृ॔-पैतामह,0
321523,,पितृपैतामहिक,a,ap----a--a,,,,/pi.t̪ɹ̩.pɑːi.t̪ɑː.mə.ɦi.kə/,पितृ॔-पैतामहिक,0
321524,,पितृपक्ष,a,ap----a--a,,,,/pi.t̪ɹ̩.ˈpək.ʂə/,पितृ॔-पक्ष,0
321525,94942,पितृपक्ष,n,n-----m--a,,,,/pi.t̪ɹ̩.ˈpək.ʂə/,पितृ॔-पक्ष,0
321526,94945,पितृपति,n,n-----m--i,,,,/pi.t̪ɹ̩.pə.t̪i/,पितृ॔-पति,0
321527,,पितृपङ्क्तिविधान,n,n-----n--a,,,,/pi.t̪ɹ̩.pəŋk.t̪i.ʋi.d̪ʰɑː.nə/,पितृ॔-पङ्क्ति-विधान,0
321528,,पितृपितृ,n,n-----m--r,,,,/pi.t̪ɹ̩.pi.t̪ɹ̩/,पितृ॔-पितृ,0
321529,94954,पितृप्रसू,n,n-----f--ū,,,,/pi.ˈt̪ɹ̩p.ɹə.suː/,पितृ॔-प्रसू,0
321530,94956,पितृप्रिय,n,n-----m--a,,,,/pi.ˈt̪ɹ̩p.ɹi.jə/,पितृ॔-प्रिय,0
321531,,पितृप्राप्त,a,ap----a--a,,,,/pi.ˈt̪ɹ̩p.ɹɑːp.t̪ə/,पितृ॔-प्राप्त,0
321532,94948,पितृपात्र,n,n-----n--a,,,,/pi.t̪ɹ̩.pɑːt̪.ɹə/,पितृ॔-पात्र,0
321533,,पितृपीत,a,ap----a--a,,,,/pi.t̪ɹ̩.piː.t̪ə/,पितृ॔-पीत,0
321534,,पितृपूजन,n,n-----n--a,,,,/pi.t̪ɹ̩.puː.d͡ʑə.nə/,पितृ॔-पूजन,0
321535,94978,पितृराज्,n,n-----m--c,,,,/pi.t̪ɹ̩.ɹɑːd͡ʑ/,पितृ॔-राज्,0
321536,202027,पितृराज,n,n-----m--a,,,,/pi.t̪ɹ̩.ɹɑː.d͡ʑə/,पितृ॔-राज,0
321537,202042,पितृराजन्,n,n-----m--n,,,,/pi.t̪ɹ̩.ɹɑː.d͡ʑən/,पितृ॔-राजन्,0
321538,,पितृरूप,a,ap----a--a,,,,/pi.t̪ɹ̩.ɹuː.pə/,पितृ॔-रूप,0
321539,94981,पितृरूप,n,n-----m--a,,,,/pi.t̪ɹ̩.ɹuː.pə/,पितृ॔-रूप,0
321540,,पितृसद्मन्,n,n-----n--n,,,,/pi.t̪ɹ̩.ˈsəd̪.mən/,पितृ॔-सद्मन्,0
321541,95005,पितृसंहिता,n,n-----f--ā,,,,/pi.t̪ɹ̩.ˈsə̃.ɦi.t̪ɑː/,पितृ॔-संहिता,0
321542,,पितृसंनिभ,a,ap----a--a,,,,/pi.t̪ɹ̩.ˈsə̃.ni.bʱə/,पितृ॔-संनिभ,0
321543,,पितृसंयुक्त,a,ap----a--a,,,,/pi.t̪ɹ̩.ˈsə̃.ˈjuk.t̪ə/,पितृ॔-संयुक्त,0
321544,95011,पितृस्थान,n,n-----m--a,,,,/pi.ˈt̪ɹ̩s.t̪ʰɑː.nə/,पितृ॔-स्थान,0
321545,95008,पितृसामान्य,n,n-----n--a,,,,/pi.t̪ɹ̩.sɑː.mɑːn.jə/,पितृ॔-सामान्य,0
321546,,पितृसू,n,n-----f--ū,,,,/pi.t̪ɹ̩.suː/,पितृ॔-सू,0
321547,95010,पितृसूक्त,n,n-----n--a,,,,/pi.t̪ɹ̩.suːk.t̪ə/,पितृ॔-सूक्त,0
321548,,पितृतम,n,n-----m--a,,,,/pi.t̪ɹ̩.t̪ə.mə/,पितृ॔-तम,0
321549,94919,पितृतर्पण,n,n-----n--a,,,,/pi.t̪ɹ̩.ˈt̪əɹ.pə.ɳə/,पितृ॔-तर्पण,0
321550,,पितृतस्,r,rp--------,,,,/pi.t̪ɹ̩.t̪əs/,पितृ॔-तस्,0
321551,94921,पितृतिथि,n,n-----f--i,,,,/pi.t̪ɹ̩.t̪i.t̪ʰi/,पितृ॔-तिथि,0
321552,,पितृत्व,n,n-----n--a,,,,/pi.ˈt̪ɹ̩t̪.ʋə/,पितृ॔-त्व,0
321553,94922,पितृतीर्थ,n,n-----n--a,,,,/pi.t̪ɹ̩.t̪iːɹ.t̪ʰə/,पितृ॔-तीर्थ,0
321554,,पितृतीर्थमाहात्म्य,n,n-----n--a,,,,/pi.t̪ɹ̩.t̪iːɹ.t̪ʰə.mɑː.ɦɑːt̪.mjə/,पितृ॔-तीर्थ-माहात्म्य,0
321555,,पितृवध,n,n-----n--a,,,,/pi.t̪ɹ̩.ʋə.d̪ʰə/,पितृ॔-वध,0
321556,,पितृवन,n,n-----n--a,,,,/pi.t̪ɹ̩.ʋə.nə/,पितृ॔-वन,0
321557,,पितृवनेचर,n,n-----m--a,,,,/pi.t̪ɹ̩.ʋə.neː.t͡ɕə.ɹə/,पितृ॔-वने-चर,0
321558,94989,पितृवर्तिन्,n,n-----m--n,,,,/pi.t̪ɹ̩.ˈʋəɹ.t̪in/,पितृ॔-वर्तिन्,0
321559,,पितृवसति,n,n-----f--i,,,,/pi.t̪ɹ̩.ʋə.sə.t̪i/,पितृ॔-वसति,0
321560,94985,पितृवत्,a,ap----a--c,,,,/pi.t̪ɹ̩.ʋət̪/,पितृ॔-वत्,0
321561,,पितृवत्,r,rp--------,,,,/pi.t̪ɹ̩.ʋət̪/,पितृ॔-व॔त्,0
321562,,पितृवंश,n,n-----m--a,,,,/pi.t̪ɹ̩.ʋə.̃ɕə/,पितृ॔-वंश,0
321563,,पितृवंश्य,a,ap----a--a,,,,/pi.t̪ɹ̩.ˈʋə̃ɕ.jə/,पितृ॔-वंश्य,0
321564,,पितृवेश्मन्,n,n-----n--n,,,,/pit̪ɹ̩ʋeːɕmən/,पितृ॔-वेश्मन्,0
321565,,पितृवित्त,n,n-----n--a,,,,/pi.t̪ɹ̩.ˈʋit̪.t̪ə/,पितृ॔-वित्त॔,0
321566,,पितृवित्त,a,ap----a--a,,,,/pi.t̪ɹ̩.ˈʋit̪.t̪ə/,पितृ॔-वित्त॔,0
321567,,पितृव्रत,n,n-----m--a,,,,/pi.ˈt̪ɹ̩ʋ.ɹə.t̪ə/,पितृ॔-व्रत,0
321568,,पितृव्रत,n,n-----n--a,,,,/pi.ˈt̪ɹ̩ʋ.ɹə.t̪ə/,पितृ॔-व्रत,0
321569,95021,पितृव्य,n,n-----m--a,,,,/pi.ˈt̪ɹ̩ʋ.jə/,पितृव्य,0
