,229493,,,
89639,378663,159846,,,
89640,378674,159846,,,
89641,310978,159846,,,
89642,261059,215209,,,
89643,404320,230001,,,
89644,404320,168030,,,
89645,404321,182302,,,
89646,406849,231328,,,
89647,406849,149681,,,
89648,406849,230133,,,
89649,406849,212562,,,
89650,406849,147987,,,
89651,378527,158850,,,
89652,462895,157701,,,
89653,208972,215667,,,
89654,362939,212544,,,
89655,246492,212544,,,
89656,372847,168030,,,
89657,277819,159845,,,
89658,377499,232078,,,
89659,377499,156134,,,
89660,377499,139720,,,
89661,404675,212943,,,
89662,398452,158876,,,
89663,398452,229072,,,
89664,377908,229322,,,
89665,278808,213735,,,
89666,280725,230630,,,
89667,280721,228161,,,
89668,304803,213735,,,
89669,402792,229551,,,
89670,236435,214759,,,
89671,262727,156125,,,
89672,276863,113093,,,
89673,276863,229500,,,
89674,276863,122975,,,
89675,416428,225857,,,
89676,281493,225857,,,
89677,377673,225857,,,
89678,303347,225857,,,
89679,366431,225857,,,
89680,279056,112680,,,
89681,296075,212344,,,
89682,361133,212344,,,
89683,374592,212343,,,
89684,374592,213584,,,
89685,267821,212343,,,
89686,267770,212343,,,
89687,267770,153397,,,
89688,384692,187518,,,
89689,384692,187409,,,
89690,384692,194983,,,
89691,384688,155082,,,
89692,384688,163894,,,
89693,233276,228897,,,
89694,233276,213244,,,
89695,233272,110054,,,
89696,233272,113375,,,
89697,240203,139293,,,
89698,248406,228664,,,
89699,375470,215365,,,
89700,211161,229506,,,
89701,415677,212562,,,
89702,406870,212562,,,
89703,368766,225746,,,
89704,282403,214469,,,
89705,282403,212404,,,
89706,274310,228903,,,
89707,240892,157761,,,
89708,240892,157758,,,
89709,240295,157761,,,
89710,240295,214959,,,
89711,345664,213922,,,
89712,419418,214112,,,
89713,290974,214523,,,
89714,290867,227969,,,
89715,290866,227969,,,
89716,277254,215118,,,
89717,232589,215118,,,
89718,215958,215118,,,
89719,395994,229548,,,
89720,395994,228940,,,
89721,369435,212216,,,
89722,317843,159685,,,
89723,317842,187008,,,
89724,317842,196014,,,
89725,233816,212226,,,
89726,409734,212226,,,
89727,283570,156405,,,
89728,283565,143840,,,
89729,283565,146374,,,
89730,220852,155301,,,
89731,240648,155301,,,
89732,313369,155301,,,
89733,338822,229807,,,
89734,338822,167116,,,
89735,338822,113547,,,
89736,338822,145714,,,
89737,338823,157085,,,
89738,478221,156786,,,
89739,254054,156786,,,
89740,241290,156786,,,
89741,313582,156786,,,
89742,314282,156473,,,
89743,314282,156474,,,
89744,288520,156484,,,
89745,339449,156484,,,
89746,332075,213996,,,
89747,365215,158985,,,
89748,275140,157944,,,
89749,275140,212302,,,
89750,320055,157944,,,
89751,268686,157944,,,
89752,405193,189595,,,
89753,405193,195920,,,
89754,405193,183881,,,
89755,405193,227509,,,
89756,377634,215206,,,
89757,377636,215206,,,
89758,260645,114495,,,
89759,260645,232753,,,
89760,301286,229746,,,
89761,301286,214860,,,
89762,281310,212541,,,
89763,281310,158681,,,
89764,405944,212541,,,
89765,405944,229833,,,
89766,405944,229650,,,
89767,405944,214245,,,
89768,358936,158850,,,
89769,290920,158850,,,
89770,290920,212216,,,
89771,290920,226739,,,
89772,224158,158850,,,
89773,351107,223912,,,
89774,342487,223912,,,
89775,227986,223912,,,
89776,267171,151438,,,
89777,496090,212214,,,
89778,272538,212214,,,
89779,282831,155253,,,
89780,275232,155253,,,
89781,367696,155253,,,
89782,320223,156824,,,
89783,320223,155253,,,
89784,272761,214717,,,
89785,272730,155237,,,
89786,272730,112059,,,
