,+c,464661,226867
1382148,-c,233886,457027
1382149,+c,457027,233881
1382150,-c,233881,457027
1382151,+c,457027,233870
1382152,-c,233870,457027
1382153,+c,457027,233883
1382154,-c,233883,457027
1382155,+c,258575,233883
1382156,-c,233883,258575
1382157,+c,457027,233882
1382158,-c,233882,457027
1382159,+c,457027,233884
1382160,-c,233884,457027
1382161,+c,457027,233877
1382162,-c,233877,457027
1382163,+c,457027,233878
1382164,-c,233878,457027
1382165,+c,457027,233879
1382166,-c,233879,457027
1382167,+c,457027,233875
1382168,-c,233875,457027
1382169,+c,457027,233876
1382170,-c,233876,457027
1382171,+c,457027,233872
1382172,-c,233872,457027
1382173,+c,457027,233873
1382174,-c,233873,457027
1382175,+c,457027,233789
1382176,-c,233789,457027
1382177,+c,457027,233790
1382178,-c,233790,457027
1382179,+c,457027,233791
1382180,-c,233791,457027
1382181,+c,457027,233793
1382182,-c,233793,457027
1382183,+c,464661,233793
1382184,-c,233793,464661
1382185,+c,457027,233794
1382186,-c,233794,457027
1382187,+c,457027,233795
1382188,-c,233795,457027
1382189,+c,457027,233792
1382190,-c,233792,457027
1382191,+c,359500,233792
1382192,-c,233792,359500
1382193,+c,457027,233796
1382194,-c,233796,457027
1382195,+c,457027,233800
1382196,-c,233800,457027
1382197,+c,457027,233801
1382198,-c,233801,457027
1382199,+c,457439,233801
1382200,-c,233801,457439
1382201,+c,457027,233805
1382202,-c,233805,457027
1382203,+c,457027,233803
1382204,-c,233803,457027
1382211,+c,457027,233813
1382212,-c,233813,457027
1382221,+c,457027,233807
1382222,-c,233807,457027
1382223,+c,457027,233808
1382224,-c,233808,457027
1382225,+c,457027,233798
1382226,-c,233798,457027
1382227,+c,457027,233797
1382228,-c,233797,457027
1382229,+c,239486,233797
1382230,-c,233797,239486
1382231,+c,457027,233788
1382232,-c,233788,457027
1382233,+c,457027,233799
1382234,-c,233799,457027
1382235,+c,457027,233903
1382236,-c,233903,457027
1382237,+c,457027,233902
1382238,-c,233902,457027
1382239,+c,457027,233902
1382240,-c,233902,457027
1382241,+c,457027,233905
1382242,-c,233905,457027
1382243,+c,459068,233905
1382244,-c,233905,459068
1382245,+c,457027,233910
1382246,-c,233910,457027
1382247,+c,457027,233909
1382248,-c,233909,457027
1382249,+c,457027,233906
1382250,-c,233906,457027
1382251,+c,457027,233907
1382252,-c,233907,457027
1382253,+c,457027,233908
1382254,-c,233908,457027
1382255,+c,457027,233929
1382256,-c,233929,457027
1382257,+c,457027,457028
1382258,-c,457028,457027
1382259,+c,269092,457028
1382260,-c,457028,269092
1382261,+c,457027,233930
1382262,-c,233930,457027
1382263,+c,457027,233928
1382264,-c,233928,457027
1382265,+c,269229,233928
1382266,-c,233928,269229
1382267,+c,457027,233927
1382268,-c,233927,457027
1382269,+c,457027,233911
1382270,-c,233911,457027
1382271,+c,268146,233911
1382272,-c,233911,268146
1382273,+c,457027,233931
1382274,-c,233931,457027
1382275,+c,269608,233931
1382276,-c,233931,269608
1382277,+c,461116,233931
1382278,-c,233931,461116
1382279,+c,457027,233932
1382280,-c,233932,457027
1382281,+c,457027,233933
1382282,-c,233933,457027
1382283,+c,457027,233912
1382284,-c,233912,457027
1382285,+c,457027,233934
1382286,-c,233934,457027
1382287,+c,457027,233920
1382288,-c,233920,457027
1382289,+c,459068,233920
1382290,-c,233920,459068
1382291,+c,457027,233921
1382292,-c,233921,457027
1382293,+c,268776,233921
1382294,-c,233921,268776
1382295,+c,457027,233923
1382296,-c,233923,457027
1382297,+c,268776,233923
1382298,-c,233923,268776
1382299,+c,457027,233922
1382300,-c,233922,457027
1382301,+c,268776,233922
1382302,-c,233922,268776
1382303,+c,457027,233924
1382304,-c,233924,457027
1382305,+c,268776,233924
1382306,-c,233924,268776
1382307,+c,457027,233926
1382308,-c,233926,457027
1382309,+c,457027,233925
1382310,-c,233925,457027
1382311,+c,457027,233913
1382312,-c,233913,457027
1382313,+c,457027,233914
1382314,-c,233914,457027
1382315,+c,457027,233915
1382316,-c,233915,457027
1382317,+c,457027,233918
1382318,-c,233918,457027
1382319,+c,457027,233917
1382320,-c,233917,457027
1382321,+c,457027,234195
1382322,-c,234195,457027
1382323,+c,457027,234196
1382324,-c,234196,457027
1382325,+c,329261,234196
1382326,-c,234196,329261
1382327,+c,340154,234196
1382328,-c,234196,340154
1382329,+c,457027,234199
1382330,-c,234199,457027
1382331,+c,457027,234197
1382332,-c,234197,457027
1382333,+c,457027,234198
1382334,-c,234198,457027
1382335,+c,457027,234190
1382336,-c,234190,457027
1382337,+c,457027,234191
1382338,-c,234191,457027
1382339,+c,457027,234192
1382340,-c,234192,457027
1382341,+c,457027,234193
1382342,-c,234193,457027
1382343,+c,457027,234194
1382344,-c,234194,457027
1382345,+c,457027,234212
1382346,-c,234212,457027
1382347,+c,378440,234212
1382348,-c,234212,378440
1382349,+c,457027,234213
1382350,-c,234213,457027
1382351,+c,457027,234214
1382352,-c,234214,457027
1382353,+c,457027,234207
1382354,-c,234207,457027
1382355,+c,457027,234203
1382356,-c,234203,457027
1382357,+c,457027,234204
1382358,-c,234204,457027
1382359,+c,457027,234206
1382360,-c,234206,457027
1382361,+c,430970,234206
1382362,-c,234206,430970
1382363,+c,457027,234205
1382364,-c,234205,457027
1382365,+c,457027,234200
1382366,-c,234200,457027
1382367,+c,457027,234201
1382368,-c,234201,457027
1382369,+c,457027,234202
1382370,-c,234202,457027
1382371,+c,464468,234202
1382372,-c,234202,464468
1382373,+c,457027,234208
1382374,-c,234208,457027
1382375,+c,457027,234210
1382376,-c,234210,457027
1382377,+c,457027,234211
1382378,-c,234211,457027
1382379,+c,328947,234211
1382380,-c,234211,328947
1382381,+c,457027,234209
1382382,-c,234209,457027
1382383,+c,378212,234209
1382384,-c,234209,378212
1382385,+c,457027,233814
1382386,-c,233814,457027
1382387,+c,457027,233832
1382388,-c,233832,457027
1382389,+c,457027,233834
1382390,-c,233834,457027
1382391,+c,457027,233833
1382392,-c,233833,457027
1382393,+c,457027,233818
1382394,-c,233818,457027
1382395,+c,457027,233822
1382396,-c,233822,457027
1382423,+c,457027,233816
1382424,-c,233816,457027
1382425,+c,457027,233857
1382426,-c,233857,457027
1382427,+c,457027,233854
1382428,-c,233854,457027
1382429,+c,251336,233854
1382430,-c,233854,251336
1382431,+c,457027,233858
1382432,-c,233858,457027
1382433,+c,457027,233860
1382434,-c,233860,457027
1382435,+c,457027,233858
1382436,-c,233858,457027
1382437,+c,457027,233858
1382438,-c,233858,457027
1382439,+c,457027,233862
1382440,-c,233862,457027
1382441,+c,457027,233864
1382442,-c,233864,457027
1382443,+c,457027,233863
1382444,-c,233863,457027
1382445,+c,457027,233855
1382446,-c,233855,457027
1382447,+c,457027,233856
1382448,-c,233856,457027
1382449,+c,251621,233856
1382450,-c,233856,251621
1382451,+c,457027,233848
1382452,-c,233848,457027
1382453,+c,457762,233848
1382454,-c,233848,457762
1382455,+c,457027,233865
1382456,-c,233865,457027
1382457,+c,457027,233838
1382458,-c,233838,457027
1382459,+c,457027,233836
1382460,-c,233836,457027
1382461,+c,457027,233837
1382462,-c,233837,457027
1382463,+c,457027,233837
1382464,-c,233837,457027
1382465,+c,457027,233841
1382466,-c,233841,457027
1382467,+c,457027,233840
1382468,-c,233840,457027
1382469,+c,457027,233835
1382470,-c,233835,457027
1382471,+c,457027,233815
1382472,-c,233815,457027
1382473,+c,457027,233852
1382474,-c,233852,457027
1382475,+c,457027,233853
1382476,-c,233853,457027
1382477,+c,457027,233851
1382478,-c,233851,457027
1382479,+c,457027,233849
1382480,-c,233849,457027
1382481,+c,457879,233849
1382482,-c,233849,457879
1382483,+c,457027,233850
1382484,-c,233850,457027
1382485,+c,457027,233842
1382486,-c,233842,457027
1382487,+c,457027,233843
1382488,-c,233843,457027
1382489,+c,457027,233847
1382490,-c,233847,457027
1382491,+c,457027,233846
1382492,-c,233846,457027
1382493,+c,457027,233844
1382494,-c,233844,457027
1382495,+c,457027,233845
1382496,-c,233845,457027
1382497,+c,457027,234016
1382498,-c,234016,457027
1382499,+c,303696,234016
1382500,-c,234016,303696
1382501,+c,457027,234017
1382502,-c,234017,457027
1382503,+c,457027,234026
1382504,-c,234026,457027
1382505,+c,457027,234025
1382506,-c,234025,457027
1382507,+c,457027,234028
1382508,-c,234028,457027
1382509,+c,311303,234028
1382510,-c,234028,311303
1382511,+c,457027,234027
1382512,-c,234027,457027
1382513,+c,457027,234018
1382514,-c,234018,457027
1382515,+c,457027,234020
1382516,-c,234020,457027
1382517,+c,457027,234021
1382518,-c,234021,457027
1382519,+c,461116,234021
1382520,-c,234021,461116
1382521,+c,457027,234019
1382522,-c,234019,457027
1382523,+c,457027,234023
1382524,-c,234023,457027
1382525,+c,457027,234022
1382526,-c,234022,457027
1382527,+c,457027,234029
1382528,-c,234029,457027
1382529,+c,457027,234024
1382530,-c,234024,457027
1382531,+c,457027,234039
1382532,-c,234039,457027
1382533,+c,318035,234039
1382534,-c,234039,318035
1382535,+c,457027,234040
1382536,-c,234040,457027
1382537,+c,461536,234040
1382538,-c,234040,461536
1382539,+c,457027,234037
1382540,-c,234037,457027
1382541,+c,317972,234037
1382542,-c,234037,317972
1382543,+c,457027,234038
1382544,-c,234038,457027
1382545,+c,317972,234038
1382546,-c,234038,317972
1382547,+c,457027,234030
1382548,-c,234030,457027
1382549,+c,457027,234032
1382550,-c,234032,457027
1382551,+c,457027,234033
1382552,-c,234033,457027
1382553,+c,457027,234034
1382554,-c,234034,457027
1382555,+c,457027,234036
1382556,-c,234036,457027
1382557,+c,457027,234035
1382558,-c,234035,457027
1382559,+c,457027,234031
1382560,-c,234031,457027
1382561,+c,457027,234041
1382562,-c,234041,457027
1382563,+c,457027,457029
1382564,-c,457029,457027
1382565,+c,333912,457029
1382566,-c,457029,333912
1382567,+c,457027,234079
1382568,-c,234079,457027
1382569,+c,333912,234079
1382570,-c,234079,333912
1382571,+c,457027,234078
1382572,-c,234078,457027
1382573,+c,457027,234080
1382574,-c,234080,457027
1382575,+c,457027,234081
1382576,-c,234081,457027
1382577,+c,457027,234082
1382578,-c,234082,457027
1382579,+c,457027,234083
1382580,-c,234083,457027
1382581,+c,335102,234083
1382582,-c,234083,335102
1382583,+c,457027,234084
1382584,-c,234084,457027
1382585,+c,457027,234085
1382586,-c,234085,457027
1382587,+c,457027,234042
1382588,-c,234042,457027
1382589,+c,457027,234043
1382590,-c,234043,457027
1382591,+c,457027,234073
1382592,-c,234073,457027
1382593,+c,457027,234075
1382594,-c,234075,457027
1382597,+c,457027,234074
1382598,-c,234074,457027
1382599,+c,378440,234074
1382600,-c,234074,378440
1382601,+c,457027,234056
1382602,-c,234056,457027
1382603,+c,457027,234067
1382604,-c,234067,457027
1382613,+c,457027,234058
1382614,-c,234058,457027
1382615,+c,300505,234058
1382616,-c,234058,300505
1382617,+c,457027,234065
1382618,-c,234065,457027
1382619,+c,457027,234064
1382620,-c,234064,457027
1382621,+c,457027,234072
1382622,-c,234072,457027
1382623,+c,300505,234072
1382624,-c,234072,300505
1382625,+c,457027,234057
1382626,-c,234057,457027
1382627,+c,457027,234062
1382628,-c,234062,457027
1382629,+c,457027,234066
1382630,-c,234066,457027
1382631,+c,462310,234066
1382632,-c,234066,462310
1382633,+c,457027,234063
1382634,-c,234063,457027
1382635,+c,457027,234059
1382636,-c,234059,457027
1382637,+c,457027,234077
1382638,-c,234077,457027
1382639,+c,337329,234086
1382640,-c,234086,337329
1382641,+c,457027,234087
1382642,-c,234087,457027
1382643,+c,457027,234088
1382644,-c,234088,457027
1382645,+c,457027,234046
1382646,-c,234046,457027
1382647,+c,457027,234047
1382648,-c,234047,457027
1382649,+c,464661,234047
1382650,-c,234047,464661
1382651,+c,457027,234045
1382652,-c,234045,457027
1382653,+c,457027,234050
1382654,-c,234050,457027
1382655,+c,328947,234050
1382656,-c,234050,328947
1382657,+c,457027,234044
1382658,-c,234044,457027
1382659,+c,457027,234048
1382660,-c,234048,457027
1382661,+c,457027,234049
1382662,-c,234049,457027
1382663,+c,457027,234052
1382664,-c,234052,457027
1382665,+c,457027,234053
1382666,-c,234053,457027
1382667,+c,457027,234054
1382668,-c,234054,457027
1382669,+c,457027,234051
1382670,-c,234051,457027
1382671,+c,462149,234051
1382672,-c,234051,462149
1382673,+c,457027,234055
1382674,-c,234055,457027
1382675,+c,457027,233757
1382676,-c,233757,457027
1382677,+c,457027,233758
1382678,-c,233758,457027
1382679,+c,457027,233759
1382680,-c,233759,457027
1382681,+c,378440,233759
1382682,-c,233759,378440
1382683,+c,457027,233755
1382684,-c,233755,457027
1382685,+c,227162,233755
1382686,-c,233755,227162
1382687,+c,457027,233754
1382688,-c,233754,457027
1382689,+c,227162,233754
1382690,-c,233754,227162
1382691,+c,457027,233756
1382692,-c,233756,457027
1382693,+c,457027,233779
1382694,-c,233779,457027
1382695,+c,457027,233780
1382696,-c,233780,457027
1382697,+c,457027,233778
1382698,-c,233778,457027
1382699,+c,457027,233787
1382700,-c,233787,457027
1382701,+c,457027,233786
1382702,-c,233786,457027
1382703,+c,457027,233781
1382704,-c,233781,457027
1382705,+c,457027,233782
1382706,-c,233782,457027
1382707,+c,457027,233783
1382708,-c,233783,457027
1382709,+c,457027,233784
1382710,-c,233784,457027
1382711,+c,457027,233785
1382712,-c,233785,457027
1382713,+c,234473,233785
1382714,-c,233785,234473
1382715,+c,457027,233762
1382716,-c,233762,457027
1382717,+c,457027,233760
1382718,-c,233760,457027
1382719,+c,457027,233761
1382720,-c,233761,457027
1382721,+c,457027,233766
1382722,-c,233766,457027
1382723,+c,457027,233767
1382724,-c,233767,457027
1382725,+c,456958,233767
1382726,-c,233767,456958
1382727,+c,457027,233769
1382728,-c,233769,457027
1382729,+c,456958,233769
1382730,-c,233769,456958
1382731,+c,457027,233768
1382732,-c,233768,457027
1382733,+c,457027,233763
1382734,-c,233763,457027
1382735,+c,229960,233763
1382736,-c,233763,229960
1382737,+c,457027,233765
1382738,-c,233765,457027
1382739,+c,457027,233771
1382740,-c,233771,457027
1382741,+c,457027,233772
1382742,-c,233772,457027
1382743,+c,457027,233773
1382744,-c,233773,457027
1382745,+c,457027,233770
1382746,-c,233770,457027
1382747,+c,457027,233774
1382748,-c,233774,457027
1382749,+c,233046,233774
1382750,-c,233774,233046
1382751,+c,457027,233777
1382752,-c,233777,457027
1382753,+c,233046,233777
1382754,-c,233777,233046
1382755,+c,464661,233777
1382756,-c,233777,464661
1382757,+c,457027,233775
1382758,-c,233775,457027
1382759,+c,456988,233775
1382760,-c,233775,456988
1382761,+c,457027,233776
1382762,-c,233776,457027
1382763,+c,456988,233776
1382764,-c,233776,456988
1382765,+c,457027,233764
1382766,-c,233764,457027
1382767,+c,456903,233764
1382768,-c,233764,456903
1382769,+c,457027,233982
1382770,-c,233982,457027
1382771,+c,457027,233984
1382772,-c,233984,457027
1382773,+c,457027,233983
1382774,-c,233983,457027
1382775,+c,457027,233980
1382776,-c,233980,457027
1382777,+c,460512,233980
1382778,-c,233980,460512
1382779,+c,457027,233979
1382780,-c,233979,457027
1382781,+c,460457,233979
1382782,-c,233979,460457
1382783,+c,457027,233981
1382784,-c,233981,457027
1382785,+c,457027,233978
1382786,-c,233978,457027
1382787,+c,460347,233978
1382788,-c,233978,460347
1382789,+c,457027,233991
1382790,-c,233991,457027
1382791,+c,457027,233990
1382792,-c,233990,457027
1382793,+c,457027,233987
1382794,-c,233987,457027
1382797,+c,457027,233992
1382798,-c,233992,457027
1382799,+c,457027,233989
1382800,-c,233989,457027
1382801,+c,457027,233988
1382802,-c,233988,457027
1382803,+c,460657,233988
1382804,-c,233988,460657
1382805,+c,457027,233994
1382806,-c,233994,457027
1382807,+c,457027,233993
1382808,-c,233993,457027
1382809,+c,233204,233993
1382810,-c,233993,233204
1382811,+c,457027,233986
1382812,-c,233986,457027
1382813,+c,457027,233985
1382814,-c,233985,457027
1382815,+c,457027,234288
1382816,-c,234288,457027
1382817,+c,408092,234288
1382818,-c,234288,408092
1382819,+c,457027,234292
1382820,-c,234292,457027
1382821,+c,408092,234292
1382822,-c,234292,408092
1382823,+c,457027,234289
1382824,-c,234289,457027
1382825,+c,408092,234289
1382826,-c,234289,408092
1382827,+c,457027,234290
1382828,-c,234290,457027
1382829,+c,408092,234290
1382830,-c,234290,408092
1382831,+c,328947,234290
1382832,-c,234290,328947
1382833,+c,457027,234291
1382834,-c,234291,457027
1382835,+c,408092,234291
1382836,-c,234291,408092
1382837,+c,457027,234294
1382838,-c,234294,457027
1382839,+c,457027,234293
1382840,-c,234293,457027
1382841,+c,457027,234296
1382842,-c,234296,457027
1382843,+c,457027,234295
1382844,-c,234295,457027
1382845,+c,466572,234295
1382846,-c,234295,466572
1382847,+c,457027,234297
1382848,-c,234297,457027
1382849,+c,409796,234297
1382850,-c,234297,409796
1382851,+c,457027,234298
1382852,-c,234298,457027
1382853,+c,409797,234298
1382854,-c,234298,409797
1382855,+c,457027,234299
1382856,-c,234299,457027
1382857,+c,409891,234299
1382858,-c,234299,409891
1382859,+c,457027,234308
1382860,-c,234308,457027
1382861,+c,410887,234308
1382862,-c,234308,410887
1382863,+c,457027,234311
1382864,-c,234311,457027
1382865,+c,466677,234311
1382866,-c,234311,466677
1382867,+c,457027,234309
1382868,-c,234309,457027
1382869,+c,410996,234309
1382870,-c,234309,410996
1382871,+c,457027,234310
1382872,-c,234310,457027
1382873,+c,457027,234306
1382874,-c,234306,457027
1382875,+c,466618,234306
1382876,-c,234306,466618
1382877,+c,457027,234307
1382878,-c,234307,457027
1382879,+c,457027,234312
1382880,-c,234312,457027
1382881,+c,457027,234300
1382882,-c,234300,457027
1382883,+c,457027,234301
1382884,-c,234301,457027
1382885,+c,457027,234303
1382886,-c,234303,457027
1382887,+c,457027,234304
1382888,-c,234304,457027
1382891,+c,457027,234305
1382892,-c,234305,457027
1382893,+c,457027,234090
1382894,-c,234090,457027
1382895,+c,457027,234095
1382896,-c,234095,457027
1382897,+c,457027,234094
1382898,-c,234094,457027
1382899,+c,339572,234094
1382900,-c,234094,339572
1382901,+c,457027,234091
1382902,-c,234091,457027
1382903,+c,457027,234096
1382904,-c,234096,457027
1382905,+c,457027,234092
1382906,-c,234092,457027
1382907,+c,457027,234093
1382908,-c,234093,457027
1382909,+c,457027,234089
1382910,-c,234089,457027
1382911,+c,457027,234100
1382912,-c,234100,457027
1382913,+c,457027,234101
1382914,-c,234101,457027
1382915,+c,457027,234098
1382916,-c,234098,457027
1382917,+c,457027,234099
1382918,-c,234099,457027
1382919,+c,457027,234102
1382920,-c,234102,457027
1382921,+c,462731,234102
1382922,-c,234102,462731
1382923,+c,457027,457030
1382924,-c,457030,457027
1382925,+c,457027,457031
1382926,-c,457031,457027
1382927,+c,457027,234103
1382928,-c,234103,457027
1382929,+c,457027,234104
1382930,-c,234104,457027
1382931,+c,462749,234104
1382932,-c,234104,462749
1382933,+c,457027,234105
1382934,-c,234105,457027
1382935,+c,457027,234106
1382936,-c,234106,457027
1382937,+c,457027,234107
1382938,-c,234107,457027
1382939,+c,457027,234097
1382940,-c,234097,457027
1382941,+c,457027,234108
1382942,-c,234108,457027
1382943,+c,457027,234111
1382944,-c,234111,457027
1382945,+c,378440,234111
1382946,-c,234111,378440
1382947,+c,457027,234110
1382948,-c,234110,457027
1382949,+c,464661,234110
1382950,-c,234110,464661
1382951,+c,457027,234109
1382952,-c,234109,457027
1382953,+c,457027,233973
1382954,-c,233973,457027
1382955,+c,404222,233973
1382956,-c,233973,404222
1382957,+c,457027,233976
1382958,-c,233976,457027
1382959,+c,457027,233975
1382960,-c,233975,457027
1382961,+c,457027,233977
1382962,-c,233977,457027
1382963,+c,289325,233977
1382964,-c,233977,289325
1382965,+c,457027,233974
1382966,-c,233974,457027
1382967,+c,457027,234227
1382968,-c,234227,457027
1382969,+c,457027,234240
1382970,-c,234240,457027
1382971,+c,457027,234241
1382972,-c,234241,457027
1382973,+c,457027,234217
1382974,-c,234217,457027
1382975,+c,457027,234222
1382976,-c,234222,457027
1382977,+c,457027,234221
1382978,-c,234221,457027
1382979,+c,457027,234218
1382980,-c,234218,457027
1382981,+c,386002,234218
1382982,-c,234218,386002
1382983,+c,457027,234219
1382984,-c,234219,457027
1382985,+c,386075,234219
1382986,-c,234219,386075
1382987,+c,457027,234220
1382988,-c,234220,457027
1382989,+c,386075,234220
1382990,-c,234220,386075
1382991,+c,284630,234220
1382992,-c,234220,284630
1382993,+c,457027,234230
1382994,-c,234230,457027
1382995,+c,457027,234231
1382996,-c,234231,457027
1382997,+c,457027,234232
1382998,-c,234232,457027
1382999,+c,457027,234233
1383000,-c,234233,457027
1383001,+c,389291,234233
1383002,-c,234233,389291
1383003,+c,457027,234234
1383004,-c,234234,457027
1383005,+c,389291,234234
1383006,-c,234234,389291
1383007,+c,459928,234234
1383008,-c,234234,459928
1383009,+c,457027,234235
1383010,-c,234235,457027
1383011,+c,465380,234235
1383012,-c,234235,465380
1383013,+c,457027,234236
1383014,-c,234236,457027
1383015,+c,457027,234239
1383016,-c,234239,457027
1383017,+c,457027,234237
1383018,-c,234237,457027
1383019,+c,457027,234238
1383020,-c,234238,457027
1383021,+c,389508,234238
1383022,-c,234238,389508
1383023,+c,457027,457032
1383024,-c,457032,457027
1383025,+c,465306,457032
1383026,-c,457032,465306
1383027,+c,457027,234228
1383028,-c,234228,457027
1383029,+c,388349,234228
1383030,-c,234228,388349
1383031,+c,457027,234229
1383032,-c,234229,457027
1383033,+c,388349,234229
1383034,-c,234229,388349
1383035,+c,288818,234229
1383036,-c,234229,288818
1383037,+c,457027,234269
1383038,-c,234269,457027
1383039,+c,457027,234279
1383040,-c,234279,457027
1383041,+c,466399,234279
1383042,-c,234279,466399
1383043,+c,457027,234271
1383044,-c,234271,457027
1383045,+c,457027,234270
1383046,-c,234270,457027
1383047,+c,457027,234275
1383048,-c,234275,457027
1383049,+c,403670,234275
1383050,-c,234275,403670
1383051,+c,457027,234272
1383052,-c,234272,457027
1383053,+c,457027,234273
1383054,-c,234273,457027
1383055,+c,464661,234273
1383056,-c,234273,464661
1383057,+c,457027,234274
1383058,-c,234274,457027
1383059,+c,457027,234277
1383060,-c,234277,457027
1383061,+c,457027,234278
1383062,-c,234278,457027
1383063,+c,457027,234276
1383064,-c,234276,457027
1383065,+c,457027,234261
1383066,-c,234261,457027
1383067,+c,464661,234261
1383068,-c,234261,464661
1383069,+c,457027,234247
1383070,-c,234247,457027
1383071,+c,457027,234248
1383072,-c,234248,457027
1383073,+c,457027,234259
1383074,-c,234259,457027
1383075,+c,457027,234252
1383076,-c,234252,457027
1383077,+c,394004,234252
1383078,-c,234252,394004
1383079,+c,457027,234256
1383080,-c,234256,457027
1383081,+c,394004,234256
1383082,-c,234256,394004
1383083,+c,457027,234255
1383084,-c,234255,457027
1383085,+c,394004,234255
1383086,-c,234255,394004
1383087,+c,457027,234253
1383088,-c,234253,457027
1383089,+c,394006,234253
1383090,-c,234253,394006
1383091,+c,457027,234254
1383092,-c,234254,457027
1383093,+c,394004,234254
1383094,-c,234254,394004
1383095,+c,291993,234254
1383096,-c,234254,291993
1383097,+c,457027,234257
1383098,-c,234257,457027
1383099,+c,394004,234257
1383100,-c,234257,394004
1383101,+c,457027,234258
1383102,-c,234258,457027
1383103,+c,394004,234258
1383104,-c,234258,394004
1383105,+c,457027,234251
1383106,-c,234251,457027
1383107,+c,457027,234249
1383108,-c,234249,457027
1383109,+c,457027,234250
1383110,-c,234250,457027
1383111,+c,457027,234262
1383112,-c,234262,457027
1383113,+c,457027,234263
1383114,-c,234263,457027
1383115,+c,457027,234264
1383116,-c,234264,457027
1383117,+c,291830,234264
1383118,-c,234264,291830
1383119,+c,251336,234264
1383120,-c,234264,251336
1383121,+c,457027,234265
1383122,-c,234265,457027
1383123,+c,466083,234265
1383124,-c,234265,466083
1383125,+c,457027,234260
1383126,-c,234260,457027
1383127,+c,457027,234280
1383128,-c,234280,457027
1383129,+c,457027,234284
1383130,-c,234284,457027
1383131,+c,457027,234287
1383132,-c,234287,457027
1383133,+c,407487,234287
1383134,-c,234287,407487
1383135,+c,457027,234281
1383136,-c,234281,457027
1383137,+c,457027,234283
1383138,-c,234283,457027
1383139,+c,457027,234282
1383140,-c,234282,457027
1383141,+c,457027,234285
1383142,-c,234285,457027
1383143,+c,457027,234286
1383144,-c,234286,457027
1383145,+c,457027,234242
1383146,-c,234242,457027
1383147,+c,457027,234244
1383148,-c,234244,457027
1383149,+c,457027,234243
1383150,-c,234243,457027
1383151,+c,457027,234245
1383152,-c,234245,457027
1383153,+c,457027,234246
1383154,-c,234246,457027
1383155,+c,457027,457033
1383156,-c,457033,457027
1383157,+c,391818,457033
1383158,-c,457033,391818
1383159,+c,457027,234224
1383160,-c,234224,457027
1383161,+c,387202,234224
1383162,-c,234224,387202
1383163,+c,457027,234223
1383164,-c,234223,457027
1383165,+c,387201,234223
1383166,-c,234223,387201
1383167,+c,457027,234225
1383168,-c,234225,457027
1383169,+c,387201,234225
1383170,-c,234225,387201
1383171,+c,457027,234226
1383172,-c,234226,457027
1383173,+c,387201,234226
1383174,-c,234226,387201
1383175,+c,457027,234268
1383176,-c,234268,457027
1383177,+c,457027,234266
1383178,-c,234266,457027
1383179,+c,457027,234267
1383180,-c,234267,457027
1383181,+c,457027,457034
1383182,-c,457034,457027
1383183,+c,457027,234313
1383184,-c,234313,457027
1383185,+c,457027,234314
1383186,-c,234314,457027
1383187,+c,457027,234316
1383188,-c,234316,457027
1383189,+c,417127,234316
1383190,-c,234316,417127
1383191,+c,457027,234315
1383192,-c,234315,457027
1383193,+c,417127,234315
1383194,-c,234315,417127
1383195,+c,457027,234318
1383196,-c,234318,457027
1383197,+c,467137,234318
1383198,-c,234318,467137
1383199,+c,457027,234317
1383200,-c,234317,457027
1383201,+c,457027,234327
1383202,-c,234327,457027
1383203,+c,427633,234327
1383204,-c,234327,427633
1383205,+c,457027,234323
1383206,-c,234323,457027
1383207,+c,426799,234323
1383208,-c,234323,426799
1383209,+c,457027,234324
1383210,-c,234324,457027
1383211,+c,457027,234326
1383212,-c,234326,457027
1383215,+c,457027,234320
1383216,-c,234320,457027
1383217,+c,457027,234319
1383218,-c,234319,457027
1383219,+c,467306,234319
1383220,-c,234319,467306
1383221,+c,457027,234322
1383222,-c,234322,457027
1383223,+c,425126,234322
1383224,-c,234322,425126
1383225,+c,457027,234321
1383226,-c,234321,457027
1383227,+c,457027,234130
1383228,-c,234130,457027
1383229,+c,457027,234128
1383230,-c,234128,457027
1383231,+c,457027,234129
1383232,-c,234129,457027
1383233,+c,457027,234126
1383234,-c,234126,457027
1383235,+c,457027,234127
1383236,-c,234127,457027
1383237,+c,457027,234124
1383238,-c,234124,457027
1383239,+c,353590,234124
1383240,-c,234124,353590
1383241,+c,457027,234122
1383242,-c,234122,457027
1383243,+c,457027,234123
1383244,-c,234123,457027
1383245,+c,353089,234123
1383246,-c,234123,353089
1383247,+c,457027,234113
1383248,-c,234113,457027
1383249,+c,457027,234114
1383250,-c,234114,457027
1383251,+c,457027,234112
1383252,-c,234112,457027
1383253,+c,457027,234115
1383254,-c,234115,457027
1383255,+c,457027,234116
1383256,-c,234116,457027
1383257,+c,457027,234118
1383258,-c,234118,457027
1383261,+c,457027,234119
1383262,-c,234119,457027
1383263,+c,457027,234120
1383264,-c,234120,457027
1383265,+c,457027,234121
1383266,-c,234121,457027
1383267,+c,463155,234121
1383268,-c,234121,463155
1383269,+c,457027,234125
1383270,-c,234125,457027
1383271,+c,457027,234150
1383272,-c,234150,457027
1383273,+c,457027,234155
1383274,-c,234155,457027
1383275,+c,284630,234155
1383276,-c,234155,284630
1383277,+c,457027,234151
1383278,-c,234151,457027
1383279,+c,457027,234153
1383280,-c,234153,457027
1383281,+c,457027,234152
